"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"3","Vacular",0.92,0.08,870.9109,5.270627
"4","NonVascular",0.18,0.82,927.72595,58.990067
"5","Vacular",0.83,0.17,1164.5115,7.369863
"7","NonVascular",0,1,1529.8533,17.112844
"9","NonVascular",0.01,0.99,1769.3292,6.084788
"10","NonVascular",0.06,0.94,1896.0046,33.28
"11","NonVascular",0.03,0.97,1921.654,7.3122363
"12","NonVascular",0.07,0.93,1835.8192,32.405846
"14","Vacular",0.83,0.17,443.86316,39.03639
"15","NonVascular",0.11,0.89,888.37836,29.828829
"16","NonVascular",0.12,0.88,1622.0944,52.598225
"18","NonVascular",0.01,0.99,1245.3258,60.450733
"19","NonVascular",0.04,0.96,327.4781,61.039948
"20","Vacular",0.85,0.15,1201.0555,61.657406
"22","NonVascular",0.01,0.99,1586.0612,93.62186
"23","NonVascular",0.03,0.97,1902.8159,83.26127
"24","NonVascular",0.01,0.99,1291.6322,64.58064
"27","NonVascular",0.15,0.85,1459.7374,85.072395
"29","Vacular",0.92,0.08,1118.1062,70.704666
"33","NonVascular",0.03,0.97,1840.5317,117.586624
"35","NonVascular",0.07,0.93,1180.8301,98.847496
"36","NonVascular",0.12,0.88,1517.7249,97.065895
"39","NonVascular",0.09,0.91,366.47876,102.932014
"40","NonVascular",0.09,0.91,1486.3546,118.93207
"41","NonVascular",0.07,0.93,653.65393,113.32809
"42","NonVascular",0.02,0.98,1096.6588,119.998314
"43","NonVascular",0.07,0.93,1393.0742,117.421875
"45","NonVascular",0.19,0.81,1032.996,184.24222
"46","NonVascular",0,1,918.5925,132.03053
"48","Vacular",0.98,0.02,1633.8976,128.32582
"51","NonVascular",0.19,0.81,1142.0491,139.4804
"52","NonVascular",0.05,0.95,1903.7411,148.23738
"54","Vacular",0.96,0.04,1388.2994,143.46355
"55","NonVascular",0.04,0.96,823.0525,159.68607
"56","NonVascular",0.04,0.96,1268.148,154.99234
"57","NonVascular",0.01,0.99,1702.0101,162.98746
"58","NonVascular",0,1,1531.7317,171.58307
"59","NonVascular",0.17,0.83,1873.4275,161.24638
"60","NonVascular",0.05,0.95,1205.1198,182.76292
"62","NonVascular",0.01,0.99,733.89984,193.97615
"64","NonVascular",0.18,0.82,1924.3,194.39868
"65","Vacular",0.97,0.03,939.7662,183.99538
"66","NonVascular",0.05,0.95,1443.4114,188.29715
"67","Vacular",0.98,0.02,571.6504,186.55556
"68","NonVascular",0.18,0.82,959.67145,181.71428
"73","NonVascular",0.02,0.98,1785.0432,220.56738
"75","NonVascular",0.18,0.82,547.9665,205.3634
"77","Vacular",0.85,0.15,1328.9701,224.6495
"84","NonVascular",0.18,0.82,1530.2794,227.4804
"85","NonVascular",0.03,0.97,1176.508,231.45676
"86","NonVascular",0.12,0.88,432.7913,234.74455
"88","NonVascular",0,1,203.96355,257.71948
"89","NonVascular",0,1,786.3246,262.9655
"90","NonVascular",0.18,0.82,1100.9066,244.96
"92","Vacular",0.84,0.16,1428.9517,255.20726
"94","NonVascular",0.04,0.96,559.46906,250.59293
"95","Vacular",0.92,0.08,1164.467,257.85715
"97","NonVascular",0.06,0.94,918.858,267.29175
"99","NonVascular",0.01,0.99,1860.8364,310.81107
"100","NonVascular",0.01,0.99,1165.4089,321.02975
"101","NonVascular",0.18,0.82,1334.6788,310.52643
"103","NonVascular",0.01,0.99,1654.8231,285.89426
"104","NonVascular",0.19,0.81,1895.3766,274.81818
"105","NonVascular",0.01,0.99,1008.8784,287.57797
"107","Vacular",0.81,0.19,668.9116,287.29834
"108","NonVascular",0.04,0.96,721.68933,291.9645
"109","NonVascular",0.03,0.97,1253.2649,295.7657
"111","Vacular",0.87,0.13,431.5499,289.16937
"114","NonVascular",0.11,0.89,1434.0867,357.3121
"115","NonVascular",0,1,1742.1005,306.55356
"116","NonVascular",0.19,0.81,926.1899,304.20255
"117","NonVascular",0.01,0.99,1386.9683,322.19916
"118","NonVascular",0.01,0.99,1746.3217,354.83142
"120","NonVascular",0.17,0.83,1600.2286,317.13773
"121","NonVascular",0,1,322.0747,367.5274
"123","NonVascular",0.11,0.89,481.82248,326.2426
"124","NonVascular",0.17,0.83,1927.0897,329.34616
"125","NonVascular",0,1,503.99088,340.87537
"126","NonVascular",0.13,0.87,901.48175,336.54745
"127","NonVascular",0.01,0.99,1296.034,357.38638
"128","NonVascular",0.13,0.87,960.6628,348.56674
"129","NonVascular",0.01,0.99,804.52924,360.887
"130","NonVascular",0.17,0.83,1089.3163,347.90817
"131","NonVascular",0.16,0.84,230.13503,349.05063
"132","NonVascular",0.17,0.83,1927.5538,347.3231
"133","NonVascular",0,1,1820.631,373.46625
"135","Vacular",0.97,0.03,1472.0604,365.12912
"136","NonVascular",0.01,0.99,1258.9474,407.2772
"138","NonVascular",0.05,0.95,1109.8368,405.2092
"139","NonVascular",0.06,0.94,673.24713,399.49335
"141","NonVascular",0.06,0.94,1554.0137,427.28345
"142","NonVascular",0.06,0.94,616.6878,394.15228
"143","NonVascular",0,1,964.0284,394.0054
"144","Vacular",1,0,1467.7356,393.42856
"145","NonVascular",0.09,0.91,393.7579,402.64737
"147","NonVascular",0,1,1681.763,412.54816
"148","Vacular",0.81,0.19,720.346,413.4984
"151","NonVascular",0.05,0.95,1495.8082,416.9858
"152","Vacular",0.93,0.07,1312.0637,436.30264
"153","NonVascular",0.01,0.99,891.9347,429.20407
"154","Vacular",0.96,0.04,1814.428,429.11612
"155","NonVascular",0.04,0.96,593.11945,434.6599
"157","NonVascular",0.03,0.97,1353.979,457.87918
"158","NonVascular",0.07,0.93,1149.9749,441.36432
"159","NonVascular",0.03,0.97,1053.1482,437.94708
"161","Vacular",1,0,797.12286,452.8403
"165","NonVascular",0.19,0.81,620.1525,452.3729
"166","NonVascular",0.18,0.82,1705.8252,458.40778
"167","NonVascular",0.19,0.81,1873.8613,458.15842
"168","NonVascular",0.09,0.91,346.6357,470.75952
"170","Vacular",0.83,0.17,1248.85,480.7224
"172","NonVascular",0.18,0.82,1819.9183,468.9694
"173","Vacular",0.86,0.14,1612.8081,474.70706
"174","NonVascular",0.01,0.99,446.79156,486.2896
"177","NonVascular",0.19,0.81,937.4853,479.85294
"178","NonVascular",0.17,0.83,1316.5891,480.3477
"179","Vacular",0.9,0.1,711.5558,485.1116
"180","NonVascular",0.04,0.96,750.66766,487.6467
"181","NonVascular",0.02,0.98,558.9908,485.5723
"182","NonVascular",0,1,809.4694,500.17743
"183","NonVascular",0,1,1539.169,494.98666
"185","NonVascular",0.01,0.99,1920.2563,507.28613
"187","NonVascular",0.01,0.99,1460.2379,535.6296
"188","NonVascular",0.08,0.92,937.4754,505.45355
"189","NonVascular",0.08,0.92,1199.8843,507.5112
"194","NonVascular",0.18,0.82,1721.0796,508.32956
"196","NonVascular",0.03,0.97,1620.236,518.4236
"197","Vacular",0.95,0.05,1042.6897,522.64655
"198","NonVascular",0.02,0.98,519.5209,533.45056
"200","Vacular",0.82,0.18,1316.9448,536.2484
"204","Vacular",0.88,0.12,1099.6171,548.5341
"205","NonVascular",0.13,0.87,1815.0116,550.9807
"206","NonVascular",0.03,0.97,1029.0925,571.96
"207","Vacular",0.99,0.01,644.5961,562.1841
"208","NonVascular",0.12,0.88,1834.461,663.7939
"209","NonVascular",0.08,0.92,1161.2677,570.98236
