"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","Vacular",0.99,0.01,1338.0261,7.302239
"7","Vacular",0.98,0.02,5.6205535,72.01581
"9","Vacular",0.89,0.11,198.6129,102.84677
"10","Vacular",0.98,0.02,886.248,107.70845
"11","Vacular",0.95,0.05,1552.8574,112.64019
"12","NonVascular",0,1,955.4855,131.61479
"13","Vacular",0.84,0.16,1035.8093,122.26695
"15","Vacular",0.91,0.09,1313.8613,145.60115
"17","Vacular",0.97,0.03,606.4928,163.9366
"18","Vacular",0.95,0.05,1407.5568,168.38504
"19","Vacular",0.98,0.02,1628.4644,180.12384
"20","NonVascular",0.16,0.84,1171.4445,206.17361
"22","Vacular",0.97,0.03,472.99368,234.19559
"23","NonVascular",0.01,0.99,883.28375,279.31
"26","Vacular",0.84,0.16,1390.3983,259.52966
"28","NonVascular",0.15,0.85,920.55225,276.49252
"29","Vacular",0.89,0.11,1851.0363,310.44818
"33","Vacular",1,0,543.4,372.29333
"34","Vacular",0.96,0.04,889.67914,372.53894
"38","Vacular",0.99,0.01,411.3626,402.49008
"39","Vacular",1,0,1671.3896,404.22598
"41","Vacular",0.82,0.18,1384.7784,430.52216
"43","Vacular",0.98,0.02,620.8153,461.885
"44","Vacular",0.85,0.15,1490.258,461.8
"48","Vacular",0.99,0.01,9.935135,501.9108
"49","Vacular",0.91,0.09,459.49768,511.6093
"50","Vacular",0.85,0.15,496.36118,518.2261
"53","Vacular",0.95,0.05,1026.2673,538.80817
"55","Vacular",0.87,0.13,507.79007,556.3187
"56","Vacular",0.87,0.13,1382.3693,553.6699
"57","NonVascular",0.18,0.82,1215.3263,562.04736
"58","Vacular",1,0,28.15641,567.5359
"59","Vacular",0.96,0.04,290.64725,567.8037
"60","Vacular",0.92,0.08,537.34564,580.86914
"62","Vacular",0.97,0.03,1490.409,600.3409
"63","Vacular",0.94,0.06,704.2818,605.2494
"64","NonVascular",0,1,867.41205,650.04
"65","Vacular",0.97,0.03,1118.8625,608.13745
"70","Vacular",0.94,0.06,1271.8567,639.94904
"71","Vacular",0.89,0.11,1323.9688,644.59686
"74","Vacular",0.97,0.03,634.86975,668.4054
"75","Vacular",0.85,0.15,743.2019,686.8423
"76","Vacular",0.99,0.01,237.68675,688.012
"77","Vacular",0.88,0.12,1417.8434,689.80725
"78","Vacular",0.98,0.02,5.1246004,700.76996
"79","Vacular",0.96,0.04,959.4679,701.4556
"80","NonVascular",0.02,0.98,215.09488,740.7426
"82","Vacular",0.89,0.11,1589.2539,732.9598
"83","Vacular",0.91,0.09,406.1683,749.0429
"84","Vacular",0.83,0.17,236.03732,768.72003
"85","Vacular",0.95,0.05,6.3560605,782.97473
"86","NonVascular",0.05,0.95,247.02252,793.27026
"87","Vacular",0.97,0.03,1191.0914,796.1269
"88","Vacular",0.87,0.13,1453.7782,805.24664
"89","Vacular",0.94,0.06,1039.5167,811.6577
"91","Vacular",0.88,0.12,21.762712,822.0102
"92","Vacular",0.99,0.01,213.44186,828.7475
"93","Vacular",0.94,0.06,1462.2836,830.5025
"95","Vacular",0.95,0.05,391.0955,844.17505
"96","Vacular",1,0,655.8858,847.9081
"97","NonVascular",0.16,0.84,1482.1757,843.08105
"98","NonVascular",0.01,0.99,1091.8207,885.25653
"99","Vacular",0.9,0.1,1491.3729,858.14966
"102","Vacular",0.88,0.12,931.97797,888.19385
"103","Vacular",0.83,0.17,1227.3124,910.1741
"105","Vacular",0.98,0.02,241.30267,933.19586
"106","Vacular",0.99,0.01,1310.8237,935.0275
"107","NonVascular",0.05,0.95,124.56881,961.22784
"108","Vacular",0.96,0.04,765.9798,954.9104
"111","Vacular",0.9,0.1,579.9902,1013.518
"113","Vacular",0.97,0.03,1624.2522,1020.52875
"114","NonVascular",0.02,0.98,64.94979,1041.3431
"115","NonVascular",0.02,0.98,1651.907,1035.1105
"116","Vacular",0.98,0.02,1212.1211,1039.3105
"117","NonVascular",0.15,0.85,369.8555,1042.3876
"118","Vacular",1,0,672.3116,1041.3088
"120","Vacular",0.89,0.11,264.63004,1059.2754
"123","NonVascular",0.07,0.93,4.6014495,1079.4348
"124","Vacular",0.94,0.06,245.27441,1083.7906
"125","Vacular",0.95,0.05,298.29236,1084.7935
"126","Vacular",0.99,0.01,855.97174,1087.4061
"127","Vacular",0.91,0.09,1682.2657,1090.1376
"128","Vacular",0.96,0.04,1282.7432,1105.4863
"129","Vacular",0.91,0.09,1390.1077,1115.123
"130","NonVascular",0.08,0.92,855.901,1110.3466
"131","Vacular",0.93,0.07,318.65,1128.2875
"132","Vacular",0.88,0.12,799.05,1128.6237
"133","Vacular",0.98,0.02,73.060776,1130.5387
"134","Vacular",0.91,0.09,1719.4562,1134.6366
"139","NonVascular",0.02,0.98,369.81583,1203.0426
"141","Vacular",0.89,0.11,1304.1714,1221.7671
"142","Vacular",0.96,0.04,888.6923,1226.9744
"143","Vacular",0.88,0.12,686.98535,1235.478
"145","Vacular",0.87,0.13,1807.1151,1254.1835
"147","Vacular",0.95,0.05,1282.4011,1275.9187
"148","Vacular",0.93,0.07,1364.8109,1282.1461
"149","Vacular",0.97,0.03,109.71111,1292.9639
"150","NonVascular",0.03,0.97,468.66217,1305.6973
"151","NonVascular",0,1,268.35034,1301.266
"152","Vacular",0.98,0.02,412.25204,1300.1788
"154","Vacular",0.9,0.1,438.74866,1311.6709
"156","Vacular",0.96,0.04,357.82452,1308.3566
"158","Vacular",0.85,0.15,1067.13,1328.4081
"163","Vacular",0.96,0.04,968.65967,1380.7831
"164","NonVascular",0.04,0.96,267.89633,1425.363
"166","NonVascular",0.19,0.81,578.5441,1404.7206
"167","Vacular",1,0,368.52716,1430.8586
"168","Vacular",0.98,0.02,640.07025,1442.8351
"170","Vacular",0.98,0.02,1757.3324,1450.2303
"171","NonVascular",0.19,0.81,167.11465,1452.8535
"172","Vacular",0.96,0.04,196.82231,1454.2479
