"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"3","Vacular",0.88,0.12,1767.9932,8.603448
"4","Vacular",0.88,0.12,710.4036,10.096386
"5","Vacular",0.85,0.15,704.53357,42.88806
"6","Vacular",1,0,129.48775,45.92647
"7","Vacular",0.98,0.02,1111.0924,44.096638
"8","NonVascular",0.19,0.81,1403.2188,52.75
"9","Vacular",0.86,0.14,337.4087,57.052174
"10","Vacular",0.99,0.01,816.3776,104.00633
"11","NonVascular",0.06,0.94,931.0982,100.622025
"13","Vacular",0.93,0.07,1588.9976,136.7046
"14","NonVascular",0.08,0.92,907.15674,135.64552
"15","Vacular",0.95,0.05,1046.9648,161.15727
"18","Vacular",0.82,0.18,1409.3187,168.03586
"19","Vacular",1,0,1337.1165,172.12962
"20","Vacular",0.91,0.09,184.76704,175.18372
"21","Vacular",1,0,380.98596,178.35956
"26","NonVascular",0.02,0.98,1704.3514,264.69733
"27","NonVascular",0.03,0.97,1642.439,255.72519
"29","Vacular",0.99,0.01,927.4596,262.60168
"30","NonVascular",0.14,0.86,177.235,260.2
"31","Vacular",0.86,0.14,489.45303,274.81137
"34","Vacular",0.88,0.12,1073.9913,280.3826
"35","NonVascular",0,1,298.8449,299.07892
"36","NonVascular",0.02,0.98,374.02002,325.6635
"37","Vacular",0.93,0.07,524.73975,304.42923
"38","NonVascular",0.19,0.81,235.23685,314.67105
"39","NonVascular",0,1,1202.3181,351.44196
"41","Vacular",0.94,0.06,140.87048,339.8438
"42","Vacular",0.91,0.09,546.6836,333.97266
"44","Vacular",0.92,0.08,595.1921,346.99435
"47","Vacular",0.96,0.04,261.69696,396.47272
"48","NonVascular",0.02,0.98,1660.0819,404.5369
"49","Vacular",0.97,0.03,233.50371,398.15927
"50","NonVascular",0.05,0.95,475.48276,399.73563
"51","Vacular",1,0,1526.8134,406.184
"52","Vacular",0.86,0.14,1342.2301,403.98016
"53","NonVascular",0.19,0.81,485.18643,408.89832
"54","NonVascular",0.19,0.81,325.0345,411.22415
"55","Vacular",0.96,0.04,1687.9746,421.35492
"58","Vacular",0.92,0.08,1074.6241,434.0293
"59","Vacular",0.93,0.07,378.1154,440.19232
"60","Vacular",1,0,210.91821,443.89447
"61","NonVascular",0.16,0.84,1707.1097,442.40244
"62","Vacular",0.93,0.07,394.71875,465.11667
"64","NonVascular",0.04,0.96,1069.6593,481.06042
"65","Vacular",0.92,0.08,908.9403,482.6388
"66","NonVascular",0.16,0.84,108.35714,495.2366
"68","NonVascular",0.14,0.86,1824.4116,532.1445
"72","NonVascular",0.17,0.83,1122.9246,534.41486
"74","Vacular",0.97,0.03,422.35764,531.06354
"75","Vacular",0.99,0.01,498.62888,540.4794
"76","NonVascular",0.04,0.96,46.632496,555.23987
"78","Vacular",0.96,0.04,1335.7867,562.6006
"79","NonVascular",0,1,1219.8817,598.9257
"80","Vacular",0.92,0.08,1842.6401,580.24164
"84","NonVascular",0.12,0.88,523.4872,585.5
"85","Vacular",0.97,0.03,1067.1534,601.4736
"86","NonVascular",0.15,0.85,1857.0619,601.6495
"87","NonVascular",0.11,0.89,1883.8954,608.1395
"88","NonVascular",0.01,0.99,24.107275,664.56287
"89","Vacular",0.94,0.06,395.69208,634.7126
"90","NonVascular",0.08,0.92,1277.4425,648.8671
"92","Vacular",1,0,489.0842,637.53156
"95","NonVascular",0.01,0.99,120.045616,656.9298
"96","Vacular",0.93,0.07,965.67554,654.5851
"98","NonVascular",0.17,0.83,1929.9879,675.66266
"101","Vacular",0.87,0.13,574.5994,696.81305
"104","NonVascular",0.02,0.98,239.16164,731.9849
"106","Vacular",0.89,0.11,286.8095,751.3169
"107","NonVascular",0.02,0.98,1356.5331,789.59357
"109","NonVascular",0.04,0.96,1503.3812,771.8417
"111","Vacular",1,0,1545.2438,774.1407
"112","Vacular",0.83,0.17,1168.0687,778.7622
"115","Vacular",0.99,0.01,39.464115,805.61725
"116","Vacular",0.99,0.01,843.3551,809.30286
"117","Vacular",0.99,0.01,649.5152,814.9
"118","NonVascular",0.18,0.82,1089.902,806.0784
"120","Vacular",0.81,0.19,583.8423,826.17883
"121","Vacular",0.98,0.02,447.76065,822
"122","Vacular",1,0,350.00464,822.1111
"125","NonVascular",0,1,1147.6787,844.42804
"127","Vacular",0.92,0.08,1188.7987,855.11285
"129","Vacular",0.97,0.03,1585.4456,865.00195
"131","NonVascular",0,1,1885.0747,894.5195
"132","Vacular",0.97,0.03,587.32776,870.6321
"133","Vacular",1,0,484.48224,885.0279
"135","Vacular",0.96,0.04,187.08418,898.45154
"136","Vacular",0.94,0.06,632.7156,916.0356
"137","NonVascular",0.12,0.88,1572.1821,917.1142
"139","Vacular",0.96,0.04,43.759212,930.79364
"140","Vacular",0.93,0.07,1161.0775,931.88574
"141","Vacular",0.97,0.03,187.71875,939.15234
"142","NonVascular",0,1,1501.1398,962.1017
"143","Vacular",0.98,0.02,55.738197,959.28326
"144","NonVascular",0.02,0.98,1584.3032,974.4787
"146","Vacular",0.88,0.12,1378.2612,966.9291
"150","Vacular",0.94,0.06,187.9979,996.81934
"151","NonVascular",0.15,0.85,1540.3005,1006.68854
"152","Vacular",0.93,0.07,77.384796,1016.10925
