"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"2","Vacular",0.99,0.01,617.97266,16.945354
"3","Vacular",0.93,0.07,1682.7112,19.394423
"5","NonVascular",0.07,0.93,502.37616,22.036697
"7","Vacular",0.99,0.01,11.670076,48.80051
"8","Vacular",0.99,0.01,1619.3636,51.374657
"9","Vacular",0.93,0.07,680.0293,65.16795
"11","Vacular",0.95,0.05,122.04816,62.954674
"12","Vacular",1,0,330.31662,69.34565
"13","Vacular",0.96,0.04,1295.3866,75.42468
"16","NonVascular",0.16,0.84,1090.9873,95.544304
"17","NonVascular",0.02,0.98,328.86533,112.29663
"19","NonVascular",0.02,0.98,477.9521,106.972916
"23","Vacular",1,0,727.7706,125.56881
"27","Vacular",0.94,0.06,391.3519,142.44931
"29","NonVascular",0.13,0.87,446.0762,171.40335
"30","Vacular",0.98,0.02,126.59799,175.9799
"35","NonVascular",0,1,577.9512,212.38046
"36","NonVascular",0.03,0.97,689.32623,217.4279
"37","Vacular",1,0,1729.7808,211.18182
"38","Vacular",0.92,0.08,645.0966,216.07983
"40","NonVascular",0.13,0.87,604.875,215.9327
"41","NonVascular",0.09,0.91,838.1932,228.02272
"42","Vacular",0.93,0.07,5.8126802,244.44957
"43","Vacular",0.9,0.1,724.1706,267.03555
"44","Vacular",0.89,0.11,427.56476,269.23056
"45","Vacular",0.82,0.18,1473.4117,281.22354
"46","NonVascular",0.13,0.87,1094.8816,280.32236
"48","Vacular",0.99,0.01,1075.0433,304.13242
"49","NonVascular",0.17,0.83,1495.2975,298.22314
"50","Vacular",0.98,0.02,749.2437,313.14847
"52","NonVascular",0.19,0.81,552.8674,335.60205
"53","NonVascular",0.05,0.95,156.69731,349.29886
"54","Vacular",0.98,0.02,777.3505,352.6598
"56","Vacular",0.99,0.01,639.4587,358.1054
"57","NonVascular",0.07,0.93,1702.4689,364.61276
"58","NonVascular",0.14,0.86,1052.0879,359.0811
"59","NonVascular",0.19,0.81,1658.55,363.61667
"60","Vacular",0.89,0.11,399.7604,392.55728
"61","NonVascular",0.19,0.81,150.13542,400.35416
"64","NonVascular",0,1,1682.6096,417.09354
"65","NonVascular",0.09,0.91,587.44775,422.17795
"68","Vacular",1,0,499.533,444.04315
"69","NonVascular",0.13,0.87,893.65576,443.9754
"70","Vacular",1,0,1695.2665,447.77222
"72","NonVascular",0.1,0.9,336.96198,486.71863
"73","NonVascular",0.19,0.81,599.9418,491.7573
"75","Vacular",1,0,69.68279,508.37634
"76","NonVascular",0.12,0.88,451.36768,514.7171
"77","Vacular",0.86,0.14,1036.9763,516.4657
"78","Vacular",0.91,0.09,487.4365,527.873
"79","NonVascular",0.03,0.97,426.18225,542.7734
"80","Vacular",0.92,0.08,1222.5275,545.9949
"81","Vacular",0.99,0.01,402.4488,568.12683
"82","Vacular",1,0,631.68463,568.8437
"83","Vacular",0.98,0.02,142.15208,594.08124
"84","NonVascular",0.01,0.99,213.76744,602.11163
"85","Vacular",0.86,0.14,1287.1047,610.19684
