"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","Vacular",0.99,0.01,414.68045,7.154135
"2","Vacular",0.95,0.05,1460.48,5.53
"3","Vacular",0.94,0.06,615.1429,20.57764
"5","Vacular",0.99,0.01,1152.2194,38.67857
"6","Vacular",0.83,0.17,1767.9465,41.88372
"8","Vacular",0.96,0.04,223.90536,53.938618
"9","Vacular",0.85,0.15,842.41846,56.716923
"12","NonVascular",0.13,0.87,1899.7466,81
"14","Vacular",0.82,0.18,1919.1782,108.05014
"15","Vacular",0.99,0.01,688.2716,115.36296
"16","Vacular",0.96,0.04,1397.0988,153.08832
"17","Vacular",0.97,0.03,182.24852,185.61243
"18","Vacular",0.99,0.01,1638.6466,187.31322
"19","Vacular",0.83,0.17,1800.679,218.3251
"20","Vacular",1,0,1392.9926,228.405
"21","Vacular",0.87,0.13,1084.8959,237.36594
"22","NonVascular",0.01,0.99,880.91956,270.04996
"23","Vacular",0.99,0.01,1461.0055,254.34154
"24","Vacular",0.98,0.02,1649.5182,265.51486
"27","Vacular",0.93,0.07,857.6598,301.34943
"28","Vacular",0.88,0.12,1517.3424,294.774
"29","Vacular",0.85,0.15,399.93607,307.57867
"30","NonVascular",0.06,0.94,908.49054,363.55084
"32","Vacular",0.99,0.01,914.3237,332.58536
"33","Vacular",0.85,0.15,1193.2936,331.19766
"34","NonVascular",0.07,0.93,440.84103,357.38348
"36","Vacular",0.99,0.01,1665.5696,353.70877
"37","Vacular",0.99,0.01,761.06744,362.19534
"38","Vacular",1,0,103.54872,368.70258
"39","Vacular",0.84,0.16,209.2095,377.19553
"40","Vacular",0.89,0.11,1377.8481,387.7765
"42","NonVascular",0.02,0.98,410.75616,406.3315
"43","NonVascular",0,1,420.90906,454.47702
"45","Vacular",1,0,508.59006,445.706
"46","Vacular",0.84,0.16,1287.552,446.51733
"47","Vacular",0.98,0.02,1446.0121,448.3623
"48","Vacular",0.99,0.01,1780.7296,462.33804
"49","Vacular",0.86,0.14,1679.5018,463.68683
"51","Vacular",0.89,0.11,777.4358,502.30148
"53","Vacular",0.98,0.02,1426.6722,527.4472
"56","Vacular",0.98,0.02,221.18056,535.4167
"57","Vacular",0.98,0.02,81.268906,562.2605
"58","Vacular",0.91,0.09,1847.8068,594.0672
"59","Vacular",0.82,0.18,877.30884,592.7647
"60","Vacular",0.99,0.01,1148.9238,610.6
"61","Vacular",0.84,0.16,601.3556,612.63104
"63","Vacular",0.96,0.04,336.19574,654.3868
"64","Vacular",0.94,0.06,1594.1183,655.4543
"66","Vacular",0.99,0.01,622.92914,703.84467
"67","Vacular",0.89,0.11,1594.9777,708.8692
"68","Vacular",0.93,0.07,1574.7323,719.28064
"69","Vacular",0.88,0.12,1096.5977,725.62646
"71","Vacular",0.93,0.07,137.89972,735.5673
"72","Vacular",1,0,1199.4724,756.8425
"73","Vacular",0.93,0.07,313.0389,767.98804
"74","NonVascular",0.16,0.84,495.12366,788.914
"76","Vacular",0.96,0.04,1200.0375,807.9142
"77","Vacular",1,0,1402.955,828.2169
"79","Vacular",0.9,0.1,678.35504,852.2964
"80","Vacular",0.99,0.01,794.5731,886.1696
"81","Vacular",0.97,0.03,1090.6232,884.96735
"82","Vacular",0.85,0.15,419.69565,906.4746
"83","Vacular",0.97,0.03,1685.7814,923.17065
"84","Vacular",0.92,0.08,1140.6932,972.25665
"85","Vacular",0.85,0.15,1451.1305,990.13043
"86","Vacular",0.97,0.03,860.1589,1000.0599
"87","Vacular",0.94,0.06,464.53384,1004.69794
"88","Vacular",0.96,0.04,982.23,1012.2833
"89","NonVascular",0.15,0.85,1793.3405,1009.3901
"90","NonVascular",0.07,0.93,8.99759,1030.8169
"91","Vacular",0.97,0.03,1816.8644,1042.0201
"92","Vacular",0.91,0.09,71.445786,1061.9318
"93","Vacular",0.97,0.03,179.65887,1070.715
"95","Vacular",1,0,1100.0353,1089.2908
"96","Vacular",1,0,227.61191,1115.531
"97","Vacular",0.96,0.04,94.781586,1122.0792
"98","Vacular",0.93,0.07,1665.639,1122.0917
"99","Vacular",0.98,0.02,962.38837,1124.9697
"100","NonVascular",0.17,0.83,1369.9252,1134.3636
"104","NonVascular",0.09,0.91,394.8826,1157.4783
"105","Vacular",0.9,0.1,256.192,1202.7814
"106","Vacular",0.87,0.13,1109.5048,1253.684
"109","Vacular",0.91,0.09,1535.3655,1309.2662
"110","Vacular",0.98,0.02,741.1536,1310.7006
"113","Vacular",0.98,0.02,1317.4731,1333.0205
"115","NonVascular",0.13,0.87,4.6310678,1335.5243
"116","NonVascular",0.05,0.95,1796.6366,1355.2733
"117","Vacular",0.97,0.03,1062.425,1371.4546
"118","Vacular",0.97,0.03,410.55408,1387.1293
"119","Vacular",0.88,0.12,1807.2887,1400.3464
"125","Vacular",0.96,0.04,424.59003,1440.6648
"126","NonVascular",0.19,0.81,954.4321,1454.3086
