"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"3","Vacular",0.94,0.06,743.4908,17.114391
"4","Vacular",0.89,0.11,409.15244,25.118902
"6","NonVascular",0.01,0.99,1554.269,36.656845
"7","NonVascular",0.08,0.92,1598.3649,47.12162
"8","Vacular",1,0,181.68053,70.28312
"9","NonVascular",0.19,0.81,98.13707,90.482864
"10","Vacular",0.95,0.05,1542.7551,88.047195
"11","Vacular",0.97,0.03,935.5654,93.20494
"12","Vacular",0.82,0.18,1352.9388,90.666664
"13","NonVascular",0.16,0.84,453.80713,112.08381
"14","NonVascular",0.02,0.98,1473.8501,109.493256
"15","NonVascular",0.17,0.83,73.49751,118.9403
"16","Vacular",0.98,0.02,1693.2219,123.930176
"17","Vacular",0.97,0.03,1218.633,123.95238
"19","NonVascular",0.06,0.94,1421.4791,140.40625
"20","NonVascular",0.11,0.89,73.38989,143.44043
"22","Vacular",0.99,0.01,720.46204,145.15181
"24","NonVascular",0.06,0.94,665.8,150.0069
"25","NonVascular",0.03,0.97,7.066993,169.02777
"26","NonVascular",0.04,0.96,744.7134,173.47975
"27","NonVascular",0.07,0.93,409.1103,170.36519
"28","NonVascular",0.11,0.89,1505.4124,168.89175
"29","Vacular",1,0,1240.6349,201.32697
"32","Vacular",0.98,0.02,1536.3271,209.125
"33","Vacular",0.87,0.13,759.2083,214.0921
"34","NonVascular",0.18,0.82,645.6731,211.89423
"36","NonVascular",0.15,0.85,26.837439,229.77339
"38","NonVascular",0.19,0.81,638.7928,243.27026
"39","Vacular",1,0,1655.3988,245.75
"42","NonVascular",0.01,0.99,1234.4326,280.81525
"43","Vacular",0.89,0.11,1474.6813,269.87427
"45","NonVascular",0.07,0.93,23.267605,287.51175
"48","NonVascular",0.16,0.84,1840.277,306.04614
"49","Vacular",0.85,0.15,1738.4626,321.36298
"51","Vacular",0.95,0.05,317.8474,338.4523
"53","NonVascular",0.08,0.92,556.79034,341.2903
"54","Vacular",0.82,0.18,1032.5765,354.01093
"55","Vacular",0.92,0.08,180.22011,360.51993
"56","Vacular",0.91,0.09,1727.2858,366.013
"57","NonVascular",0,1,137.18515,384.57028
"58","NonVascular",0.12,0.88,853.8598,393.7093
