"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","Vacular",0.99,0.01,1102.9236,13.069445
"2","Vacular",0.81,0.19,650.73773,65.99233
"4","NonVascular",0.04,0.96,430.74014,77.40148
"7","NonVascular",0.02,0.98,1283.7208,109.97572
"8","Vacular",1,0,1125.6083,100.94404
"9","NonVascular",0.1,0.9,771.9883,104.60234
"13","Vacular",0.98,0.02,1346.458,170.62898
"14","Vacular",0.84,0.16,1131.97,207.1178
"15","Vacular",0.98,0.02,1294.1979,209.9314
"16","Vacular",0.92,0.08,1820.494,230.18452
"17","NonVascular",0.02,0.98,369.18112,248.46631
"18","NonVascular",0.01,0.99,826.78394,251.11841
"19","Vacular",0.96,0.04,1240.3464,243.63518
"20","NonVascular",0.13,0.87,1601.3,256.46317
"22","Vacular",0.95,0.05,1008.63257,299.01935
"24","Vacular",0.96,0.04,1590.3707,311.7885
"25","Vacular",0.99,0.01,510.82016,316.02454
"26","NonVascular",0.01,0.99,1582.1301,372.92465
"27","Vacular",0.97,0.03,1133.6945,335.1861
"28","Vacular",1,0,375.1706,343.72702
"29","Vacular",0.97,0.03,1352.8303,342.7113
"30","NonVascular",0.09,0.91,317.20856,348.05884
"31","NonVascular",0.18,0.82,1542.8258,362.95505
"32","NonVascular",0.01,0.99,348.56885,375.02695
"33","Vacular",0.97,0.03,862.09534,383.0678
"34","NonVascular",0,1,1808.9097,415.51187
"35","Vacular",1,0,150.1571,393.22195
"36","Vacular",0.98,0.02,1554.6132,396.32104
"37","Vacular",0.98,0.02,1178.9054,398.54053
"38","NonVascular",0.1,0.9,1522.8695,407.6174
"40","Vacular",0.92,0.08,208.763,436.78323
"41","NonVascular",0.04,0.96,1927.2517,461.5312
"43","NonVascular",0,1,1729.2667,500.15002
"44","NonVascular",0.02,0.98,1326.216,500.5285
"45","NonVascular",0.01,0.99,1557.0344,549.86725
"46","NonVascular",0.18,0.82,1200.72,487.66547
"47","Vacular",0.98,0.02,992.19415,498.10107
"48","Vacular",1,0,1301.7147,539.0187
"49","Vacular",0.95,0.05,1649.2346,549.80554
"51","NonVascular",0.12,0.88,892.3125,567.28125
"52","NonVascular",0.13,0.87,523.5,615.348
"54","Vacular",1,0,819.128,621.6111
"55","Vacular",0.98,0.02,460.6573,634.5243
"56","Vacular",0.98,0.02,235.7018,670.2879
"57","Vacular",0.82,0.18,1921.2273,669.93317
"58","NonVascular",0.01,0.99,986.3916,710.34784
"59","Vacular",0.98,0.02,718.16364,712.9727
"60","NonVascular",0.15,0.85,765.8,715.3555
"61","NonVascular",0.15,0.85,146.56029,719.695
"62","Vacular",0.81,0.19,1856.3579,719.37787
"63","NonVascular",0.18,0.82,660.77,727.97
"65","Vacular",0.99,0.01,827.19946,744.6205
"67","NonVascular",0.12,0.88,414.13058,766.67834
"68","Vacular",0.81,0.19,1676.453,782.24347
"69","NonVascular",0.14,0.86,178.32098,770.5679
"70","Vacular",0.98,0.02,969.2994,783.491
"71","NonVascular",0.09,0.91,107.44156,780.9935
"72","NonVascular",0.03,0.97,144.38316,797.0515
"73","Vacular",0.97,0.03,1202.6995,793.9655
"75","Vacular",1,0,60.661537,827.1923
"76","NonVascular",0,1,1103.3984,868.7624
"77","NonVascular",0.19,0.81,1343.0944,830.56604
"78","Vacular",0.93,0.07,1264.3583,839.9595
"79","Vacular",0.98,0.02,1735.1798,848.65393
"81","Vacular",1,0,1589.3202,853.52234
"82","NonVascular",0.07,0.93,1392.225,854.5868
"84","Vacular",1,0,756.3716,894.1646
"85","Vacular",0.94,0.06,1731.9635,901.18256
"86","Vacular",0.99,0.01,447.32037,901.15533
"88","Vacular",0.98,0.02,1265.6215,912.66754
"89","Vacular",1,0,61.468586,924.1178
"91","Vacular",0.99,0.01,850.0102,955.4566
"92","Vacular",0.93,0.07,739.9462,961.2025
"94","NonVascular",0.06,0.94,35.9375,1003.6211
"95","Vacular",1,0,953.5662,1019.6727
"96","Vacular",0.99,0.01,630.6598,1028.2345
"97","NonVascular",0.03,0.97,17.474285,1039.6172
"99","NonVascular",0.17,0.83,13.707216,1086.0928
"100","NonVascular",0.14,0.86,93.58576,1086.0194
"101","Vacular",0.97,0.03,1613.765,1089.0847
"102","NonVascular",0.03,0.97,65.08861,1099.4583
"103","Vacular",1,0,1352.4447,1096.1553
"104","Vacular",1,0,866.78046,1102.432
"105","Vacular",1,0,773.3351,1124.3694
"106","NonVascular",0.02,0.98,230.64383,1186.7687
"107","Vacular",1,0,1572.5481,1165.2
"108","Vacular",0.81,0.19,1034.3881,1184.0822
"109","NonVascular",0.18,0.82,274.1337,1202.2521
"111","Vacular",0.92,0.08,1107.248,1230.6417
"112","Vacular",0.97,0.03,875.02466,1249.4822
"113","Vacular",1,0,1169.8121,1250.0381
"115","Vacular",0.96,0.04,418.6305,1261.522
"116","Vacular",0.99,0.01,709.6931,1270.6085
"117","NonVascular",0.08,0.92,1200.3029,1267.4915
"118","NonVascular",0.02,0.98,1105.7992,1366.2203
"120","Vacular",0.95,0.05,645.89954,1318.2177
"122","Vacular",0.92,0.08,452.1868,1386.5094
"123","NonVascular",0.02,0.98,359.4454,1391.75
"124","Vacular",0.95,0.05,896.1469,1410.5452
"125","NonVascular",0.04,0.96,336.5504,1421.6282
"129","NonVascular",0.03,0.97,1921.6317,1450.9485
"130","NonVascular",0.18,0.82,327.19446,1453.0278
"131","NonVascular",0.05,0.95,1273.8407,1454.9926
