"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"4","NonVascular",0.17,0.83,1213.375,4.007576
"5","NonVascular",0.17,0.83,1454.4767,2.6744187
"6","NonVascular",0.03,0.97,1820.8677,7.008821
"7","Vacular",0.9,0.1,1740.2723,15.714286
"9","Vacular",0.99,0.01,864.6603,34.589745
"10","Vacular",1,0,469.25986,54.33858
"11","Vacular",0.94,0.06,1633.2045,53.926517
"12","Vacular",0.88,0.12,1473.1674,72.94421
"13","Vacular",0.87,0.13,340.3,73.075
"14","Vacular",0.87,0.13,1180.3087,77.79723
"16","Vacular",0.9,0.1,913.9914,89.587395
"17","Vacular",0.96,0.04,1139.1154,101.81923
"18","Vacular",1,0,564.0349,106.66279
"20","Vacular",0.95,0.05,192.65323,109.12634
"21","Vacular",0.87,0.13,1142.2745,149.41356
"22","Vacular",0.92,0.08,651.4856,161.32555
"23","Vacular",0.91,0.09,753.71344,163.38597
"24","Vacular",0.83,0.17,716.19354,174.96313
"25","Vacular",0.95,0.05,758.92377,188.42987
"26","NonVascular",0.01,0.99,350.44275,227.67929
"30","NonVascular",0.03,0.97,28.022278,250.40965
"31","Vacular",0.99,0.01,235.78935,253.84259
"32","Vacular",0.94,0.06,668.709,265.50156
"35","Vacular",0.96,0.04,1385.3478,281.45218
"36","Vacular",0.86,0.14,22.728195,287.0345
"37","NonVascular",0.12,0.88,97.3,292.73126
"38","Vacular",0.98,0.02,123.992874,304.14252
"39","Vacular",1,0,359.57043,314.47806
"41","NonVascular",0.03,0.97,70.66953,329.2926
"42","Vacular",1,0,970.3343,321.74557
"43","Vacular",0.89,0.11,451.5304,325.40054
"44","NonVascular",0.01,0.99,167.73044,340.24057
"45","Vacular",0.97,0.03,1153.1779,336.51227
"46","Vacular",0.93,0.07,105.39554,357.41177
"48","Vacular",0.97,0.03,1140.9104,360.5448
"49","Vacular",0.82,0.18,1226.2,356.83636
"50","NonVascular",0.06,0.94,133.45682,368.94708
"51","Vacular",0.95,0.05,1686.1292,370.87082
"52","NonVascular",0.01,0.99,230.70464,386.86774
"55","Vacular",0.86,0.14,1789.9857,394.14233
"57","Vacular",1,0,752.96344,403.9402
"58","NonVascular",0.19,0.81,200.27692,411.6154
"59","Vacular",0.81,0.19,222.50938,427.25586
"60","Vacular",0.96,0.04,280.2925,427.665
"61","Vacular",0.87,0.13,1014.1768,426.4055
"62","NonVascular",0,1,1897.4348,435.29044
"63","Vacular",0.84,0.16,695.4476,438.65472
"65","Vacular",0.95,0.05,1683.1494,449.65768
"67","Vacular",0.91,0.09,1115.7186,492.82034
"69","Vacular",0.85,0.15,433.2623,495.4918
"72","Vacular",0.88,0.12,1327.6042,516.6855
"75","Vacular",0.93,0.07,494.50122,578.48425
"76","Vacular",0.95,0.05,83.73251,603.1502
"78","NonVascular",0,1,1906.448,617.72784
"79","Vacular",0.99,0.01,243.58495,608.8495
"80","Vacular",0.85,0.15,946.54114,610.3896
"81","Vacular",0.92,0.08,1042.5154,619.8865
"83","Vacular",0.82,0.18,359.104,642.18
"84","Vacular",0.97,0.03,1390.3323,644.19543
"86","Vacular",0.97,0.03,1336.2803,651
"88","Vacular",0.83,0.17,564.9003,665.1713
"89","Vacular",0.99,0.01,191.11954,684.5044
"90","Vacular",0.86,0.14,1824.2858,689.9662
"91","Vacular",0.9,0.1,694.58124,694.625
"92","Vacular",0.96,0.04,4.7222223,696.99536
"93","Vacular",1,0,442.6349,699.0767
"94","Vacular",0.84,0.16,201.55556,715.02563
"95","Vacular",0.91,0.09,1198.6498,725.48016
"96","Vacular",0.99,0.01,290.3387,731.5161
"97","Vacular",0.87,0.13,844.3889,743.94116
"98","Vacular",0.98,0.02,1767.7024,746.9792
"99","NonVascular",0.02,0.98,53.132683,761.7012
"100","Vacular",0.95,0.05,549.98846,748.8415
"103","Vacular",0.81,0.19,580.7889,770.04443
"106","NonVascular",0.01,0.99,953.0136,841.20245
"109","Vacular",0.98,0.02,336.6995,829.1399
"111","Vacular",0.99,0.01,1069.0588,836.7118
"112","Vacular",0.9,0.1,789.70056,855.27905
"113","NonVascular",0,1,257.24054,867.5288
"114","NonVascular",0.03,0.97,892.9935,858.5585
"115","Vacular",0.87,0.13,58.35012,886.6067
"117","Vacular",1,0,535.4077,927.4601
"120","Vacular",0.99,0.01,192.33516,941.3489
"121","Vacular",0.95,0.05,1611.575,944.95
"124","Vacular",0.84,0.16,1024.5153,960.655
"125","Vacular",0.97,0.03,6.0772357,971.9878
"126","Vacular",1,0,331.9775,973.7275
"127","Vacular",0.89,0.11,442.94885,974.53455
"128","Vacular",0.95,0.05,134.93066,993.632
"129","Vacular",0.91,0.09,649.0297,993.0462
"130","Vacular",0.94,0.06,66.773224,995.20764
"132","Vacular",0.86,0.14,40.901817,1004.7782
"133","Vacular",0.96,0.04,454.39178,1011.7151
"134","NonVascular",0.13,0.87,89.952095,1013.7545
"135","Vacular",0.98,0.02,1305.5092,1041.1141
"136","Vacular",0.92,0.08,1071.7695,1057.1807
"138","Vacular",0.99,0.01,515.2032,1074.0481
"139","Vacular",1,0,94.84987,1092.5013
"140","NonVascular",0.15,0.85,85.37037,1113.7407
"141","Vacular",0.94,0.06,1766.23,1129.2396
"142","Vacular",0.82,0.18,839.7935,1145.8423
"143","Vacular",0.95,0.05,1360.4419,1144.3308
"145","Vacular",1,0,257.07895,1161.1974
"146","Vacular",0.97,0.03,1470.3856,1162.0717
"148","Vacular",0.82,0.18,4.2916665,1172.341
"151","Vacular",0.99,0.01,1121.7208,1193.3374
"152","Vacular",0.95,0.05,551.7663,1236.9794
"154","Vacular",0.9,0.1,612.22406,1280.958
"156","Vacular",0.95,0.05,282.12598,1294.0977
"157","Vacular",0.94,0.06,1371.5563,1290.5627
"159","Vacular",0.99,0.01,370.1743,1304.8457
"160","Vacular",0.95,0.05,801.9139,1307.9738
"162","Vacular",0.98,0.02,1095.387,1352.1506
"163","Vacular",0.89,0.11,1177.9968,1356.865
"164","Vacular",0.95,0.05,808.913,1368.8127
"165","NonVascular",0.17,0.83,873.8493,1380.911
"167","Vacular",0.92,0.08,1819.3052,1384.6458
"168","Vacular",0.97,0.03,612.161,1409.3842
"169","Vacular",0.86,0.14,1245.9689,1421.7416
"170","NonVascular",0.01,0.99,1398.4685,1442.8763
"172","NonVascular",0.05,0.95,1231.6763,1447.4294
"173","Vacular",0.87,0.13,1473.1221,1453.8545
