"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","Vacular",0.99,0.01,1298.0288,10.852518
"3","NonVascular",0.05,0.95,499.96225,41.68239
"4","NonVascular",0.06,0.94,1930.4695,55.536587
"6","NonVascular",0.12,0.88,1605.862,79.574036
"7","Vacular",1,0,1155.5946,98.51652
"8","NonVascular",0.19,0.81,39.36842,95.41053
"9","Vacular",1,0,250.08372,104.4
"10","Vacular",0.83,0.17,365.6652,102.63436
"11","Vacular",0.96,0.04,676.82184,112.54521
"12","NonVascular",0.06,0.94,1898.2795,138.62204
"14","Vacular",0.93,0.07,1543.7578,144.16809
"15","Vacular",1,0,571.1417,147.0401
"16","Vacular",0.82,0.18,909.402,166.17276
"17","Vacular",0.94,0.06,485.08572,166.98572
"18","Vacular",0.95,0.05,1789.7017,181.82043
"20","Vacular",0.95,0.05,1250.5193,207.31454
"21","Vacular",0.99,0.01,1645.5437,223.0765
"22","Vacular",0.97,0.03,1126.9617,227.98933
"23","Vacular",0.86,0.14,1724.8723,229.9929
"24","NonVascular",0.04,0.96,240.48685,236.46272
"25","Vacular",0.96,0.04,434.95923,242.37772
"27","Vacular",0.97,0.03,801.38916,256.92163
"28","Vacular",0.98,0.02,125.002716,266.31793
"29","Vacular",0.96,0.04,67.810905,270.76727
"30","Vacular",0.98,0.02,373.9127,295.3324
"31","Vacular",1,0,315.71027,295.67603
"33","Vacular",0.97,0.03,593.493,313.47195
"34","NonVascular",0.19,0.81,1552.4175,311
"35","Vacular",0.99,0.01,1277.0087,327.2075
"36","Vacular",0.98,0.02,439.60483,329.3925
"38","Vacular",0.85,0.15,998.15094,336.56604
"40","Vacular",0.98,0.02,809.82806,372.1965
"42","Vacular",0.97,0.03,283.9663,407.66104
"44","NonVascular",0.17,0.83,1418.5,436.4189
"45","Vacular",0.83,0.17,1486.7946,443.32172
"48","Vacular",0.99,0.01,1242.2354,464.75632
"49","Vacular",1,0,1479.5682,471.22443
"50","Vacular",0.99,0.01,1178.7125,478.94403
"52","Vacular",0.94,0.06,480.40933,482.29944
"53","Vacular",0.97,0.03,1643.6078,483.663
"54","NonVascular",0.19,0.81,1721.7894,481.1842
"55","Vacular",0.95,0.05,165.3512,494.6756
"56","Vacular",1,0,785.9073,504.3634
"58","NonVascular",0.11,0.89,1156.3245,521.5421
"59","NonVascular",0.19,0.81,1605.8772,529.5088
"61","Vacular",0.92,0.08,1272.0842,537.43506
"63","NonVascular",0,1,612.28204,558.0606
"64","Vacular",0.99,0.01,728.5546,560.91595
"65","Vacular",0.96,0.04,1352.3423,559.2282
"66","NonVascular",0.1,0.9,1772.4127,590.60315
"68","NonVascular",0.04,0.96,1261.9745,632.6146
"70","Vacular",1,0,660.1662,639.79083
"71","Vacular",0.85,0.15,1179.8086,653.302
"72","Vacular",1,0,1695.3792,646.00256
"73","Vacular",0.98,0.02,1055.3678,663.2155
"74","Vacular",0.96,0.04,707.6209,666.2852
"76","Vacular",0.9,0.1,379.15125,671.78394
"77","Vacular",0.95,0.05,1526.5212,682.43616
"79","Vacular",0.98,0.02,1496.0494,691.625
"80","Vacular",0.82,0.18,1157.9318,700.81525
"81","Vacular",0.92,0.08,803.5575,706.6655
"82","Vacular",0.96,0.04,666.78735,717.46936
"83","NonVascular",0.02,0.98,1315.8052,718.4626
"84","Vacular",0.9,0.1,991.35345,727.46826
"85","Vacular",0.87,0.13,1156.909,728.17114
"86","Vacular",0.98,0.02,494.7983,749.5014
"87","Vacular",1,0,1066.935,763.53094
