"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","NonVascular",0.12,0.88,529.6948,5.5324674
"2","Vacular",0.95,0.05,1632.8384,4.6419215
"3","NonVascular",0.03,0.97,896.63947,17.898592
"4","Vacular",0.95,0.05,1289.3424,23.91212
"5","Vacular",1,0,950.6658,30.348066
"6","NonVascular",0.06,0.94,1657.4238,35.851852
"7","Vacular",1,0,61.810127,47.96962
"9","Vacular",1,0,1683.0892,62.372704
"10","Vacular",1,0,1093.9564,71.78208
"12","NonVascular",0.03,0.97,673.81757,74.138596
"14","NonVascular",0.04,0.96,1699.2009,92.96814
"16","Vacular",0.99,0.01,1430.6895,99.46724
"18","NonVascular",0.01,0.99,682.4531,114.86393
"19","Vacular",0.99,0.01,326.1309,119.28796
"20","Vacular",1,0,1711.7125,120.84733
"21","NonVascular",0.02,0.98,738.5066,130.84041
"23","NonVascular",0.14,0.86,1739.394,127.33512
"24","Vacular",0.92,0.08,8.832335,128.26347
"26","Vacular",0.88,0.12,660.64233,146.4416
"27","NonVascular",0.16,0.84,1764.127,159.85715
"28","Vacular",0.98,0.02,1276.0986,170.84789
"29","Vacular",0.98,0.02,1766.6168,181.78215
"30","Vacular",0.92,0.08,548.54596,190.13092
"31","Vacular",0.99,0.01,1482.9458,196.6775
"33","Vacular",0.98,0.02,1112.9274,204.69354
"34","Vacular",0.94,0.06,1020.8901,226.87943
"36","Vacular",0.9,0.1,1587.1339,239.66965
"37","Vacular",0.82,0.18,1601.7784,271.1392
"38","Vacular",0.96,0.04,823.2161,272.79428
"39","Vacular",0.96,0.04,89.04663,271.6114
"40","NonVascular",0.17,0.83,103.37681,287.26086
"41","Vacular",0.95,0.05,1671.3545,308.58484
"42","Vacular",0.88,0.12,131.9382,310.14325
"43","Vacular",0.89,0.11,1721.3191,332.33023
"45","Vacular",0.84,0.16,580.375,353.11786
"46","Vacular",0.92,0.08,1753.3235,359.47162
"47","Vacular",1,0,644.6361,359.91098
"49","Vacular",0.96,0.04,1800.177,380.48853
"50","Vacular",0.88,0.12,1320.6105,391.7006
"51","Vacular",0.92,0.08,462.7328,404.63913
"52","Vacular",0.98,0.02,1222.3732,408.45013
"53","Vacular",0.86,0.14,1047.5424,417.83078
"54","Vacular",0.97,0.03,254.56216,423.95947
"56","Vacular",0.96,0.04,722.443,459.97614
"59","Vacular",0.99,0.01,1501.7202,469.48962
"60","Vacular",0.82,0.18,1694.2667,468.45834
"61","NonVascular",0.13,0.87,698.95514,480.5305
"62","Vacular",0.93,0.07,603.4041,473.7522
"63","Vacular",0.98,0.02,404.63788,485.81058
"64","NonVascular",0.02,0.98,1098.2662,493.98053
"65","NonVascular",0,1,484.2703,507.10132
"67","Vacular",0.83,0.17,170.69473,510.73685
"68","Vacular",0.92,0.08,187.97409,528.98444
"69","Vacular",1,0,1345.5624,537.98676
"71","NonVascular",0.19,0.81,1020.4154,553.83075
"72","Vacular",0.96,0.04,1042.2471,560.7669
"73","Vacular",1,0,922.2282,560.5154
"74","Vacular",0.91,0.09,1773.5896,562.85547
"75","Vacular",0.97,0.03,669.7917,568.3464
"76","Vacular",0.87,0.13,1145.6929,566.9706
"77","Vacular",0.97,0.03,322.31406,569.7548
"78","NonVascular",0.02,0.98,1041.1956,582.415
"79","Vacular",0.99,0.01,1627.5416,580.0944
"80","Vacular",1,0,1074.9459,657.0838
"81","Vacular",1,0,1218.5269,679.83887
"82","Vacular",0.98,0.02,1746.5258,685.84283
"83","Vacular",0.92,0.08,1020.1672,701.95013
"84","Vacular",0.84,0.16,1558.8889,700.5
"85","Vacular",0.93,0.07,1476.4312,708.8713
"86","Vacular",0.83,0.17,1571.486,724.9028
"87","Vacular",0.89,0.11,916.0871,711.8711
"88","Vacular",0.98,0.02,1148.9313,729.25214
"89","Vacular",0.92,0.08,489.7521,741.52673
"90","Vacular",0.88,0.12,1549.6783,744.7597
"91","Vacular",0.94,0.06,753.96234,745.88116
"98","Vacular",0.86,0.14,1547.8365,803.598
"99","Vacular",1,0,871.29974,811.82495
"100","Vacular",0.93,0.07,68.31552,833.87024
"101","Vacular",1,0,628.6715,837.43317
"105","Vacular",0.97,0.03,1399.7185,865.80695
"108","Vacular",0.82,0.18,823.3525,891.0355
"109","Vacular",0.95,0.05,4.4739337,924.59717
"111","Vacular",0.96,0.04,1808.928,931.712
"113","Vacular",0.92,0.08,1638.0045,952.3571
"114","NonVascular",0.06,0.94,1099.2336,1025.6263
"115","NonVascular",0,1,735.48517,1028.277
"116","NonVascular",0.02,0.98,1002.5099,1021.1465
"117","Vacular",0.93,0.07,1304.1548,1040.4197
"118","Vacular",0.9,0.1,1838.14,1085.4275
"120","Vacular",1,0,1675.686,1102.326
"122","Vacular",0.94,0.06,1624.3593,1118.197
"123","Vacular",1,0,1503.9783,1112.1522
"124","Vacular",0.93,0.07,487.88135,1121.358
"126","Vacular",0.96,0.04,430.2164,1163.4138
"128","NonVascular",0.04,0.96,369.12558,1163.7512
"129","Vacular",0.98,0.02,276.0393,1169.3167
"131","Vacular",0.9,0.1,1680.7617,1229.592
"132","Vacular",0.94,0.06,1373.135,1262.7521
"134","NonVascular",0.16,0.84,678.7976,1308.881
"135","Vacular",0.97,0.03,504.35733,1322.2133
"136","Vacular",0.84,0.16,989.5563,1322.3973
"137","Vacular",0.85,0.15,1196.8402,1328.831
"138","Vacular",0.95,0.05,679.5107,1344.4056
"139","NonVascular",0.15,0.85,23.275255,1397.7146
"140","Vacular",0.98,0.02,1338.2137,1361.7045
"141","NonVascular",0.15,0.85,173.72612,1365.7516
"144","Vacular",0.99,0.01,1069.8711,1383.042
"146","NonVascular",0.08,0.92,121.643715,1398.3832
"147","Vacular",0.89,0.11,403.04504,1401.0331
"149","NonVascular",0.19,0.81,1656.4286,1430.7778
"150","Vacular",0.93,0.07,1391.6458,1437.0364
"151","NonVascular",0.04,0.96,1443.5339,1448.2786
"152","NonVascular",0.17,0.83,1559.6451,1449.2742
"153","Vacular",0.97,0.03,1584.7091,1452.0278
