"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"3","Vacular",0.95,0.05,1034.624,3.7518797
"5","NonVascular",0.02,0.98,127.20852,53.504696
"7","NonVascular",0.19,0.81,767.52527,58.754864
"9","NonVascular",0.07,0.93,367.7315,80.80156
"11","Vacular",0.91,0.09,17.480837,84.68641
"13","Vacular",0.93,0.07,417.98044,96.76039
"14","NonVascular",0.03,0.97,448.55875,95.12272
"15","Vacular",0.96,0.04,194.53055,96.874596
"16","Vacular",1,0,475.9872,108.80307
"19","Vacular",0.84,0.16,637.4053,172.55789
"20","Vacular",0.95,0.05,1266.1433,180.95699
"21","Vacular",0.83,0.17,1727.9633,184.72783
"23","Vacular",0.88,0.12,955.20734,201.7525
"24","Vacular",1,0,1162.7032,203.8544
"25","Vacular",0.94,0.06,96.7493,215.02534
"26","Vacular",1,0,1378.1556,219.50766
"27","Vacular",0.99,0.01,1072.4441,222.7192
"28","Vacular",0.98,0.02,237.63086,223.51791
"29","Vacular",0.91,0.09,392.9909,229.55455
"30","Vacular",1,0,515.15063,231.19481
"31","Vacular",0.91,0.09,1824.0493,252.75342
"32","Vacular",0.96,0.04,1573.153,267.5147
"33","Vacular",1,0,1224.7617,308.42746
"34","Vacular",0.94,0.06,761.829,308.65796
"39","Vacular",0.96,0.04,247.46649,350.3325
"40","Vacular",0.96,0.04,660.05585,354.23544
"43","Vacular",0.95,0.05,510.22946,363.5274
"44","Vacular",0.97,0.03,553.1597,366.3833
"46","NonVascular",0.15,0.85,1678.7693,373.2783
"48","NonVascular",0.19,0.81,674.0909,380.68182
"49","Vacular",0.97,0.03,155.17061,387.92892
"50","NonVascular",0.01,0.99,1793.167,389.44235
"52","Vacular",0.82,0.18,1857.0826,396.65564
"53","Vacular",0.86,0.14,1008.081,427.1215
"55","Vacular",0.89,0.11,1486.7047,450.2924
"56","Vacular",0.99,0.01,516.1502,468.669
"57","Vacular",0.97,0.03,435.80347,479.44797
"59","Vacular",0.99,0.01,1350.5889,512.49445
"60","Vacular",0.91,0.09,1736.1332,516.79034
"61","Vacular",1,0,1166.3102,519.24866
"62","Vacular",0.92,0.08,1571.981,519.4508
"63","Vacular",0.85,0.15,1286.2388,541.464
"64","Vacular",1,0,1532.9178,543.9786
"65","Vacular",0.96,0.04,962.48035,559.6737
"66","Vacular",0.93,0.07,68.147156,583.7592
"67","Vacular",1,0,187.50786,589.84033
"69","Vacular",0.99,0.01,706.327,606.9645
"70","NonVascular",0.16,0.84,530.01495,605.65674
"71","Vacular",0.94,0.06,1059.6388,635.4381
"72","Vacular",0.98,0.02,244.32976,653.4155
"73","Vacular",0.98,0.02,509.01147,660.63324
"74","Vacular",0.94,0.06,1775.1666,664.1091
"75","Vacular",0.99,0.01,644.1495,683.65466
"76","Vacular",0.96,0.04,1239.1495,684.1906
"77","NonVascular",0.19,0.81,87.55385,690.26154
"78","Vacular",0.91,0.09,130.27678,696.747
"80","Vacular",0.89,0.11,1587.385,733.2117
"81","Vacular",0.97,0.03,1619.0359,743.22473
"83","Vacular",0.88,0.12,551.27216,753.7125
"86","Vacular",1,0,1278.6633,795.2588
"87","Vacular",0.94,0.06,1202.4048,809.0476
"88","Vacular",1,0,57.925823,818.71155
"89","NonVascular",0.02,0.98,866.3955,832.7424
"90","NonVascular",0.01,0.99,1041.653,871.01953
"91","Vacular",0.99,0.01,1418.271,855.1274
"92","Vacular",0.88,0.12,1503.4534,851.84
"93","Vacular",1,0,263.13705,859.7919
"94","Vacular",0.97,0.03,788.41504,861.97217
"96","Vacular",0.99,0.01,973.39453,875.7551
"98","Vacular",1,0,1193.8724,884.96094
"99","Vacular",0.99,0.01,1113.6617,898.6791
"100","Vacular",0.88,0.12,564.8799,900.61365
"102","Vacular",0.91,0.09,384.59805,913.0196
"103","Vacular",0.99,0.01,650.2596,918.6421
"106","Vacular",0.97,0.03,1599.7322,960.6553
"108","Vacular",0.94,0.06,950.99713,998.1729
"110","NonVascular",0.02,0.98,34.746048,1025.5914
"112","Vacular",1,0,470.22253,1036.8794
"113","Vacular",0.98,0.02,981.2367,1039.9867
"114","Vacular",0.9,0.1,1216.4452,1045.9968
"115","Vacular",0.99,0.01,1091.26,1076.756
"116","Vacular",0.99,0.01,1549.014,1077.6387
"118","Vacular",0.95,0.05,1348.9011,1092.6511
"119","Vacular",1,0,695.9596,1133.8219
"122","Vacular",1,0,65.30361,1174.2603
"123","Vacular",0.99,0.01,1572.8972,1177.8431
"126","Vacular",1,0,1329.3187,1201.8175
"127","Vacular",1,0,506.2231,1209.4274
"128","Vacular",0.97,0.03,850.6504,1230.5502
"129","Vacular",0.99,0.01,1665.4955,1236.0331
"130","Vacular",0.98,0.02,942.96075,1245.8947
"132","Vacular",0.99,0.01,685.97797,1276.1956
"133","Vacular",1,0,513.614,1283.609
"135","Vacular",0.98,0.02,755.9594,1297.5153
"136","Vacular",1,0,1350.1602,1337.6554
"138","Vacular",1,0,154.385,1368.356
"139","Vacular",0.99,0.01,1767.4375,1373.9584
"140","Vacular",1,0,298.34473,1391.3658
"141","Vacular",0.83,0.17,703.31134,1407.7422
"142","Vacular",0.97,0.03,748.5301,1411.8102
"143","Vacular",0.93,0.07,634.0112,1429.8656
"144","Vacular",0.99,0.01,1267.9724,1431.5663
"145","Vacular",0.88,0.12,914.08453,1443.8624
"146","NonVascular",0.07,0.93,1832.1617,1451.7332
