"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","NonVascular",0.05,0.95,710.53296,8.297995
"3","NonVascular",0.19,0.81,1708.7915,8.76089
"5","Vacular",1,0,615.58405,13.705235
"7","Vacular",0.85,0.15,1124.0538,57.51852
"8","NonVascular",0.11,0.89,1737.0574,75.05362
"9","Vacular",0.99,0.01,732.4031,67.994835
"10","NonVascular",0.16,0.84,1907.7778,61.77778
"12","Vacular",0.96,0.04,1020.33984,86.183846
"13","Vacular",1,0,894.036,87.23269
"14","NonVascular",0.01,0.99,1253.4186,141.67264
"15","Vacular",0.89,0.11,1778.8833,116.083336
"16","Vacular",0.86,0.14,1759.3477,122.48069
"17","Vacular",0.97,0.03,1500.4321,125.908585
"18","Vacular",0.94,0.06,1812.125,130.63043
"19","Vacular",1,0,837.69714,131.83029
"21","NonVascular",0.02,0.98,826.42474,169.52423
"22","Vacular",1,0,1303.5093,155.55968
"24","Vacular",0.98,0.02,1107.3715,175.57428
"25","NonVascular",0.01,0.99,890.13336,227.86987
"26","NonVascular",0.19,0.81,584.507,179.04225
"28","Vacular",0.99,0.01,66.598915,203.94852
"29","Vacular",1,0,858.6313,208.95708
"31","Vacular",0.98,0.02,713.0833,221.4611
"32","NonVascular",0.12,0.88,57.347057,225.56471
"33","NonVascular",0.05,0.95,1154.4768,224.649
"34","Vacular",0.97,0.03,665.96045,251.63324
"35","Vacular",0.93,0.07,1480.823,259.20944
"36","Vacular",1,0,916.71106,286.76382
"37","Vacular",0.99,0.01,402.0819,316.35593
"39","Vacular",0.98,0.02,554.4658,366.43546
"40","Vacular",0.92,0.08,1716.4038,367.80127
"41","Vacular",0.98,0.02,1044.094,384.90338
"42","Vacular",0.99,0.01,1532.8428,388.24817
"43","Vacular",0.85,0.15,1280.4138,392.2445
"44","NonVascular",0.16,0.84,1063.7975,399.44302
"45","Vacular",0.93,0.07,845.69104,414.98373
"46","Vacular",0.99,0.01,296.6589,433.82687
"47","NonVascular",0.04,0.96,1095.0785,468.71835
"50","Vacular",0.99,0.01,1310.0422,498.08685
"52","Vacular",0.95,0.05,1100.5244,504.47556
"54","Vacular",0.97,0.03,1776.6624,525.8909
"55","Vacular",0.93,0.07,619.4452,530.4784
"57","Vacular",0.85,0.15,879.1071,539.7976
"58","NonVascular",0.05,0.95,1207.8564,559.17706
"59","Vacular",0.99,0.01,1230.5247,567.20703
"60","Vacular",0.96,0.04,425.41162,579.84344
"61","NonVascular",0.04,0.96,1248.1489,589.87524
"62","NonVascular",0.02,0.98,890.65765,612.3783
"63","Vacular",0.87,0.13,1849.0101,590.0229
"65","Vacular",0.94,0.06,1411.3678,590.5198
"66","Vacular",0.96,0.04,1690.6138,595.76984
"67","Vacular",0.96,0.04,396.03012,597.48193
"68","Vacular",0.98,0.02,617.8338,606.2149
"69","NonVascular",0.12,0.88,340.6755,609.9536
"71","NonVascular",0.18,0.82,1082.9298,617.8684
"72","Vacular",0.89,0.11,230.90591,648.629
"74","Vacular",0.98,0.02,1208.8124,679.61694
