"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","NonVascular",0.18,0.82,982.83246,25.473616
"3","NonVascular",0.16,0.84,1224.1488,9.128028
"4","NonVascular",0.19,0.81,1277.4985,26.08877
"8","Vacular",0.85,0.15,1590.2867,11.190562
"12","NonVascular",0.16,0.84,1509.8752,28.530266
"18","NonVascular",0.07,0.93,1548.6401,77.99254
"19","NonVascular",0.02,0.98,1469.7555,71.641655
"22","Vacular",0.98,0.02,1260.256,82.17065
"24","Vacular",0.96,0.04,1431.9434,94.44335
"27","NonVascular",0.18,0.82,1000.0942,205.62737
"28","NonVascular",0.05,0.95,1601.2716,125.99493
"29","NonVascular",0.03,0.97,1462.9231,124.7972
"33","NonVascular",0.08,0.92,1025.8496,140.90205
"34","NonVascular",0.06,0.94,1076.0594,138.63243
"37","NonVascular",0.15,0.85,1848.4786,299.47855
"39","Vacular",1,0,1448.1815,171.63687
"40","NonVascular",0.04,0.96,1484.8071,176.04536
"42","NonVascular",0.02,0.98,1217.3285,188.63808
"47","NonVascular",0.02,0.98,1320.0243,234.26306
"48","NonVascular",0.05,0.95,1796.1486,215.00166
"49","NonVascular",0,1,1381.014,257.32898
"52","Vacular",0.88,0.12,1219.1075,250.78674
"53","NonVascular",0.07,0.93,1480.0637,256.6425
"57","Vacular",0.88,0.12,1744.6198,274.31992
"58","NonVascular",0.04,0.96,1042.8253,293.73978
"64","Vacular",0.88,0.12,1713.0923,282.7436
"65","NonVascular",0.17,0.83,1185.8468,359.79355
"66","Vacular",0.87,0.13,1272.8572,297.827
"69","Vacular",0.88,0.12,1237.6,303.76923
"70","NonVascular",0.09,0.91,1611.5592,533.57
"73","Vacular",0.9,0.1,785.617,330.06027
"76","Vacular",1,0,1336.7506,341.55978
"77","Vacular",0.89,0.11,1746.387,358.17944
"78","NonVascular",0.04,0.96,1304.06,380.16193
"79","NonVascular",0.19,0.81,1710.4849,366.15152
"80","NonVascular",0.08,0.92,1035.1648,371.39774
"81","NonVascular",0.01,0.99,1858.2494,406.4949
"82","NonVascular",0.19,0.81,1348.3334,386.59048
"89","NonVascular",0.16,0.84,1761.6051,453.7661
"91","NonVascular",0.05,0.95,968.014,456.344
"92","NonVascular",0.17,0.83,1867.477,450.15598
"93","NonVascular",0.18,0.82,1839.4352,454.69037
"94","Vacular",0.83,0.17,1465.7727,464.57755
"95","Vacular",0.99,0.01,1354.6694,462.1
"97","NonVascular",0.06,0.94,1792.0892,547.4103
"99","NonVascular",0.16,0.84,1555.9459,522.141
"100","NonVascular",0.02,0.98,1274.9589,498.38266
"102","NonVascular",0.16,0.84,1388.6259,486.71088
"103","NonVascular",0.04,0.96,1216.1731,503.86838
"104","NonVascular",0.14,0.86,1324.8517,543.5836
"106","NonVascular",0.15,0.85,1404.5714,497.74603
"107","NonVascular",0.02,0.98,956.3768,533.56793
"108","Vacular",0.86,0.14,1406.292,524.9244
"111","NonVascular",0.12,0.88,1056.7274,553.3328
"112","Vacular",0.97,0.03,1442.621,538.20264
"116","NonVascular",0.03,0.97,1190.6592,577.28204
"119","NonVascular",0,1,910.542,585.79065
"120","NonVascular",0.14,0.86,1014.414,579.3185
"122","Vacular",0.97,0.03,1232.6307,587.1815
"123","Vacular",0.82,0.18,1146.2405,585.3291
"125","Vacular",0.95,0.05,1257.1061,595.7918
"127","Vacular",0.89,0.11,1061,602
"128","NonVascular",0.02,0.98,1010.8471,656.89496
"129","NonVascular",0.15,0.85,1291.855,631.49786
"130","NonVascular",0.19,0.81,1216.9857,678.7368
"133","Vacular",0.97,0.03,957.5294,638.6609
"134","NonVascular",0.09,0.91,1077.8588,644.89264
"135","NonVascular",0.07,0.93,1431.7528,656.44916
"136","NonVascular",0.03,0.97,1745.3872,663.6961
"140","Vacular",0.86,0.14,1527.4445,655.8889
"142","NonVascular",0.14,0.86,1183.4562,661.2982
"143","NonVascular",0,1,891.4525,688.18274
"145","Vacular",0.93,0.07,1514.7085,687.4545
"146","NonVascular",0.01,0.99,1417.5992,702.09656
"148","Vacular",0.97,0.03,1718.1675,701.3629
"153","Vacular",0.84,0.16,1518.0691,728.1561
"156","NonVascular",0.07,0.93,1717.635,737.724
"157","Vacular",0.87,0.13,817.20264,733.60266
"159","NonVascular",0.15,0.85,1012.6316,750.8333
"161","Vacular",0.95,0.05,1527.8813,765.8994
"162","NonVascular",0.11,0.89,968.73816,815.9282
"165","Vacular",0.9,0.1,1151.8,781.5273
"166","NonVascular",0.19,0.81,1200.7106,860.97345
"167","NonVascular",0.12,0.88,1094.8837,796.3837
"168","NonVascular",0,1,1426.164,796.19836
"170","NonVascular",0,1,1491.3472,882.539
"171","NonVascular",0.05,0.95,1337.875,912.3479
"175","NonVascular",0.08,0.92,1024.3756,845.0088
"176","NonVascular",0.01,0.99,1670.333,846.52216
"178","NonVascular",0.13,0.87,1246.8209,819.3134
"181","NonVascular",0.02,0.98,1260.7566,847.66174
"183","NonVascular",0.02,0.98,969.6743,899.40643
"184","NonVascular",0.03,0.97,1646.2299,885.8028
"186","NonVascular",0.03,0.97,1003.27045,893.1067
"187","NonVascular",0.05,0.95,1102.5881,924.9657
"188","NonVascular",0.08,0.92,1568.4293,921.18646
"189","NonVascular",0.15,0.85,1014.7246,1052.8491
"190","NonVascular",0.15,0.85,776.071,938.9941
"194","NonVascular",0.03,0.97,1670.6794,999.7079
"195","NonVascular",0.01,0.99,850.04956,1011.9236
"196","NonVascular",0.18,0.82,961.3714,978.50714
"198","NonVascular",0.09,0.91,1190.9839,1097.4
"199","NonVascular",0.06,0.94,1580.6646,1064.5265
"201","Vacular",0.88,0.12,1343.4092,990.86444
"202","NonVascular",0.12,0.88,1441.989,1009.53845
"204","Vacular",0.83,0.17,1101.1635,1011.83655
"205","NonVascular",0.07,0.93,1050.0284,1016.7224
"207","NonVascular",0.17,0.83,1822.2759,1015.89655
"208","Vacular",0.91,0.09,1085.5193,1027.2307
"210","NonVascular",0.01,0.99,761.70636,1045.3531
"212","NonVascular",0.18,0.82,1677.0388,1064.9222
"215","NonVascular",0.16,0.84,959.8703,1090.3328
"216","NonVascular",0.1,0.9,856.37213,1109.2789
"217","NonVascular",0.16,0.84,1718.5876,1086.763
"218","NonVascular",0.12,0.88,815.8827,1128.378
"223","NonVascular",0.17,0.83,1574.3281,1134.1562
"224","NonVascular",0.14,0.86,1850.8687,1139.4747
"225","NonVascular",0,1,699.47406,1159.8074
"227","NonVascular",0.04,0.96,1869.6316,1158.8323
"228","Vacular",0.85,0.15,1138.2645,1181.1968
"229","NonVascular",0,1,1647.2201,1178.2592
"230","NonVascular",0.03,0.97,909.76984,1189.9327
"232","NonVascular",0.02,0.98,1517.6243,1226.9275
"237","NonVascular",0.03,0.97,705.32635,1213.1823
"238","NonVascular",0.15,0.85,1618.5084,1210.3729
"240","NonVascular",0.01,0.99,1630.5886,1223.9031
"241","NonVascular",0.05,0.95,1143.4666,1238.7152
"243","NonVascular",0.04,0.96,1107.7379,1237.9695
"244","Vacular",0.98,0.02,1242.7628,1230.2465
"247","NonVascular",0.05,0.95,1363.9528,1259.9701
"248","NonVascular",0.03,0.97,1661.4978,1258.8818
"250","NonVascular",0.04,0.96,639.3792,1345.0037
"251","Vacular",1,0,1467.73,1267.3877
"252","NonVascular",0.03,0.97,1537.946,1327.6621
"253","NonVascular",0.05,0.95,724.16974,1285.4243
"254","NonVascular",0.04,0.96,950.4268,1291.2158
"258","NonVascular",0.02,0.98,1305.6274,1317.5419
"259","NonVascular",0.12,0.88,1464.759,1296.0461
"262","NonVascular",0.09,0.91,1447.466,1318.5118
"263","NonVascular",0.13,0.87,710.27466,1312.3802
"265","NonVascular",0.02,0.98,1231.7551,1354.0554
"268","NonVascular",0.02,0.98,1028.1194,1421.538
"269","NonVascular",0.09,0.91,672.7195,1344.317
"272","NonVascular",0.02,0.98,1687.6562,1392.4697
"274","NonVascular",0.17,0.83,1106.0542,1389.7769
"276","NonVascular",0.06,0.94,442.94962,1434.0594
"278","NonVascular",0.04,0.96,884.36127,1439.9918
"284","Vacular",0.92,0.08,564.0743,1453.1771
