"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","Vacular",1,0,174.71613,7.664516
"2","NonVascular",0,1,1120.6687,36.768917
"3","Vacular",1,0,1436.1704,10.9329605
"4","Vacular",0.99,0.01,1584.1655,7.391892
"5","NonVascular",0.03,0.97,1900.3184,13.405522
"6","NonVascular",0.03,0.97,835.21295,24.592592
"8","Vacular",0.88,0.12,151.05797,21.086956
"10","Vacular",1,0,867.7507,50.131367
"12","NonVascular",0.14,0.86,131.09581,75.7984
"13","NonVascular",0.01,0.99,1107.622,80.95661
"16","Vacular",0.89,0.11,682.39716,106.910385
"17","Vacular",0.94,0.06,1056.4371,106.22517
"18","NonVascular",0.04,0.96,120.546425,120.1375
"20","Vacular",0.99,0.01,1653.2966,161.52293
"23","Vacular",0.97,0.03,1046.1782,179.05199
"25","Vacular",0.89,0.11,338.97308,202.78476
"26","Vacular",0.96,0.04,858.9392,218.07658
"27","Vacular",0.96,0.04,1826.7787,235.35466
"30","Vacular",0.88,0.12,38.100574,281.81033
"32","Vacular",0.82,0.18,1417.4413,282.62634
"33","Vacular",0.83,0.17,1170.3988,297.70694
"34","NonVascular",0.19,0.81,1480.5754,297.20755
"37","NonVascular",0.13,0.87,727.01306,334.82495
"38","NonVascular",0.04,0.96,1496.2749,344.88217
"40","NonVascular",0.02,0.98,1366.2408,346.2672
"41","NonVascular",0.01,0.99,879.1952,344.95547
"43","Vacular",0.91,0.09,1633.7373,402.52826
"49","Vacular",0.95,0.05,170.90486,474.46762
"51","Vacular",0.91,0.09,425.78687,491.83334
"52","NonVascular",0.14,0.86,1005.1705,489.22952
"53","Vacular",1,0,1058.1963,489.4817
"54","NonVascular",0.07,0.93,1833.4946,516.586
"56","NonVascular",0.18,0.82,1359.25,547.20514
"57","NonVascular",0.02,0.98,1811.1536,558.3536
"59","Vacular",1,0,717.8675,573.6075
"60","Vacular",0.89,0.11,656.231,584.7655
"61","Vacular",0.98,0.02,311.90057,592.80115
"62","NonVascular",0.07,0.93,264.52753,610.1078
"64","Vacular",1,0,1257.5175,627.311
"65","NonVascular",0.13,0.87,1300.5488,626.9624
"66","Vacular",0.88,0.12,1038.0645,648.2841
"67","NonVascular",0,1,851.6162,665.2523
"68","NonVascular",0.06,0.94,497.31442,674.21136
"69","NonVascular",0.12,0.88,1824.9609,676.53094
"70","Vacular",0.92,0.08,20.277174,681.4547
"71","NonVascular",0.19,0.81,931.7857,682.5357
"73","Vacular",0.9,0.1,433.20993,698.3273
"75","Vacular",0.98,0.02,1553.75,711.931
"76","Vacular",0.83,0.17,1156.1678,742.8321
"77","NonVascular",0.18,0.82,1130.3441,755.53766
"78","Vacular",0.89,0.11,412.35,775.53076
"79","Vacular",0.86,0.14,388.97525,821.45715
"80","Vacular",1,0,740.0024,815.76904
"81","NonVascular",0.15,0.85,832.5455,822.5129
"82","NonVascular",0.1,0.9,1261.9875,825.556
"83","Vacular",0.97,0.03,549.98376,828.8557
"86","Vacular",0.9,0.1,941.3077,833.8733
"89","NonVascular",0.03,0.97,1928.142,916.9806
"90","Vacular",0.84,0.16,426.83722,904.0194
"92","Vacular",0.97,0.03,1544.447,914.49414
"93","Vacular",0.97,0.03,51.872684,927.794
"94","Vacular",0.99,0.01,635.2618,952.6806
"95","NonVascular",0.19,0.81,1263.8102,969.1772
"96","Vacular",0.88,0.12,319.46356,978.3659
"97","Vacular",0.99,0.01,1491.1367,983.83936
"101","Vacular",0.98,0.02,402.45142,1048.0057
"103","Vacular",0.98,0.02,427.33176,1103.1304
"105","Vacular",0.98,0.02,1663.7115,1108.9409
"106","Vacular",0.99,0.01,663.5039,1110.8851
"107","Vacular",0.95,0.05,1005.54877,1123.1421
"109","Vacular",1,0,1284.1138,1152.1382
"111","NonVascular",0.03,0.97,1804.7864,1188.3557
"113","NonVascular",0.17,0.83,1851.5695,1218.9722
"114","NonVascular",0.03,0.97,1761.3485,1255.6473
"115","Vacular",0.98,0.02,919.69794,1258.5443
"116","Vacular",0.81,0.19,1056.5228,1278.2488
"119","Vacular",0.99,0.01,1684.9159,1338.8224
"121","Vacular",0.96,0.04,108.006935,1372.0416
"122","Vacular",0.97,0.03,763.7956,1391.382
"123","NonVascular",0.13,0.87,387.07233,1431.1362
"127","Vacular",0.96,0.04,364.00827,1453.4215
"128","Vacular",0.94,0.06,967.8271,1455.173
