"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","Vacular",0.97,0.03,826.88574,4.9269843
"3","Vacular",0.85,0.15,935.00684,83.48637
"5","NonVascular",0.03,0.97,603.37036,110.53704
"7","NonVascular",0.15,0.85,963.2287,126.11659
"8","NonVascular",0.06,0.94,899.6316,140.97954
"10","Vacular",0.94,0.06,933.3862,142.5873
"11","Vacular",0.9,0.1,529.87866,148.22736
"12","NonVascular",0.01,0.99,46.972477,206.58995
"13","NonVascular",0.15,0.85,1089.2458,160.11732
"14","Vacular",1,0,1610.3761,164.93808
"15","Vacular",0.93,0.07,961.3599,166.64525
"16","NonVascular",0.03,0.97,911.8028,187.84991
"17","Vacular",0.92,0.08,1308.2882,196.24132
"18","NonVascular",0.01,0.99,787.0631,205.43213
"19","NonVascular",0.09,0.91,474.41656,209.24077
"20","Vacular",0.9,0.1,974.5203,217.00739
"23","NonVascular",0.01,0.99,390.11548,257.01886
"25","Vacular",0.98,0.02,341.7752,261.87598
"26","NonVascular",0.02,0.98,426.2163,270.71918
"27","Vacular",0.82,0.18,1038.5297,262.25186
"28","NonVascular",0.19,0.81,316.9508,271.68854
"30","NonVascular",0.01,0.99,279.0487,328.78723
"31","NonVascular",0.16,0.84,1004.2353,286.2647
"33","Vacular",1,0,776.8324,300.36127
"38","NonVascular",0.12,0.88,412.99887,385.54422
"39","NonVascular",0.01,0.99,481.78723,390.0851
"40","Vacular",0.99,0.01,1684.762,398.0023
"42","NonVascular",0.02,0.98,91.889656,419.3862
"43","Vacular",0.94,0.06,1561.5759,417.91852
"45","Vacular",0.96,0.04,121.30608,441.41254
"47","Vacular",1,0,472.55075,454.28934
"48","NonVascular",0.05,0.95,621.2276,479.16797
"49","Vacular",0.93,0.07,1846.2406,460.52972
"51","NonVascular",0.05,0.95,396.17648,473.3412
"52","NonVascular",0.13,0.87,897.2341,490.32047
"53","Vacular",1,0,1188.6488,504.0687
"54","Vacular",0.98,0.02,268.20605,530.8283
"57","NonVascular",0.09,0.91,453.87668,594.778
"58","Vacular",0.9,0.1,1277.3258,611.5739
"59","Vacular",0.9,0.1,1170.4677,613.5814
"60","Vacular",0.94,0.06,571.3073,628.10876
"61","Vacular",0.99,0.01,122.047714,643.48755
"62","Vacular",1,0,609.6104,658.0987
"63","NonVascular",0.06,0.94,520.98486,676.51514
"65","Vacular",0.91,0.09,1784.3763,719.32477
"66","NonVascular",0.03,0.97,238.2623,790.1452
"67","Vacular",0.99,0.01,52.214287,842.2917
"68","Vacular",0.95,0.05,6.8347106,844.3264
"69","Vacular",0.97,0.03,1561.7296,853.64215
"70","NonVascular",0.11,0.89,278.65927,875.03705
"72","Vacular",0.98,0.02,290.13727,913.028
"73","Vacular",0.91,0.09,1629.1086,924.8395
"74","NonVascular",0.1,0.9,435.8889,923.84796
"75","Vacular",0.87,0.13,947.1768,944.25964
"77","Vacular",0.98,0.02,343.1455,942.4048
"78","Vacular",0.88,0.12,882.92346,942.92346
"79","Vacular",0.97,0.03,1221.3026,946.908
"80","Vacular",0.9,0.1,372.568,948.872
"81","Vacular",0.93,0.07,334.47137,966.9251
"82","Vacular",0.85,0.15,1771.1666,972.1111
"83","Vacular",0.97,0.03,53.28499,986.7201
"88","NonVascular",0.13,0.87,882.88324,1097.9594
"89","NonVascular",0.03,0.97,1529.9414,1141.0991
"91","NonVascular",0.06,0.94,1567.7759,1156.9397
"92","NonVascular",0.15,0.85,1850.1765,1154.3726
"94","Vacular",0.93,0.07,847.30054,1169.5465
"95","Vacular",0.81,0.19,55.171608,1193.6553
"97","Vacular",1,0,220.34856,1189.7115
"98","Vacular",0.97,0.03,832.1616,1193.3934
"99","Vacular",1,0,1545.1268,1213.4244
"102","Vacular",0.92,0.08,827.3182,1219.539
"105","Vacular",0.86,0.14,734.5342,1280.7578
"107","Vacular",0.82,0.18,399.49252,1359.3776
"109","NonVascular",0.16,0.84,899.0413,1401.6826
"110","Vacular",0.93,0.07,652.2469,1409.0618
"113","NonVascular",0.08,0.92,239.22105,1448.4695
"114","Vacular",0.94,0.06,922.8991,1454.4817
