"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"8","Vacular",1,0,101.37859,32.934727
"10","Vacular",1,0,1188.9541,57.25788
"13","NonVascular",0.14,0.86,65.49351,60.084415
"15","Vacular",0.98,0.02,185.59663,69.71989
"17","Vacular",0.97,0.03,1615.7219,106.54278
"18","NonVascular",0.02,0.98,1434.516,121.26712
"19","Vacular",0.84,0.16,864.1014,137.13663
"20","Vacular",0.89,0.11,1360.8315,134.69963
"22","NonVascular",0.17,0.83,247.46065,147.69908
"23","Vacular",0.82,0.18,1000.2483,159.74484
"25","Vacular",0.98,0.02,702.575,163.61111
"27","NonVascular",0.04,0.96,298.05252,176.05966
"28","Vacular",0.97,0.03,1601.2484,172.98407
"32","NonVascular",0.02,0.98,1042.0652,184.34348
"33","NonVascular",0.06,0.94,1678.5416,177.69792
"34","NonVascular",0.06,0.94,546.529,187.10045
"35","Vacular",0.99,0.01,201.35191,184.45747
"37","Vacular",0.89,0.11,989.7816,186.52873
"40","NonVascular",0.02,0.98,374.6501,273.62808
"41","Vacular",0.99,0.01,1479.7155,265.32394
"42","Vacular",0.98,0.02,570.29926,275.63428
"43","Vacular",0.99,0.01,1145.2122,311.85208
"44","Vacular",0.84,0.16,1560.6293,310.07864
"45","NonVascular",0.1,0.9,1649.6383,319.21277
"47","Vacular",0.84,0.16,920.15955,363.68512
"48","Vacular",1,0,1603.3099,358.9353
"49","NonVascular",0.16,0.84,1624.8625,355.35
"50","Vacular",0.86,0.14,443.7891,378.8909
"51","NonVascular",0.02,0.98,1926.1664,383.67966
"52","Vacular",1,0,1724.6266,386.19583
"53","Vacular",0.88,0.12,790.2778,387.48245
"54","Vacular",0.87,0.13,190.39577,396.40988
"56","NonVascular",0.16,0.84,1847.8705,403.16196
"57","Vacular",0.95,0.05,1390.2195,406.49216
"59","NonVascular",0.08,0.92,1721.2559,425.6156
"60","Vacular",0.89,0.11,178.38889,411.98148
"61","Vacular",1,0,579.7213,424.9235
"63","NonVascular",0.03,0.97,1783.4404,448.9093
"64","Vacular",0.9,0.1,337.3547,453.3547
"67","NonVascular",0,1,625.5236,490.088
"68","NonVascular",0.02,0.98,159.58995,489.2804
"70","NonVascular",0.05,0.95,898.69794,488.64584
"71","Vacular",0.95,0.05,1530.8568,491.9829
"73","Vacular",0.99,0.01,518.43634,515.22595
"76","Vacular",0.99,0.01,1430.0656,554.55554
"77","Vacular",0.82,0.18,1792.2128,560.2225
"79","Vacular",0.9,0.1,336.05713,583.6457
"80","Vacular",0.98,0.02,1696.9916,594.89386
"81","NonVascular",0.01,0.99,1786.8156,603.5163
"82","Vacular",0.98,0.02,1048.7892,601.0883
"84","NonVascular",0.16,0.84,1716.0842,607.8579
"85","NonVascular",0.02,0.98,292.23602,686.09576
"86","NonVascular",0.01,0.99,768.80066,619.24493
"87","NonVascular",0.17,0.83,1741.2993,612.0476
"88","Vacular",0.93,0.07,837.73724,628.0414
"89","NonVascular",0.01,0.99,908.01654,649.3588
"92","NonVascular",0.03,0.97,1164.6014,634.62634
"94","NonVascular",0,1,254.47504,652.1754
"96","Vacular",0.97,0.03,1146.1625,653.41876
"97","NonVascular",0.15,0.85,957.9398,672.73926
"98","Vacular",0.98,0.02,1528.8757,689.9172
"99","Vacular",0.92,0.08,1835.1078,690.1561
"101","Vacular",1,0,1198.2712,743.463
"102","Vacular",1,0,743.54785,773.2211
"104","Vacular",0.95,0.05,1729.3307,789.2493
"105","Vacular",0.97,0.03,62.025864,819.5402
"106","Vacular",0.94,0.06,1293.6764,836.78424
"108","NonVascular",0.18,0.82,170.3294,867.5294
"109","Vacular",0.91,0.09,860.94653,880.0849
"110","NonVascular",0.02,0.98,486.1126,928.9714
"111","NonVascular",0.06,0.94,1788.6179,898.2195
"113","NonVascular",0.18,0.82,1127.4073,922.7593
"114","NonVascular",0.09,0.91,1851.3529,932.58826
"116","Vacular",0.98,0.02,230.60213,978.687
"117","Vacular",0.86,0.14,1530.5,981.1352
"119","NonVascular",0.15,0.85,165.69048,994.2679
"120","NonVascular",0.06,0.94,630.9237,1006.8815
"122","Vacular",0.97,0.03,343.0078,1007.52606
"123","NonVascular",0.1,0.9,236.62857,1005.44
"124","NonVascular",0.12,0.88,590.9514,1017.51733
"125","Vacular",0.94,0.06,383.85715,1026.1832
"126","Vacular",0.91,0.09,1798.3539,1029.898
"127","NonVascular",0.04,0.96,233.14133,1064.3616
"128","NonVascular",0.02,0.98,11.76559,1055.9497
"129","NonVascular",0.01,0.99,402.33334,1050.95
"130","NonVascular",0.04,0.96,1908.5962,1060.0706
"131","Vacular",0.98,0.02,426.39563,1068.5315
"132","Vacular",0.91,0.09,337.9162,1080.9451
"134","Vacular",0.83,0.17,680.6803,1093.2279
"135","Vacular",0.97,0.03,282.25595,1109.8733
"136","Vacular",0.91,0.09,1035.7644,1114.4713
"137","Vacular",0.99,0.01,1443.0978,1127.4022
"138","NonVascular",0.01,0.99,683.87,1135.5681
"139","Vacular",0.95,0.05,1560.6193,1131.3892
"140","Vacular",1,0,894.73926,1139.788
"142","NonVascular",0.09,0.91,425.82117,1162.9951
"143","NonVascular",0.19,0.81,1724.4333,1153.4
"145","NonVascular",0.02,0.98,418.98032,1209.262
"146","Vacular",0.87,0.13,1747.1396,1196.3528
"147","Vacular",0.95,0.05,232.97728,1210.716
"148","Vacular",0.99,0.01,1185.1357,1223.2549
"149","Vacular",0.97,0.03,1451.1555,1239.4055
"151","NonVascular",0.02,0.98,200.01328,1307.7158
"152","Vacular",0.99,0.01,1031.4777,1295.1542
"153","NonVascular",0.02,0.98,126.949615,1301.7286
"154","Vacular",0.98,0.02,535.8922,1306.1378
"155","Vacular",0.93,0.07,142.30183,1313.2074
"156","Vacular",0.99,0.01,793.1231,1336.49
"158","Vacular",0.98,0.02,1445.0107,1379.4625
"159","NonVascular",0.17,0.83,1245.3505,1386.7617
"161","Vacular",0.91,0.09,1764.5057,1409.6359
"162","Vacular",1,0,1258.5894,1414.8647
"163","NonVascular",0.15,0.85,780.397,1421.4607
"164","Vacular",1,0,55.78979,1430.3694
"165","Vacular",0.93,0.07,1326.6418,1443.5372
"167","NonVascular",0.1,0.9,943.0722,1454.3611
"168","NonVascular",0.19,0.81,991.8475,1456.6271
