"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"3","Vacular",0.85,0.15,1304.3413,21.5582
"4","Vacular",1,0,31.997355,20.5291
"5","NonVascular",0.07,0.93,631.6942,33.700466
"6","Vacular",0.94,0.06,1303.3936,42.361446
"8","Vacular",0.88,0.12,294.3695,64.3672
"10","NonVascular",0.02,0.98,833.7802,77.16129
"11","NonVascular",0.17,0.83,889.8947,71.29825
"12","NonVascular",0.05,0.95,797.683,84.30719
"13","NonVascular",0.03,0.97,285.23914,103.25099
"14","Vacular",0.81,0.19,174.50937,87.51875
"15","NonVascular",0.12,0.88,701.75574,88.33778
"17","Vacular",0.92,0.08,1120.7732,92.61512
"19","NonVascular",0.01,0.99,1847.1978,132.28915
"22","Vacular",0.89,0.11,520.12756,113.87245
"24","Vacular",0.99,0.01,1687.012,126.80597
"25","NonVascular",0,1,732.17413,151.17575
"27","Vacular",0.99,0.01,1331.8784,144.5
"29","Vacular",0.97,0.03,536.30225,155.38701
"30","Vacular",0.96,0.04,814.4368,163.76923
"33","Vacular",1,0,235.4467,196.52792
"34","Vacular",0.94,0.06,991.316,205.90797
"36","Vacular",0.84,0.16,1711.1989,221.03868
"39","Vacular",0.89,0.11,1376.634,246.43217
"40","Vacular",0.96,0.04,614.65,262.06317
"41","Vacular",0.95,0.05,365.02048,262.2807
"42","NonVascular",0.11,0.89,1289.5,261.4394
"44","Vacular",0.99,0.01,1567.1941,278.28723
"45","NonVascular",0.01,0.99,1304.5482,294.68884
"46","Vacular",0.98,0.02,708.07434,293.55383
"48","Vacular",0.86,0.14,1441.9424,300.37628
"49","Vacular",0.94,0.06,80.36554,334.55878
"50","Vacular",1,0,523.0418,344.8627
"51","NonVascular",0,1,1143.6146,380.98322
"52","Vacular",0.91,0.09,1326,351
"53","NonVascular",0.01,0.99,1188.1581,390.99802
"55","Vacular",0.91,0.09,228.37254,398.02548
"57","NonVascular",0.19,0.81,754.32336,408.63364
"58","NonVascular",0.11,0.89,1867.2297,413.53378
"59","NonVascular",0.03,0.97,598.9474,424.52792
"60","Vacular",0.99,0.01,1175.302,429.05865
"62","Vacular",0.87,0.13,1033.3396,439.99527
"63","Vacular",0.97,0.03,1155.4924,445.54053
"64","NonVascular",0.01,0.99,1557.6195,471.25406
"68","NonVascular",0.1,0.9,279.11365,455.7699
"69","Vacular",0.91,0.09,18.292517,455.62585
"70","Vacular",0.93,0.07,1026.9341,481.6216
"72","Vacular",0.83,0.17,36.731937,482.56274
"73","Vacular",1,0,1225.8927,488.44763
"74","NonVascular",0.02,0.98,645.69336,490.92682
"75","Vacular",0.97,0.03,1336.2534,499.98264
"76","NonVascular",0.19,0.81,1580.8334,512.9167
"79","Vacular",0.95,0.05,1459.6814,537.82965
"80","Vacular",0.97,0.03,505.95798,544.69745
"82","NonVascular",0.07,0.93,758.58124,583.20386
"83","Vacular",0.96,0.04,439.86554,592.8753
"84","NonVascular",0.01,0.99,923.123,605.73914
"85","NonVascular",0,1,845.3649,597.4756
"86","Vacular",0.84,0.16,1750.7766,596.0461
"87","Vacular",0.83,0.17,1344.6942,598.26434
"88","NonVascular",0.13,0.87,179.55414,609.914
"89","NonVascular",0.01,0.99,1108.549,625.59296
"90","NonVascular",0.09,0.91,75.81591,621.6506
"91","Vacular",0.99,0.01,417.5099,625.2791
"92","Vacular",0.99,0.01,1040.2101,628.1986
"93","NonVascular",0.02,0.98,169.59662,649.69543
"96","Vacular",0.99,0.01,208.96951,655.6707
"97","Vacular",0.99,0.01,1583.1643,673.3677
"98","Vacular",0.83,0.17,1721.6877,674.8773
"100","Vacular",0.92,0.08,221.92607,686.3347
"101","Vacular",0.94,0.06,1121.2173,691.62396
"102","NonVascular",0.18,0.82,1581.5084,703.72595
"104","Vacular",0.86,0.14,865.2941,708.2157
"105","Vacular",0.92,0.08,1398.2251,736.4386
"106","Vacular",0.85,0.15,1261.7368,768.4406
"107","Vacular",0.96,0.04,614.2353,772.60425
"108","Vacular",1,0,907.7041,795.7449
"109","Vacular",0.94,0.06,1196.6611,818.8322
"111","Vacular",0.95,0.05,168.3659,832.0291
"112","Vacular",0.87,0.13,62.58219,840.7277
"114","Vacular",0.81,0.19,788.8264,867.82983
"115","Vacular",0.88,0.12,499.4429,885.1211
"119","Vacular",0.92,0.08,1835.1703,906.87695
"120","Vacular",0.91,0.09,524.136,908.36
"121","Vacular",0.95,0.05,161.11111,919.19775
"123","Vacular",0.99,0.01,1294.0854,926.1212
"124","NonVascular",0.14,0.86,1219.6714,937.19525
"126","NonVascular",0.04,0.96,507.31805,970.17316
"127","Vacular",0.91,0.09,924.87036,959.0185
"128","NonVascular",0,1,1444.9995,1003.081
"129","NonVascular",0.06,0.94,1293.8853,1011.21967
"133","Vacular",0.96,0.04,57.692673,1014.78723
"134","Vacular",0.91,0.09,743.04,1052.832
"135","Vacular",0.89,0.11,1471.5863,1063.7231
"136","Vacular",0.91,0.09,432.06766,1080.6992
"137","Vacular",0.93,0.07,415.47238,1103.768
"138","Vacular",0.88,0.12,441.9617,1107.4937
"139","NonVascular",0.04,0.96,1330.3798,1138.4097
"140","Vacular",0.95,0.05,285.56207,1120.5518
"141","Vacular",0.86,0.14,735.28784,1119.7003
"143","Vacular",0.87,0.13,956.6192,1137.9004
"145","Vacular",0.96,0.04,485.04236,1141.1824
"148","NonVascular",0.19,0.81,941.5172,1176.6724
"149","Vacular",0.95,0.05,510.9123,1181.0035
"150","NonVascular",0.01,0.99,931.9238,1221.5321
"152","Vacular",0.99,0.01,1727,1210.941
"155","Vacular",1,0,980.4196,1227.1959
"157","Vacular",0.99,0.01,922.5894,1256.8047
"162","Vacular",0.99,0.01,493.44055,1286.4163
"163","NonVascular",0.03,0.97,671.093,1302.1434
"164","Vacular",0.93,0.07,1117.525,1311.5719
"165","Vacular",0.94,0.06,1786.1414,1315.0565
"166","Vacular",1,0,398.78748,1347.3334
"167","Vacular",0.82,0.18,1916.9971,1361.4011
"169","NonVascular",0.17,0.83,1931.2946,1377
"171","Vacular",0.9,0.1,1040.8444,1414.6107
"173","Vacular",0.91,0.09,1551.9783,1437.2764
"174","NonVascular",0.05,0.95,575.095,1447.0608
"175","Vacular",0.9,0.1,1333.3585,1447.9323
"177","Vacular",0.86,0.14,360.80823,1456.5068
