"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","NonVascular",0.17,0.83,415.74707,7.2235293
"2","Vacular",0.99,0.01,436.12173,18.84348
"3","NonVascular",0.05,0.95,358.7837,19.67376
"4","Vacular",1,0,804.31494,47.855644
"5","Vacular",0.88,0.12,1136.8691,54.203636
"7","Vacular",1,0,1523.9675,89.2475
"9","Vacular",0.99,0.01,68.158104,132.95258
"10","Vacular",1,0,1581.7083,144.9894
"11","Vacular",0.97,0.03,837.81946,166.28366
"12","Vacular",0.84,0.16,1122.7667,167.43333
"13","Vacular",1,0,579.7684,187.8555
"14","NonVascular",0.1,0.9,5.5493565,202.33047
"16","Vacular",1,0,1400.8671,215.14189
"17","Vacular",0.96,0.04,364.1537,258.24277
"20","NonVascular",0.16,0.84,407.39682,324.2857
"21","Vacular",0.96,0.04,1676.1207,339.46335
"22","NonVascular",0.09,0.91,27.424068,340.71347
"23","Vacular",0.84,0.16,1549.3123,380.7756
"27","NonVascular",0.18,0.82,527.9365,430.2381
"28","Vacular",0.99,0.01,16.056818,445.27274
"29","Vacular",0.89,0.11,1201.1326,461.0746
"30","Vacular",0.86,0.14,968.4625,465.3125
"33","Vacular",0.97,0.03,1537.2354,542.37646
"35","Vacular",0.94,0.06,241.99692,569.11694
"36","Vacular",0.99,0.01,1623.8671,569.977
"38","Vacular",0.97,0.03,962.01495,589.0235
"40","Vacular",0.97,0.03,1091.4651,682.1003
"41","Vacular",0.99,0.01,668.9499,731.5209
"42","Vacular",0.82,0.18,1447.7032,748.7839
"46","NonVascular",0.05,0.95,884.8344,787.8609
"47","Vacular",0.85,0.15,488.5907,820.1259
"49","Vacular",0.97,0.03,555.99207,838.4063
"52","Vacular",0.96,0.04,149.19577,879.82806
"53","Vacular",0.99,0.01,830.61475,896.93933
"54","Vacular",0.95,0.05,170.91292,914.5976
"55","Vacular",0.92,0.08,694.6542,953.867
"56","Vacular",0.91,0.09,657.03503,987.41174
"57","Vacular",0.9,0.1,1430.2054,1013.6202
"58","Vacular",0.95,0.05,494.13403,1049.756
"59","Vacular",0.83,0.17,457.07767,1066.2247
"60","Vacular",0.93,0.07,417.462,1065.003
"61","Vacular",0.84,0.16,432.21683,1129.1317
"63","Vacular",0.99,0.01,1100.5398,1112.8047
"64","Vacular",1,0,1681.1571,1127.8329
"65","Vacular",0.86,0.14,420.5091,1165.9818
"66","Vacular",0.87,0.13,445.43326,1188.3696
"67","NonVascular",0.12,0.88,614.442,1196.221
"69","Vacular",0.97,0.03,571.58954,1224.0371
"70","Vacular",0.98,0.02,209.31268,1248.324
"71","Vacular",0.96,0.04,764.70123,1255.7736
"77","Vacular",0.83,0.17,885.19586,1380.856
"78","Vacular",0.81,0.19,923.5872,1428.4005
"80","Vacular",0.94,0.06,954.89166,1453.05
