"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","NonVascular",0.06,0.94,682.7976,7.138889
"5","Vacular",0.99,0.01,1725.4314,46.93464
"6","NonVascular",0.12,0.88,1789.281,49.768597
"7","Vacular",0.99,0.01,291.0492,71.48712
"8","NonVascular",0.02,0.98,1700.112,74.02586
"10","Vacular",0.89,0.11,1565.3044,106.77933
"13","Vacular",0.85,0.15,2.390625,125.734375
"15","Vacular",0.87,0.13,1795.7638,164.2828
"16","Vacular",0.94,0.06,182.56326,178.23674
"17","Vacular",0.92,0.08,944.1728,184.89519
"18","Vacular",0.92,0.08,22.655813,194.9279
"19","Vacular",0.97,0.03,560.7308,198.9478
"20","Vacular",0.89,0.11,190.53352,226.84077
"21","Vacular",0.9,0.1,1258.5837,253.56375
"22","Vacular",0.98,0.02,1549.6842,255.83684
"24","Vacular",0.85,0.15,758.3251,267.93665
"26","Vacular",0.91,0.09,1383.8029,277.6143
"28","Vacular",1,0,803.382,305.07056
"29","Vacular",0.87,0.13,1626.9869,314.72223
"30","NonVascular",0.12,0.88,1380.572,322.90094
"31","Vacular",0.89,0.11,582.4665,328.32654
"32","Vacular",0.88,0.12,457.84668,332.88666
"33","Vacular",0.99,0.01,126.14815,338.32593
"36","Vacular",0.9,0.1,883.1724,342.59268
"38","Vacular",0.94,0.06,911.9394,355.9201
"39","Vacular",0.96,0.04,702.49194,358.55377
"41","Vacular",0.96,0.04,298.47485,370.02792
"42","Vacular",0.89,0.11,1307.5905,372.4381
"43","NonVascular",0.17,0.83,1330.2523,379.71027
"44","NonVascular",0.02,0.98,316.51913,409.93915
"45","NonVascular",0.05,0.95,469.66016,441.8858
"46","Vacular",0.98,0.02,82.60955,441.21066
"47","NonVascular",0.03,0.97,1122.9685,442.42633
"48","NonVascular",0.03,0.97,106.24378,441.35822
"49","NonVascular",0.02,0.98,625.5632,444.93683
"51","Vacular",0.99,0.01,1156.9105,452.58945
"53","NonVascular",0.02,0.98,1455.4061,488.0594
"54","NonVascular",0.04,0.96,1877.2897,557.1646
"55","NonVascular",0.07,0.93,1637.7524,485.97278
"56","NonVascular",0.06,0.94,1587.6433,496.0627
"58","Vacular",1,0,880.13367,490.06683
"63","Vacular",0.98,0.02,1097.0289,510.94202
"64","NonVascular",0.02,0.98,1513.1962,531.16394
"65","NonVascular",0.02,0.98,1632.2445,564.1442
"66","Vacular",0.94,0.06,119.16053,528.6421
"67","NonVascular",0.03,0.97,1434.7262,574.097
"70","NonVascular",0.02,0.98,1517.4102,607.2694
"71","NonVascular",0.01,0.99,1326.6077,593.197
"72","Vacular",0.96,0.04,96.03933,588.30334
"74","NonVascular",0.01,0.99,1579.6029,622.6644
"75","Vacular",0.82,0.18,383.55014,615.05774
"76","Vacular",0.98,0.02,533.09045,620.2613
"79","NonVascular",0.15,0.85,1724.9747,623.68066
"82","Vacular",0.86,0.14,1782.7903,641.1774
"83","NonVascular",0.01,0.99,108.51086,668.0246
"84","Vacular",0.89,0.11,675.5648,675.317
"85","Vacular",0.96,0.04,325.17572,680.3282
"86","Vacular",1,0,1114.9078,692.48157
"87","Vacular",1,0,450.9572,719.5829
"88","Vacular",0.99,0.01,779.88184,723.0634
"89","NonVascular",0.07,0.93,115.925,730.475
"90","Vacular",0.96,0.04,1597.5508,737.00726
"91","NonVascular",0.04,0.96,1561.6892,751.3885
"92","NonVascular",0.15,0.85,1303.0793,769.60315
"95","Vacular",0.99,0.01,361.07007,807.6157
"96","Vacular",0.95,0.05,1320.9242,812.6793
"97","Vacular",0.99,0.01,410.6991,827.41943
"98","Vacular",0.95,0.05,523.2073,850.06476
"99","NonVascular",0.13,0.87,755.9823,848.3363
"100","NonVascular",0.18,0.82,780.1042,850.5208
"102","NonVascular",0.12,0.88,70.61461,902.3701
"105","Vacular",0.96,0.04,861.44025,941.9215
"106","Vacular",0.97,0.03,316.26505,948.5422
"107","NonVascular",0.18,0.82,25.41,946.09
"108","Vacular",0.99,0.01,1292.0754,959.47766
"109","NonVascular",0.02,0.98,11.263717,972.22656
"110","NonVascular",0.03,0.97,61.51715,973.32983
"111","Vacular",0.94,0.06,996.80347,1018.73987
"112","Vacular",0.99,0.01,930.78925,1031.0302
"113","Vacular",0.97,0.03,1677.0708,1033.6006
"114","Vacular",0.91,0.09,284.08026,1043.4691
"115","Vacular",0.93,0.07,1187.0948,1117.7452
"118","NonVascular",0.08,0.92,1795.8636,1171.9221
"122","Vacular",0.93,0.07,614.89325,1217.8735
"123","Vacular",0.82,0.18,1909.8956,1218.6923
"124","Vacular",0.94,0.06,1599.1569,1222.9299
"125","Vacular",0.92,0.08,1423.9697,1223.3757
"127","Vacular",1,0,751.5062,1237.2283
"128","Vacular",0.99,0.01,203.54567,1243.2881
"129","Vacular",1,0,1000.2117,1244.6165
"130","Vacular",0.98,0.02,1729.5028,1254.5168
"131","Vacular",0.91,0.09,184.24039,1258.0193
"132","Vacular",1,0,501.2896,1286.3907
"133","Vacular",0.91,0.09,1228.8708,1323.4337
"134","Vacular",0.93,0.07,1818.5023,1328.8177
"135","Vacular",0.98,0.02,1188.5044,1337.6627
"136","NonVascular",0.05,0.95,1150.826,1352.5444
"137","Vacular",0.89,0.11,4.2984295,1351.7697
"138","NonVascular",0.15,0.85,1571.3876,1364.5581
"139","Vacular",0.93,0.07,1816.9875,1367.5685
"141","Vacular",0.83,0.17,341.29703,1433.9504
"142","Vacular",1,0,134.1311,1450.1403
"143","Vacular",0.9,0.1,1357.6731,1454.6731
