"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","NonVascular",0,1,1050.6095,13.816207
"3","Vacular",0.83,0.17,1717.1761,3.7670455
"4","Vacular",0.98,0.02,1560.1857,32.533157
"5","Vacular",0.98,0.02,1753.189,67.06036
"7","NonVascular",0.12,0.88,1002.278,83.51121
"8","Vacular",0.97,0.03,1653.9495,92.90179
"9","Vacular",0.96,0.04,304.25974,99.83376
"10","Vacular",0.85,0.15,1315.9153,105.821625
"11","Vacular",0.98,0.02,1180.9786,112.28436
"15","Vacular",0.99,0.01,112.44226,125.44963
"17","NonVascular",0.02,0.98,566.8929,160.88432
"20","Vacular",1,0,645.74023,207.17241
"22","Vacular",0.84,0.16,484.03156,214.38802
"24","Vacular",0.95,0.05,6.826715,223.4982
"27","Vacular",0.93,0.07,361.83527,244.4711
"29","Vacular",0.91,0.09,1443.5972,311.90424
"30","NonVascular",0.05,0.95,798.4314,343.21945
"32","NonVascular",0.18,0.82,867.41986,350.87024
"34","Vacular",1,0,839.0355,359.22952
"35","Vacular",0.98,0.02,1159.902,358.88943
"36","Vacular",1,0,569.75793,394.8801
"37","Vacular",0.97,0.03,953.533,409.92386
"38","Vacular",0.82,0.18,1604.3163,418.2143
"40","Vacular",0.96,0.04,1348.1492,424.30106
"41","NonVascular",0.03,0.97,1894.6564,445.5584
"43","Vacular",0.93,0.07,396.15088,446.03845
"44","Vacular",0.96,0.04,965.19147,447.98175
"46","Vacular",0.97,0.03,998.471,445.27646
"48","Vacular",0.94,0.06,1028.7362,457.25153
"49","Vacular",0.89,0.11,979.0352,461.8169
"52","Vacular",0.89,0.11,1715.3356,500.32886
"53","Vacular",0.82,0.18,658.0555,519.3034
"55","Vacular",0.83,0.17,872.05457,540.82324
"57","NonVascular",0.18,0.82,1492.9453,522.7049
"58","Vacular",0.84,0.16,177.4312,528.7951
"59","Vacular",0.9,0.1,846.96204,527.93036
"60","NonVascular",0.17,0.83,5.286396,565.0358
"63","Vacular",0.94,0.06,1139.4274,569.03766
"64","Vacular",1,0,1682.4174,591.3686
"65","Vacular",0.99,0.01,547.2652,609.3177
"66","Vacular",0.99,0.01,1557.2162,616.1745
"70","Vacular",0.9,0.1,1831.614,650.0465
"71","Vacular",1,0,1045.406,654.02997
"74","NonVascular",0.16,0.84,699.1859,660.6539
"75","Vacular",0.82,0.18,1848.75,659.5643
"77","Vacular",0.99,0.01,727.9552,682.4482
"83","NonVascular",0.01,0.99,541.94617,785.5826
"84","Vacular",0.92,0.08,1547.4366,718.24225
"86","Vacular",0.95,0.05,1747.2892,764.8587
"87","Vacular",0.98,0.02,490.17883,776.1335
"89","Vacular",0.96,0.04,1257.8142,783.44727
"91","Vacular",1,0,999.97266,808.8333
"92","Vacular",0.96,0.04,1540.162,808.483
"93","Vacular",0.98,0.02,385.53333,827.5476
"94","NonVascular",0.04,0.96,1705.9344,829.94324
"95","Vacular",0.92,0.08,878.25134,882.1803
"97","Vacular",0.85,0.15,1507.894,892.98444
"99","NonVascular",0.1,0.9,886.33185,906.3875
"100","NonVascular",0,1,1150.5338,947.5107
"101","NonVascular",0,1,1087.1427,945.2565
"105","Vacular",0.97,0.03,1350.4819,960.28827
"106","Vacular",0.94,0.06,1400.5574,965.0287
"108","Vacular",0.94,0.06,365.43283,970.5254
"109","Vacular",0.94,0.06,1386.5845,983.8756
"112","NonVascular",0.04,0.96,1407.3008,993.2317
"113","Vacular",0.93,0.07,1790.4312,996.8653
"114","NonVascular",0.04,0.96,1343.3813,1013.6414
"115","NonVascular",0.01,0.99,1272.0286,1039.0969
"116","NonVascular",0.03,0.97,275.33224,1049.0145
"117","Vacular",0.98,0.02,240.7924,1059.6481
"119","Vacular",1,0,433.60983,1066.7313
"121","NonVascular",0.16,0.84,942.46,1076.7
"125","Vacular",1,0,1453.2004,1138.8713
"126","Vacular",0.99,0.01,521.6639,1142.5021
"130","Vacular",0.98,0.02,351.35376,1160.2117
"132","NonVascular",0.05,0.95,743.6014,1171.9865
"134","Vacular",0.97,0.03,736.09845,1201.7513
"135","Vacular",0.99,0.01,192.76503,1213.7186
"137","Vacular",0.96,0.04,525.1688,1213.803
"139","Vacular",0.92,0.08,1828.9824,1279.0146
"140","Vacular",0.97,0.03,1406.9784,1282.9702
"142","Vacular",0.92,0.08,643.00665,1322.1893
"143","Vacular",0.88,0.12,429.4864,1323.0135
"144","Vacular",0.96,0.04,1238.1226,1344.3514
"145","Vacular",0.99,0.01,1605.1083,1353.4562
"146","Vacular",0.97,0.03,1153.2532,1362.908
"147","NonVascular",0.19,0.81,1480.6567,1368.7313
"149","Vacular",0.96,0.04,183.99568,1377.6631
"150","NonVascular",0.05,0.95,1912.3477,1399.1473
"151","Vacular",0.86,0.14,1463.9226,1424.1145
"152","NonVascular",0.18,0.82,560.9995,1448.898
"153","Vacular",0.92,0.08,835.8852,1440.0604
