"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","Vacular",0.89,0.11,4.5669293,5.149606
"2","Vacular",0.97,0.03,398.02847,7.843416
"5","NonVascular",0.02,0.98,1837.5714,27.626728
"6","NonVascular",0.02,0.98,1199.5991,26.27622
"7","Vacular",0.99,0.01,1046.7101,13.744472
"8","NonVascular",0.02,0.98,1265.0278,38.2652
"10","NonVascular",0,1,1688.6918,36.721416
"11","Vacular",0.82,0.18,1872.6354,35.664062
"14","Vacular",0.99,0.01,1540.3269,47.471153
"17","Vacular",0.96,0.04,855.327,54.731655
"18","Vacular",0.92,0.08,450.6613,55.66129
"19","Vacular",0.9,0.1,705.1268,73.394646
"20","Vacular",0.96,0.04,1419.8793,67.49785
"21","NonVascular",0.03,0.97,1171.3539,66.41292
"25","NonVascular",0.02,0.98,1219,103.024055
"27","NonVascular",0.13,0.87,1086.998,117.859406
"33","NonVascular",0.03,0.97,1422.2681,170.64014
"35","Vacular",0.99,0.01,1570.337,166.73538
"36","NonVascular",0.02,0.98,1044.632,174.90508
"42","Vacular",0.86,0.14,630.9817,250.89635
"43","Vacular",0.94,0.06,755.5814,261.96042
"44","Vacular",1,0,1117.3341,264.63452
"45","Vacular",0.99,0.01,32.149143,276.52322
"46","Vacular",1,0,615.8054,273.70444
"48","NonVascular",0,1,1446.7288,302.3984
"49","Vacular",0.92,0.08,159.06462,319.4
"50","Vacular",0.99,0.01,18.94102,314.51474
"51","Vacular",0.96,0.04,1354.4037,315.54947
"52","Vacular",0.85,0.15,956.5883,321.95584
"54","Vacular",0.85,0.15,521.20953,331.77573
"55","Vacular",0.87,0.13,820.06696,347.16745
"56","Vacular",0.98,0.02,423.37073,362.32465
"57","Vacular",0.98,0.02,701.37286,360.72592
"58","Vacular",0.86,0.14,151.90225,358.2707
"60","NonVascular",0.16,0.84,1452.596,378.27274
"61","Vacular",0.96,0.04,1819.4856,388.69452
"62","NonVascular",0,1,1421.1167,413.36526
"63","NonVascular",0.16,0.84,943.31647,398.11392
"66","Vacular",1,0,902.694,418.12567
"67","Vacular",0.96,0.04,1160.6724,418.19455
"68","NonVascular",0.01,0.99,1785.4825,419.36365
"70","Vacular",0.97,0.03,1019.47314,434.46506
"71","NonVascular",0,1,1670.6486,459.57715
"73","NonVascular",0,1,1364.747,484.17786
"74","Vacular",0.87,0.13,536.587,482.374
"75","Vacular",0.93,0.07,840.90283,487.44128
"76","Vacular",0.85,0.15,343.00903,502.0788
"77","NonVascular",0.11,0.89,1525.1212,498.5576
"80","Vacular",0.85,0.15,1080.6125,506.2906
"82","NonVascular",0.1,0.9,655.0543,512.53625
"83","NonVascular",0.01,0.99,1633.8403,540.87054
"84","NonVascular",0.19,0.81,1816.4166,533.2
"86","NonVascular",0.13,0.87,1576.5552,553.0793
"87","NonVascular",0.02,0.98,1857.1185,584.3222
"89","Vacular",0.98,0.02,1589.0264,584.01056
"90","NonVascular",0.02,0.98,1630.9565,590.00806
"91","Vacular",0.99,0.01,1273.3813,612.705
"92","Vacular",0.92,0.08,1724.4171,617.89307
"95","NonVascular",0.02,0.98,1597.0502,625.86646
"96","Vacular",0.97,0.03,5.80597,627.74255
