"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"2","NonVascular",0.06,0.94,484.59723,7.9444447
"4","NonVascular",0.01,0.99,1367.5498,34.328835
"5","NonVascular",0,1,447.09036,88.30681
"6","NonVascular",0,1,1596.4763,36.31213
"7","Vacular",0.95,0.05,894.31366,40.41287
"12","NonVascular",0.02,0.98,380.84363,79.15053
"15","Vacular",0.91,0.09,863.14124,96.70056
"16","Vacular",0.89,0.11,1094.8896,99.27273
"17","Vacular",0.9,0.1,1613.1403,98.46583
"19","NonVascular",0,1,1523.4163,113.169655
"20","NonVascular",0.01,0.99,1797.8733,114.2
"21","Vacular",0.85,0.15,800.7108,112.93976
"23","Vacular",0.9,0.1,846.39526,149.69087
"24","NonVascular",0.02,0.98,1564.0652,161.76382
"25","NonVascular",0.14,0.86,1697.4419,151.54523
"27","NonVascular",0.01,0.99,621.14557,156.95688
"28","NonVascular",0.03,0.97,1382.748,172.92636
"30","NonVascular",0.06,0.94,1664.2416,177.40268
"31","NonVascular",0.01,0.99,1813.9609,189.6992
"36","NonVascular",0.12,0.88,1628.559,224.45247
"41","NonVascular",0.19,0.81,370.75937,260.94653
"43","NonVascular",0.19,0.81,926.7175,276.17767
"45","NonVascular",0.08,0.92,655.0782,315.97604
"46","NonVascular",0.02,0.98,96.04452,329.01724
"48","NonVascular",0.01,0.99,470.2843,325.51263
"49","NonVascular",0.01,0.99,520.0611,351.61267
"50","NonVascular",0.06,0.94,142.13696,335.61957
"51","NonVascular",0.17,0.83,1534.179,333.19754
"52","NonVascular",0.19,0.81,1409.814,341.56396
"54","NonVascular",0.08,0.92,700.50494,377.27353
"56","NonVascular",0.05,0.95,30.073418,373.98987
"57","NonVascular",0.03,0.97,434.02243,376.21722
"58","NonVascular",0.02,0.98,1762.3712,431.44684
"59","NonVascular",0.02,0.98,1326.678,401.39087
"60","NonVascular",0.13,0.87,1870.6686,375.87573
"61","NonVascular",0.01,0.99,344.75775,385.4327
"63","NonVascular",0.02,0.98,1188.1971,440.1224
"66","Vacular",0.94,0.06,1011.6226,414.28513
"67","NonVascular",0.17,0.83,1499.5245,409.10657
"68","NonVascular",0.01,0.99,1824.1082,413.6054
"69","Vacular",0.84,0.16,973.82007,429.05682
"70","Vacular",0.93,0.07,1273.394,418.99576
"71","NonVascular",0.17,0.83,1602.0265,427.9351
"72","NonVascular",0.1,0.9,1832.8942,422.4
"73","NonVascular",0.12,0.88,318.98975,449.8946
"74","Vacular",0.83,0.17,1296.1805,433.81946
"76","Vacular",0.96,0.04,1315.5667,450.95627
"77","NonVascular",0.05,0.95,1652.6068,462.62564
"78","Vacular",0.84,0.16,1344.2218,475.44357
"79","NonVascular",0.04,0.96,42.50531,494.5478
"80","NonVascular",0.01,0.99,667.3507,508.35123
"81","NonVascular",0.01,0.99,1382.3402,514.8586
"82","Vacular",0.82,0.18,750.4171,514.6834
"83","NonVascular",0.12,0.88,1494.1176,521.0125
"84","NonVascular",0.09,0.91,1631.9911,519.3125
"88","Vacular",0.85,0.15,693.2567,538.69684
"90","Vacular",0.93,0.07,1146.1119,540.237
"91","Vacular",0.93,0.07,97.09207,548.06903
"93","NonVascular",0,1,464.92142,557.5569
"94","NonVascular",0.01,0.99,416.2084,566.0902
"96","Vacular",0.89,0.11,1801.8853,561.8829
"98","Vacular",0.91,0.09,747.22644,579.7075
"100","NonVascular",0.04,0.96,1055.7142,573.4939
"106","NonVascular",0.02,0.98,1914.84,610.6899
"109","Vacular",0.95,0.05,413.66446,600
"110","NonVascular",0.12,0.88,790.6796,610.62134
"111","NonVascular",0.02,0.98,230.41559,600.85004
"112","Vacular",0.96,0.04,117.55691,602.9228
"114","Vacular",0.86,0.14,11.893442,606.40985
"115","NonVascular",0.05,0.95,598.1152,615.7444
"116","NonVascular",0.02,0.98,1554.7399,631.28375
"119","NonVascular",0.09,0.91,151.44444,614.9278
