"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","NonVascular",0.03,0.97,424.95703,69.471054
"5","NonVascular",0.01,0.99,610.4163,11.989811
"8","NonVascular",0.12,0.88,931.0185,10.915325
"9","NonVascular",0.11,0.89,1167.5299,13.744329
"12","NonVascular",0.01,0.99,1501.6238,39.169067
"14","NonVascular",0,1,639.6687,50.44052
"16","NonVascular",0,1,1406.5851,68.63098
"18","NonVascular",0.11,0.89,782.948,59.801563
"19","NonVascular",0.01,0.99,685.4438,57.015892
"20","Vacular",0.88,0.12,722.027,48.690025
"21","Vacular",0.96,0.04,1201.6753,48.13653
"22","Vacular",1,0,1040.8252,53.23543
"23","NonVascular",0.06,0.94,1146.8701,67.80298
"25","Vacular",0.88,0.12,1184.4938,56.4321
"26","NonVascular",0.17,0.83,875.67664,85.53016
"29","NonVascular",0.13,0.87,1642.8511,82.364075
"30","NonVascular",0.18,0.82,580.83075,73.86154
"33","NonVascular",0.18,0.82,355.4056,77.937065
"34","NonVascular",0.07,0.93,1585.5952,83.55556
"35","NonVascular",0.12,0.88,1409.7003,135.1063
"36","NonVascular",0.02,0.98,1461.8378,99.528
"37","Vacular",0.98,0.02,963.8626,95.54962
"39","NonVascular",0.04,0.96,614.69495,133.84975
"40","NonVascular",0.19,0.81,1189.0382,104.26687
"43","NonVascular",0.02,0.98,337.08658,114.97403
"45","NonVascular",0.1,0.9,887.4202,149.05945
"46","NonVascular",0,1,1683.0511,122.99818
"47","NonVascular",0.16,0.84,379.5565,120.66109
"49","NonVascular",0.17,0.83,656.3638,132.47675
"50","NonVascular",0.02,0.98,952.3374,151.92317
"54","NonVascular",0.14,0.86,816.1093,274.8082
"60","Vacular",0.92,0.08,1251.2543,172.8757
"61","NonVascular",0.08,0.92,1353.0779,171.47305
"65","NonVascular",0.16,0.84,1038.2933,230.5521
"68","NonVascular",0.1,0.9,1515.2942,286.3827
"70","NonVascular",0.05,0.95,1579.04,194.93333
"71","NonVascular",0,1,1353.7399,220.00801
"73","NonVascular",0.11,0.89,915.7215,233.57185
"74","NonVascular",0.01,0.99,687.9178,228.37779
"75","Vacular",0.85,0.15,1794.0667,228.10345
"76","NonVascular",0,1,1548.9788,245.33333
"77","NonVascular",0.04,0.96,447.7179,253.2556
"78","NonVascular",0.09,0.91,1586.284,243.57272
"79","NonVascular",0.16,0.84,1227.2324,247.47717
"80","NonVascular",0.03,0.97,602.49133,274.33377
"82","Vacular",0.96,0.04,1157.7618,256.38742
"83","NonVascular",0.02,0.98,912.6436,274.09637
"84","Vacular",0.97,0.03,950.8858,268.20056
"85","NonVascular",0.12,0.88,1326.0029,299.9526
"86","NonVascular",0.15,0.85,991.6614,361.31573
"87","NonVascular",0.08,0.92,1679.7991,315.5367
"89","NonVascular",0,1,1613.0676,302.77557
"90","NonVascular",0,1,886.2534,311.95978
"95","NonVascular",0.02,0.98,1456.2844,322.51114
"96","NonVascular",0,1,481.4547,331.8818
"97","NonVascular",0.12,0.88,1056.2212,321.47385
"99","NonVascular",0,1,551.35297,358.47528
"100","NonVascular",0.17,0.83,1239.7667,330.6143
"101","Vacular",0.98,0.02,1090.7556,337.7828
"103","NonVascular",0.18,0.82,432.81195,343.17947
"104","NonVascular",0,1,1614.5748,359.31726
"105","NonVascular",0.05,0.95,1439.3955,403.64633
"106","Vacular",0.87,0.13,736.18475,360.89944
"107","NonVascular",0.01,0.99,1095.2113,379.79544
"109","NonVascular",0.01,0.99,617.0679,375.04193
"110","NonVascular",0.01,0.99,1727.274,407.29962
"112","NonVascular",0.02,0.98,1198.9723,387.52078
"113","Vacular",0.95,0.05,1135.5946,381.13965
"114","Vacular",1,0,1434.0255,380.0944
"115","Vacular",0.93,0.07,448.3902,392.58646
"116","NonVascular",0,1,1643.6979,419.03717
"119","NonVascular",0.11,0.89,415.7929,407.0436
"121","NonVascular",0.01,0.99,1559.8734,473.3751
"122","NonVascular",0.15,0.85,1314.3392,403.75595
"123","NonVascular",0.17,0.83,860.29834,408.74585
"125","NonVascular",0.01,0.99,739.11334,449.65262
"128","NonVascular",0.12,0.88,966.3013,452.15628
"129","NonVascular",0.16,0.84,651.26953,424.078
"131","Vacular",0.81,0.19,886.6067,437.0751
