"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"2","Vacular",0.95,0.05,203.0793,5.5286345
"3","NonVascular",0.18,0.82,1204.5778,7.0111113
"5","NonVascular",0.19,0.81,1305.9059,4.909804
"6","NonVascular",0,1,1467.7811,16.768805
"8","NonVascular",0.05,0.95,1377.9414,20.963343
"10","Vacular",0.98,0.02,454.53888,31.622223
"11","NonVascular",0,1,1566.3347,47.392124
"12","NonVascular",0.19,0.81,1496.8145,31.350515
"13","Vacular",0.97,0.03,126.296776,38.835484
"14","Vacular",1,0,873.2404,45
"17","Vacular",0.92,0.08,807.1844,75.80727
"18","NonVascular",0.16,0.84,388.40378,76.69401
"19","NonVascular",0.18,0.82,283.4392,88.02745
"22","NonVascular",0.19,0.81,356.0877,83.42105
"23","Vacular",0.81,0.19,1035.6736,93.03472
"24","Vacular",0.96,0.04,415.5835,103.62157
"26","NonVascular",0.01,0.99,374.29504,132.1864
"28","NonVascular",0.06,0.94,1083.327,153.06667
"29","NonVascular",0.14,0.86,602.3198,228.9124
"31","Vacular",0.95,0.05,1110.8705,165.34293
"33","NonVascular",0.1,0.9,212.34834,180.1932
"34","Vacular",0.93,0.07,1265.0349,165.59302
"35","NonVascular",0.19,0.81,377.32782,183.54373
"36","NonVascular",0.02,0.98,878.14777,171.2371
"37","NonVascular",0.12,0.88,1162.8774,180.7151
"38","NonVascular",0.15,0.85,1132.4146,187.29091
"39","Vacular",0.89,0.11,1390.7092,188.39297
"40","NonVascular",0.05,0.95,1555.589,194.84932
"41","NonVascular",0.01,0.99,286.1358,206.95972
"42","NonVascular",0.02,0.98,1609.316,247.51894
"43","NonVascular",0.05,0.95,834.12354,215.19305
"44","NonVascular",0.15,0.85,164.33466,232.74503
"45","Vacular",0.82,0.18,236.94266,239.37386
"46","NonVascular",0.02,0.98,1469.7838,252.12082
"47","Vacular",0.92,0.08,1375.5332,261.71173
"48","NonVascular",0.01,0.99,1401.9585,269.71817
"49","NonVascular",0.03,0.97,1277.0693,329.8064
"50","Vacular",0.95,0.05,918.1337,317.64743
"51","NonVascular",0.07,0.93,1693.0623,326.88852
"53","NonVascular",0.17,0.83,558.3409,341.54626
"54","Vacular",0.98,0.02,1351.6385,343.32632
"55","NonVascular",0.16,0.84,292.55554,345
"57","Vacular",0.97,0.03,212.61046,370.3343
"58","NonVascular",0.01,0.99,1155.8651,377.98138
"59","Vacular",0.98,0.02,132.08333,375.71667
"60","NonVascular",0.08,0.92,1060.8575,408.95978
"61","NonVascular",0,1,1815.8733,435.3019
"62","Vacular",0.96,0.04,490.0053,409.60107
"64","NonVascular",0.08,0.92,1483.8948,419.23685
"65","Vacular",0.96,0.04,684.81213,428.56076
"66","NonVascular",0.14,0.86,1514.0054,429.976
"67","Vacular",0.92,0.08,445.83432,440.70117
"68","Vacular",0.95,0.05,1182.811,447.5884
"72","Vacular",1,0,15.913889,463.40555
"75","NonVascular",0.18,0.82,1355.289,492.12222
"77","Vacular",0.98,0.02,704.2187,502.46667
"79","Vacular",1,0,306.23315,508.01553
"80","NonVascular",0.18,0.82,454.401,520.4924
"83","Vacular",0.93,0.07,392.6027,555.88214
"86","NonVascular",0.03,0.97,1345.0132,574.6755
"87","NonVascular",0,1,1427.1069,597.28906
"89","Vacular",0.83,0.17,99.46218,595.53784
"91","Vacular",0.98,0.02,566.6697,606.43634
"93","Vacular",0.97,0.03,1238.5084,616.76404
"94","NonVascular",0.03,0.97,1630.8529,624.9177
"96","Vacular",0.85,0.15,701.2189,629.9293
"98","NonVascular",0.01,0.99,800.10986,655.64294
"99","Vacular",0.96,0.04,423.86142,658.05975
"103","Vacular",0.85,0.15,1030.7262,685.08746
"104","Vacular",0.91,0.09,1509.6222,689.4254
"106","Vacular",0.97,0.03,504.76456,698.6253
"107","Vacular",0.93,0.07,165.77777,699.2906
"108","NonVascular",0.04,0.96,1219.6888,696.363
"113","NonVascular",0.19,0.81,1913.6038,712.2914
"114","Vacular",0.82,0.18,202.10744,719.9339
"115","Vacular",0.89,0.11,340.0754,732.9377
"117","NonVascular",0.03,0.97,1246.5234,752.57526
"118","NonVascular",0.01,0.99,1493.8489,755.84045
"119","Vacular",0.96,0.04,1579.0657,749.9469
"121","NonVascular",0.18,0.82,1213,769.64026
"122","Vacular",0.83,0.17,934.5951,780.27606
"123","NonVascular",0,1,1460.4779,798.523
"124","NonVascular",0.02,0.98,1144.2324,813.8447
"127","Vacular",1,0,94.78239,859.95593
"128","NonVascular",0.02,0.98,1496.5464,875.8312
"131","NonVascular",0.01,0.99,1445.7755,912.313
"135","Vacular",0.96,0.04,1646.5593,952.77625
"136","NonVascular",0.17,0.83,1795.4073,975.12036
"138","Vacular",1,0,1457,978.94946
"140","Vacular",0.89,0.11,460.40295,997.7764
"141","NonVascular",0,1,932.17065,1018.6544
"142","Vacular",0.86,0.14,1109.094,1008.6467
"143","NonVascular",0.03,0.97,1799.0795,1023.66785
"144","Vacular",0.98,0.02,627.262,1025.6471
"146","NonVascular",0.16,0.84,1320.1693,1035.3413
"147","NonVascular",0.18,0.82,188.87975,1056.1202
"149","NonVascular",0.09,0.91,895.7568,1079.0927
"150","NonVascular",0.01,0.99,810.94666,1102.7493
