"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","NonVascular",0.02,0.98,741.0812,9.608639
"2","Vacular",0.85,0.15,931.7391,6.5382514
"3","NonVascular",0.15,0.85,1001.84735,4.7842107
"4","Vacular",0.95,0.05,108.75908,17.564356
"5","NonVascular",0.18,0.82,215.79167,27.270834
"6","Vacular",0.99,0.01,524.1961,36.972374
"7","NonVascular",0.01,0.99,936.7451,54.811203
"10","Vacular",0.87,0.13,4.178344,38.394905
"11","Vacular",0.95,0.05,101.43674,44.25306
"12","Vacular",0.91,0.09,1021.8375,68.84375
"15","Vacular",0.86,0.14,1030.4275,88.419846
"16","Vacular",0.89,0.11,167.88312,98.87013
"17","Vacular",0.89,0.11,228.4409,108.218185
"20","Vacular",0.83,0.17,204.31017,122.720146
"21","Vacular",0.85,0.15,176.42857,122.85714
"22","Vacular",0.98,0.02,546.72565,151.01193
"23","NonVascular",0.07,0.93,1569.919,195.00822
"24","Vacular",0.97,0.03,957.3634,159.79459
"26","NonVascular",0.18,0.82,1505.5151,182.5303
"27","Vacular",0.95,0.05,978.2534,191.50685
"28","NonVascular",0.11,0.89,1064.0948,211.31532
"29","Vacular",0.99,0.01,67.03986,205.00664
"30","Vacular",0.84,0.16,1008.9636,224.39272
"32","Vacular",1,0,681.8097,263.5891
"33","NonVascular",0.02,0.98,1914.577,301.87405
"34","Vacular",0.98,0.02,1192.3585,279.87317
"35","Vacular",0.85,0.15,518.45715,284.63144
"38","Vacular",0.95,0.05,226.93443,301.3989
"39","Vacular",0.92,0.08,397.96362,311.27878
"41","Vacular",1,0,1536.5095,337.41147
"42","NonVascular",0.07,0.93,959.3066,379.9216
"45","NonVascular",0.01,0.99,1133.4045,398.09723
"46","NonVascular",0.15,0.85,1626.1532,409.1149
"48","Vacular",1,0,931.01843,439.24924
"50","Vacular",0.98,0.02,32.62683,451.8488
"51","NonVascular",0.02,0.98,1772.7269,480.64658
"52","NonVascular",0.17,0.83,1063.9056,477.15094
"54","NonVascular",0.06,0.94,1191.2194,524.2774
"55","NonVascular",0.04,0.96,1039.6056,501.71832
"56","NonVascular",0.01,0.99,1610.6083,518.43945
"57","Vacular",0.83,0.17,672.53516,514.6327
"59","NonVascular",0.15,0.85,1762.2202,516.29596
"61","Vacular",0.95,0.05,534.3885,540.0372
"62","Vacular",0.96,0.04,609.0029,546.8047
"63","NonVascular",0.03,0.97,1907.5454,591.6701
"64","Vacular",0.99,0.01,107.44388,573.625
"65","Vacular",1,0,891.73016,574.4312
"66","Vacular",0.99,0.01,508.66946,579.53784
"67","NonVascular",0,1,355.7884,586.4888
"68","NonVascular",0.02,0.98,305.74237,623.62866
"69","Vacular",0.98,0.02,1093.1381,609.3411
"70","NonVascular",0,1,669.163,641.9106
"71","NonVascular",0.04,0.96,367.23544,640.7348
"74","NonVascular",0.01,0.99,255.35368,699.7448
"75","Vacular",0.85,0.15,352.92938,695.37897
"76","Vacular",0.97,0.03,1140.3942,680.42645
"77","NonVascular",0.02,0.98,1023.2252,704.2178
"78","Vacular",1,0,421.37466,690.78973
