"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"2","NonVascular",0.08,0.92,1177.0052,5.6402116
"3","Vacular",0.81,0.19,1814.6205,3.7518249
"4","Vacular",0.97,0.03,1221.8804,36.707447
"5","Vacular",1,0,245.90594,45.175743
"6","Vacular",0.97,0.03,1624.3734,53.675323
"8","Vacular",0.98,0.02,1483.7598,86.93994
"9","Vacular",0.87,0.13,1182.914,90.70556
"10","NonVascular",0.02,0.98,1452.2467,103.72616
"11","Vacular",0.97,0.03,506.23077,106.1958
"12","NonVascular",0.02,0.98,288.1364,161.80786
"14","Vacular",1,0,1290.8624,128.58466
"16","NonVascular",0.12,0.88,1065.7302,149.86104
"17","Vacular",0.93,0.07,537.2191,154.36523
"20","NonVascular",0.18,0.82,1305.1946,180.5302
"23","Vacular",1,0,127.09196,234.29597
"24","Vacular",0.95,0.05,1393.0898,241.68985
"26","Vacular",0.91,0.09,673.22107,243.60884
"27","NonVascular",0.05,0.95,1594.3525,263.06836
"28","NonVascular",0.02,0.98,1096.437,275.43307
"31","NonVascular",0.08,0.92,1855.7528,283.8146
"32","Vacular",0.96,0.04,1145.9742,291.99487
"34","NonVascular",0.16,0.84,1059.9944,300.93787
"36","Vacular",1,0,419.9608,305.0621
"37","NonVascular",0.09,0.91,887.7063,334.985
"38","Vacular",0.98,0.02,1379.4758,331.91452
"42","NonVascular",0,1,499.22995,394.6852
"43","Vacular",0.86,0.14,1167.9753,356.57043
"44","Vacular",0.86,0.14,329.6657,386.5494
"45","Vacular",0.87,0.13,306.658,384.4052
"46","Vacular",0.99,0.01,602.26373,390.12912
"47","Vacular",0.82,0.18,147.14374,403.3211
"49","Vacular",0.85,0.15,1444.7307,427.95834
"50","Vacular",0.86,0.14,1048.6448,430.72696
"51","Vacular",0.91,0.09,4.7826085,437.66183
"54","Vacular",0.98,0.02,647.75916,464.56882
"55","Vacular",1,0,317.27856,474.56668
"56","NonVascular",0.05,0.95,951.07654,490.7231
"57","NonVascular",0.01,0.99,179.52509,538.56836
"59","Vacular",0.96,0.04,816.37317,528.3207
"60","Vacular",0.91,0.09,1034.4812,531.612
"61","Vacular",0.91,0.09,990.0528,542.36664
"62","Vacular",0.95,0.05,1833.0054,546.2145
"64","Vacular",0.98,0.02,893.975,555.3975
"65","Vacular",0.83,0.17,1184.1462,557.5889
"66","Vacular",0.82,0.18,1059.4181,567.9172
"67","NonVascular",0.11,0.89,911.4398,579.7863
"68","NonVascular",0.18,0.82,870.87805,576.85364
"69","NonVascular",0.04,0.96,1173.3726,579.3823
"70","Vacular",0.97,0.03,1379.1096,592.6267
"71","Vacular",1,0,616.76337,593.90424
"72","Vacular",0.94,0.06,751.18353,637.6614
"74","NonVascular",0,1,309.2463,687.9633
"75","Vacular",1,0,503.9,684.13336
"76","Vacular",0.83,0.17,920.9435,683.682
"77","Vacular",0.98,0.02,47.929348,706.4076
"78","Vacular",1,0,208.66307,707.5067
"79","NonVascular",0,1,1338.0724,743.21375
"80","NonVascular",0.03,0.97,881.134,752.6222
"82","NonVascular",0.08,0.92,1659.762,739.492
"83","Vacular",0.99,0.01,356.44507,736.0192
"84","Vacular",0.83,0.17,1798.4479,733.3542
"85","Vacular",1,0,827.8981,754.37463
"86","Vacular",1,0,1512.8792,759
"87","NonVascular",0.01,0.99,1825.9547,782.9189
"88","NonVascular",0.01,0.99,647.5517,821.0533
"90","Vacular",0.96,0.04,4.963801,810.35297
"92","Vacular",0.91,0.09,881.8207,853.7156
"94","Vacular",1,0,553.0505,861.67194
"95","NonVascular",0.02,0.98,592.10474,885.3968
"98","Vacular",1,0,1642.4957,912.4
"99","Vacular",1,0,379.53888,926.10187
"100","NonVascular",0.18,0.82,574.4464,944.0357
"102","NonVascular",0.15,0.85,180.17943,977.22833
"103","NonVascular",0.01,0.99,138.87021,978.3687
"104","NonVascular",0.01,0.99,939.52893,1007.2717
"105","NonVascular",0.04,0.96,159.95566,1025.2706
"106","Vacular",0.92,0.08,1750.5482,1011.03613
"107","Vacular",0.93,0.07,1262.3588,1014.4186
"108","NonVascular",0.16,0.84,492.03796,1027.038
"109","Vacular",0.89,0.11,884.89404,1047.8643
"110","Vacular",1,0,1072.8575,1090.0245
"112","Vacular",0.95,0.05,332.9789,1091.503
"113","Vacular",0.96,0.04,1665.0419,1101.162
"114","Vacular",0.99,0.01,61.08971,1128.1874
"115","Vacular",1,0,1580.3871,1127.7965
"116","Vacular",0.95,0.05,1817.6356,1129.7784
"117","Vacular",0.95,0.05,464.10248,1142.1553
"122","Vacular",0.97,0.03,1224.037,1183.6698
"123","Vacular",0.81,0.19,668.98395,1190.8815
"124","Vacular",0.92,0.08,776.3333,1195.4233
"125","Vacular",0.98,0.02,156.07692,1205.8975
"126","NonVascular",0.16,0.84,262.44336,1203.4138
