"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","NonVascular",0,1,456.98865,26.827978
"4","Vacular",0.99,0.01,1610.9679,27.780703
"5","Vacular",0.97,0.03,600.3365,31.003174
"6","NonVascular",0,1,329.6723,43.19774
"8","Vacular",0.95,0.05,942.74725,56.975273
"9","Vacular",0.82,0.18,1327.6687,61.567486
"11","Vacular",0.92,0.08,1241.2786,78.74429
"12","NonVascular",0,1,350.494,101.38184
"13","Vacular",0.95,0.05,114.00563,107.723946
"15","Vacular",1,0,1615.6049,138.01363
"17","Vacular",0.88,0.12,901.3701,165.08897
"18","NonVascular",0.03,0.97,555.59564,233.60849
"20","Vacular",0.95,0.05,1086.1295,198.2259
"21","Vacular",0.82,0.18,1884.2809,205.17134
"22","Vacular",0.96,0.04,831.7471,234.43823
"23","Vacular",0.98,0.02,608.19574,240.28307
"24","Vacular",1,0,1520.1733,257.5625
"26","Vacular",0.98,0.02,1218.5282,287.44067
"27","Vacular",0.95,0.05,1609.0219,293.6349
"28","NonVascular",0.1,0.9,791.3895,307.18604
"29","Vacular",0.92,0.08,1459.3232,325.82828
"32","Vacular",0.97,0.03,717.6676,365.00284
"33","NonVascular",0.08,0.92,521.5445,368.73306
"34","Vacular",1,0,473.4779,376.03592
"35","Vacular",0.94,0.06,1209.8031,381.7954
"36","Vacular",0.96,0.04,350.2072,385.8311
"37","NonVascular",0.16,0.84,583.8713,383.47525
"39","Vacular",0.99,0.01,62.903046,397.036
"40","Vacular",0.99,0.01,1542.3455,404.85507
"41","Vacular",0.91,0.09,608.1843,403.98157
"44","Vacular",0.96,0.04,786.04663,446.46646
"45","Vacular",1,0,1078.1077,453.5077
"46","NonVascular",0.03,0.97,228.00493,454.60593
"47","Vacular",0.96,0.04,1785.7399,459.26288
"48","NonVascular",0.04,0.96,881.74756,466.85825
"50","Vacular",0.82,0.18,566.395,467.6243
"51","NonVascular",0.15,0.85,132.82608,484.32092
"52","Vacular",0.95,0.05,1558.5155,493.65207
"53","Vacular",1,0,529.3425,506.0525
"54","Vacular",0.87,0.13,1389.2739,507.92993
"55","NonVascular",0.17,0.83,129.72269,516.87396
"56","Vacular",0.99,0.01,230.80737,522.82434
"58","Vacular",0.87,0.13,1522.982,556.8567
"59","NonVascular",0,1,709.6526,617.5107
"60","Vacular",0.82,0.18,1838.4679,574.6378
"61","Vacular",0.94,0.06,984.7781,576.5266
"63","Vacular",0.99,0.01,699.062,580.98114
"64","Vacular",0.94,0.06,1657.3647,588.5365
"65","Vacular",1,0,1151.021,611.2362
"66","Vacular",0.86,0.14,518.10693,612.5401
"67","Vacular",0.98,0.02,959.05865,653.179
"68","Vacular",0.9,0.1,50.788044,665.2745
"70","Vacular",1,0,241.472,676.192
"71","Vacular",1,0,740.1361,688.6757
"72","Vacular",0.81,0.19,1561.1489,708.26953
"73","Vacular",0.9,0.1,872.85095,721.39606
"76","Vacular",0.95,0.05,479.71252,744.5774
"77","NonVascular",0.03,0.97,684.799,769.2114
"79","Vacular",0.84,0.16,1778.161,756.36017
"80","Vacular",1,0,408.61,767.94
"81","Vacular",0.9,0.1,1177.0194,768.4951
"83","Vacular",0.87,0.13,1065.7855,801.7545
"87","Vacular",0.97,0.03,338.39667,836.4774
"88","Vacular",0.9,0.1,1676.4445,847.1651
"90","Vacular",0.93,0.07,1271.4097,862.14014
"91","Vacular",1,0,1501.9857,868.11163
"92","NonVascular",0.17,0.83,1088.1866,878.5333
"93","Vacular",0.99,0.01,1168.8212,894.30115
"94","Vacular",0.82,0.18,592.5744,904.186
"95","NonVascular",0.15,0.85,1369.5614,900.1667
"96","Vacular",0.99,0.01,1019.13916,913.2629
"97","Vacular",0.96,0.04,1382.376,918.6948
"99","Vacular",0.91,0.09,1063.6698,933.7685
"101","Vacular",0.97,0.03,1260.5055,955.8505
"102","NonVascular",0.19,0.81,808.67694,949.87695
"106","Vacular",0.92,0.08,681.64215,973.66223
"107","NonVascular",0.16,0.84,1131.9586,991.2066
"108","Vacular",0.95,0.05,213.55069,1005.5452
"109","Vacular",0.98,0.02,1016.9048,1031.619
"110","Vacular",0.95,0.05,1605.5427,1046.5792
"111","Vacular",1,0,1176.3734,1050.9935
"112","Vacular",1,0,1512.7968,1089.4756
"113","Vacular",0.9,0.1,486.457,1104.0255
"114","Vacular",0.92,0.08,1686.2305,1101.4907
"115","Vacular",1,0,135.29262,1107.061
"116","Vacular",0.99,0.01,785.67194,1116.9445
"118","Vacular",0.89,0.11,852.50726,1161.313
"119","Vacular",1,0,1610.3568,1191.081
"120","Vacular",0.82,0.18,319.55554,1199.8823
"121","Vacular",0.99,0.01,446.2725,1205.4576
"123","Vacular",0.93,0.07,1330.7158,1211.7373
"125","Vacular",1,0,1141.0449,1262.1686
"126","Vacular",0.96,0.04,1778.2125,1266.9376
"127","Vacular",0.99,0.01,593.94293,1273.7283
"128","Vacular",0.86,0.14,817.6,1280.2596
"130","Vacular",0.85,0.15,1614.9397,1314.8994
"131","Vacular",0.89,0.11,302.15277,1335.159
"132","Vacular",0.97,0.03,445.2659,1344.2139
"133","NonVascular",0.19,0.81,342.7528,1340.7079
"134","Vacular",0.97,0.03,77.1738,1352.1337
"135","Vacular",0.97,0.03,252.26698,1353.1147
"136","Vacular",0.93,0.07,1699.8301,1354.5817
"138","Vacular",0.86,0.14,687.62994,1378.9094
"139","Vacular",1,0,1149.2145,1402.991
"140","Vacular",0.82,0.18,599.8428,1433.1354
