"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","NonVascular",0,1,52.453403,26.318674
"3","NonVascular",0.01,0.99,1039.0803,9.09781
"4","NonVascular",0,1,1122.4565,9.964208
"6","NonVascular",0.1,0.9,1256.5879,11.272523
"10","NonVascular",0.04,0.96,330.87482,21.778625
"11","NonVascular",0.19,0.81,1232.5702,43.74492
"12","NonVascular",0.06,0.94,1352.8395,71.21397
"13","NonVascular",0.01,0.99,1504.2205,21.616714
"14","Vacular",0.96,0.04,1720.5889,28.05831
"15","Vacular",0.9,0.1,1180.2267,47.980953
"16","NonVascular",0.01,0.99,1123.9683,48.356937
"17","Vacular",0.96,0.04,267.28415,63.281937
"19","NonVascular",0.19,0.81,756.4545,59.55372
"20","NonVascular",0.07,0.93,1080.99,80.09123
"22","Vacular",0.96,0.04,666.63446,67.44713
"24","Vacular",0.97,0.03,555.55554,72.138214
"27","NonVascular",0.06,0.94,418.20657,89.9944
"28","NonVascular",0.02,0.98,159.33478,87.58696
"29","Vacular",0.87,0.13,243.45213,88.94908
"33","NonVascular",0,1,1610.2324,118.031906
"34","NonVascular",0.01,0.99,990.3707,113.42563
"35","Vacular",0.87,0.13,737.71875,109.125
"36","NonVascular",0.01,0.99,336.82742,146.29866
"37","Vacular",0.94,0.06,452.55502,115.497604
"39","NonVascular",0.18,0.82,1524.8552,143.00526
"40","Vacular",0.93,0.07,490.8,126.08572
"41","Vacular",0.86,0.14,7.6353593,133.78453
"43","NonVascular",0.15,0.85,1821.2273,141.7
"44","NonVascular",0.08,0.92,481.3302,174.7178
"45","NonVascular",0,1,432.80786,172.42058
"47","NonVascular",0.19,0.81,922.5012,193.683
"48","Vacular",0.82,0.18,811.1078,178.3531
"49","NonVascular",0.06,0.94,752.14264,188.27997
"50","NonVascular",0,1,1816.1224,207.04019
"51","NonVascular",0.06,0.94,1573.282,203.31126
"52","NonVascular",0.06,0.94,1024.6514,212.99344
"53","NonVascular",0.01,0.99,1190.0837,218.41829
"54","Vacular",0.99,0.01,1779.2494,209.07692
"55","NonVascular",0.02,0.98,1531.4142,218.52724
"56","NonVascular",0.01,0.99,1114.823,217.04341
"57","NonVascular",0.17,0.83,789.6258,218.03226
"58","Vacular",0.83,0.17,1076.0618,222.26881
"59","NonVascular",0.18,0.82,760.918,232.54918
"60","NonVascular",0.1,0.9,1260.5498,261.64832
"62","Vacular",0.99,0.01,960.2132,244.09671
"63","Vacular",0.87,0.13,1335.3217,245.81818
"65","NonVascular",0.01,0.99,1049.833,255.56046
"66","NonVascular",0.13,0.87,1363.8047,254.71628
"67","NonVascular",0,1,459.62396,276.65128
"68","NonVascular",0.13,0.87,140.03703,251.78703
"69","Vacular",0.95,0.05,1138.2554,262.50684
"71","Vacular",1,0,1590.3314,261.00568
"72","NonVascular",0,1,938.26733,278.21713
"74","Vacular",0.88,0.12,649.6595,270.13513
"75","NonVascular",0.02,0.98,1370.5382,304.19366
"76","NonVascular",0.01,0.99,885.05585,290.93933
"77","NonVascular",0.13,0.87,1047.5314,287.88828
"78","Vacular",0.91,0.09,126.70068,311.78912
"79","Vacular",0.89,0.11,167.5091,317
"80","Vacular",0.92,0.08,22.446154,324.0096
"81","NonVascular",0.01,0.99,908.80585,335.96658
"83","NonVascular",0.01,0.99,1083.1704,329.14542
"85","Vacular",0.89,0.11,120.175255,326.30414
"87","NonVascular",0.01,0.99,1881.1996,348.1684
"88","Vacular",0.94,0.06,46.2,345.52856
"89","Vacular",0.89,0.11,859.68646,347.11017
"91","Vacular",0.81,0.19,418.60513,373.6549
"93","Vacular",0.95,0.05,1346.0292,413.17508
"94","Vacular",0.96,0.04,428.34583,417.76657
"95","Vacular",0.98,0.02,1618.3285,426.50433
"96","Vacular",0.88,0.12,15.105346,435.90723
"98","Vacular",0.94,0.06,747.93475,440.97827
"100","Vacular",1,0,1197.3518,455.3166
"101","Vacular",0.97,0.03,171.8766,463.71915
"104","Vacular",0.94,0.06,1605.3024,494.10754
"106","NonVascular",0.09,0.91,945.6342,498.0316
"108","NonVascular",0.05,0.95,1849.8259,516.5351
"109","NonVascular",0.04,0.96,1769.0255,517.18976
"110","Vacular",0.99,0.01,1738.7461,518.6806
"111","Vacular",0.99,0.01,677.69495,519.9974
"112","Vacular",1,0,1139.5024,535.4399
"113","NonVascular",0.09,0.91,1271.3993,552.56256
"115","NonVascular",0.17,0.83,40.563786,538.1358
"116","NonVascular",0,1,1562.7571,560.81976
"118","NonVascular",0.01,0.99,1659.8445,594.3761
"119","NonVascular",0.03,0.97,1829.9453,548.69946
"121","NonVascular",0,1,40.85818,571.41815
"123","Vacular",1,0,1006.64087,602.79004
"124","NonVascular",0.05,0.95,1907.5675,611.48157
"126","NonVascular",0.14,0.86,269.90567,615.3585
"128","NonVascular",0.03,0.97,1818.2383,629.1697
"129","NonVascular",0.03,0.97,1239.6461,642.45654
"132","NonVascular",0.18,0.82,1629.4263,649.4918
"133","Vacular",0.94,0.06,1707.7865,664.0838
"134","NonVascular",0.12,0.88,1317.4865,682.74774
"135","Vacular",0.94,0.06,304.41632,698.4707
"136","Vacular",0.96,0.04,350.12604,706.09296
"137","NonVascular",0.18,0.82,1871.9315,721.3699
"139","NonVascular",0,1,1694.5175,744.1989
"140","Vacular",0.87,0.13,982.9514,735.55554
"143","NonVascular",0.19,0.81,235.22223,743.6111
"144","NonVascular",0.02,0.98,1199.7802,758.6993
"145","Vacular",0.98,0.02,1467.7627,769.1567
"147","Vacular",0.9,0.1,1801.6638,777.6609
"148","NonVascular",0.01,0.99,784.3781,794.04846
"149","NonVascular",0.04,0.96,1189.2684,803.37555
"151","NonVascular",0.02,0.98,735.2691,806.7197
"155","Vacular",1,0,641.3148,853.89154
"157","Vacular",0.9,0.1,1832.5239,914.3862
"158","Vacular",1,0,496.65,929.9159
"162","Vacular",0.92,0.08,1616.1794,969.3879
"163","NonVascular",0.19,0.81,69.62022,987.5601
"164","Vacular",0.89,0.11,1689.8849,990.7914
"165","Vacular",1,0,695.0332,993.54736
"166","NonVascular",0.02,0.98,1895.1509,1003.76917
"168","Vacular",1,0,224.43855,1005.012
"171","Vacular",0.93,0.07,273.04156,1026.6598
"172","NonVascular",0,1,1570.4807,1074.0854
"173","Vacular",0.94,0.06,747.65625,1034.4952
"174","Vacular",0.81,0.19,5.856031,1034.4358
"175","NonVascular",0.05,0.95,1069.7721,1044.9731
"180","Vacular",0.85,0.15,1780,1119.1791
"181","NonVascular",0.02,0.98,1650.9503,1123.8358
"182","Vacular",0.87,0.13,1343.4984,1124.367
"184","Vacular",0.95,0.05,1111.087,1144.1892
"185","Vacular",0.99,0.01,285.02408,1145.3182
"186","Vacular",0.98,0.02,512.9154,1159.973
"187","NonVascular",0.02,0.98,536.93,1199.2892
"188","NonVascular",0.18,0.82,1698.2264,1165.3773
"189","Vacular",0.99,0.01,1650.6666,1194.9642
"190","Vacular",0.96,0.04,1784.9592,1201.8921
"191","NonVascular",0.17,0.83,145.15729,1216.8077
"193","Vacular",0.92,0.08,18.668589,1236.5273
"195","NonVascular",0.12,0.88,1792.9387,1239.1565
"196","Vacular",0.95,0.05,1025.349,1249.5416
"198","Vacular",0.96,0.04,139.60655,1263.9485
"201","Vacular",0.9,0.1,1014.1759,1322.4592
"203","NonVascular",0.05,0.95,1453.9812,1340.3187
"204","Vacular",0.81,0.19,1883.238,1330.0685
"205","Vacular",0.85,0.15,671.84143,1336.2836
"207","Vacular",0.86,0.14,833.05817,1342.7441
"209","NonVascular",0.02,0.98,1498.7584,1355.7203
"210","Vacular",1,0,1390.3025,1353.1737
"211","NonVascular",0.05,0.95,1814.7745,1356.0066
"213","Vacular",0.97,0.03,1613.4901,1374.2776
"214","NonVascular",0.06,0.94,1591.6644,1385.4437
"215","NonVascular",0.19,0.81,198,1393.0278
"218","Vacular",0.91,0.09,1762.053,1408.4392
"219","Vacular",1,0,211.31473,1419.198
"221","Vacular",0.97,0.03,890.8102,1440.939
"222","Vacular",1,0,111.710144,1445.3334
"223","NonVascular",0.04,0.96,1921.2985,1450.4297
"224","Vacular",0.94,0.06,768.1076,1453.6323
