"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","NonVascular",0.02,0.98,23.115385,14.409544
"2","NonVascular",0,1,117.64692,25.44372
"3","NonVascular",0.1,0.9,303.1484,75.50142
"4","Vacular",0.89,0.11,417.90958,5.489362
"8","NonVascular",0.18,0.82,1144.6163,2.6976745
"9","NonVascular",0.03,0.97,1266.787,48.127415
"10","NonVascular",0.06,0.94,1359.96,45.364605
"11","NonVascular",0.08,0.92,1441.125,4.1835938
"12","NonVascular",0.16,0.84,1473.9136,2.8395061
"13","NonVascular",0.01,0.99,1572.245,17.548803
"15","NonVascular",0.02,0.98,541.59314,19.62745
"16","NonVascular",0.17,0.83,1185.4294,37.253204
"18","Vacular",0.96,0.04,612.2718,47.95329
"19","NonVascular",0,1,363.60727,68.379196
"22","Vacular",0.93,0.07,485.71835,54.665306
"23","NonVascular",0.01,0.99,240.99358,97.62065
"24","Vacular",0.86,0.14,504.1031,61.051548
"25","Vacular",0.97,0.03,1510.6422,72.554504
"27","Vacular",1,0,1052.2645,86.70625
"28","NonVascular",0.02,0.98,591.31696,92.00818
"29","NonVascular",0.15,0.85,639.668,88.19838
"31","NonVascular",0.19,0.81,1182.623,108.28972
"33","NonVascular",0.14,0.86,1339.7059,146.02686
"34","Vacular",0.95,0.05,630.01154,117.638725
"35","NonVascular",0.08,0.92,1322.6632,126.901054
"36","Vacular",0.81,0.19,414.849,141.13812
"38","NonVascular",0.15,0.85,955.5185,134.38889
"39","NonVascular",0,1,1421.2845,152.24678
"40","NonVascular",0.01,0.99,651.23535,173.97856
"41","NonVascular",0.1,0.9,446.83234,153.77844
"43","NonVascular",0.05,0.95,1512.455,155.8778
"44","Vacular",0.98,0.02,697.4314,155.78554
"45","NonVascular",0.01,0.99,329.53278,241.62758
"47","NonVascular",0.16,0.84,1270.3596,173.48245
"48","NonVascular",0.06,0.94,207.50224,179.70853
"49","Vacular",0.94,0.06,407.14078,181.5044
"52","Vacular",0.9,0.1,236.7786,187.7786
"58","NonVascular",0.01,0.99,896.2485,216.31947
"62","NonVascular",0.15,0.85,1390.8424,216.5685
"63","Vacular",0.82,0.18,1536.1403,225.88933
"64","NonVascular",0.15,0.85,1470.2482,352.34668
"65","NonVascular",0.16,0.84,244.2539,333.15933
"68","NonVascular",0.05,0.95,403.64832,247.59746
"69","Vacular",0.82,0.18,458.75964,247.66765
"70","NonVascular",0.19,0.81,123.33862,250.84656
"73","NonVascular",0.04,0.96,206.73497,265.5156
"75","NonVascular",0.19,0.81,838.3719,257.90082
"81","NonVascular",0.01,0.99,400.91235,305.03925
"83","NonVascular",0.01,0.99,1326.7024,292.2611
"84","NonVascular",0.02,0.98,1701.1824,296.29846
"85","NonVascular",0.06,0.94,1504.6151,288.3127
"86","NonVascular",0.1,0.9,431.03458,336.76813
"87","Vacular",0.9,0.1,676.42816,307.41754
"88","Vacular",0.94,0.06,1253.5491,312.33157
"91","NonVascular",0.1,0.9,1720.3287,343.50186
"92","NonVascular",0.12,0.88,575.62134,439.45407
"94","Vacular",0.85,0.15,920.98083,331.738
"95","Vacular",0.82,0.18,544.2577,347.5044
"97","NonVascular",0.01,0.99,925.81085,370.77902
"98","NonVascular",0.19,0.81,1559.1154,362.45105
