"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","Vacular",0.93,0.07,311.175,4.53
"2","Vacular",0.9,0.1,385.28046,12.189802
"4","NonVascular",0.03,0.97,1713.6414,5.6847825
"5","NonVascular",0.02,0.98,1739.7672,23.322718
"7","Vacular",0.98,0.02,602.1828,43.47043
"8","Vacular",0.92,0.08,960.1542,40.947136
"10","NonVascular",0,1,239.18138,79.10645
"12","Vacular",0.86,0.14,1616.749,98.68914
"13","Vacular",0.93,0.07,1033.3086,109.641975
"14","Vacular",0.95,0.05,1143.725,129.26428
"15","NonVascular",0.12,0.88,234.14967,149.71307
"17","Vacular",0.89,0.11,1186.3534,164.72667
"18","Vacular",0.88,0.12,259.80554,170.40741
"19","Vacular",0.82,0.18,1429.5403,170.60536
"20","Vacular",0.9,0.1,1524.8717,175.3877
"21","Vacular",0.84,0.16,64.98837,178.8527
"22","Vacular",0.9,0.1,252.42447,211.99547
"23","Vacular",0.95,0.05,1225.7922,196.2817
"24","Vacular",0.88,0.12,463.44022,200.28261
"25","NonVascular",0.1,0.9,676.3182,199.60796
"26","NonVascular",0,1,193.89236,251.00769
"29","Vacular",0.93,0.07,795.29834,229.20718
"30","Vacular",0.88,0.12,649.1536,241.51302
"33","Vacular",0.95,0.05,1090.3778,261.66388
"34","Vacular",0.89,0.11,962.9697,306.19092
"36","Vacular",0.93,0.07,1309.726,365.68512
"37","NonVascular",0.17,0.83,546.1429,378.20407
"38","Vacular",1,0,1473.9698,401.9623
"39","Vacular",0.99,0.01,396.96735,402.90503
"40","Vacular",0.98,0.02,114.97421,412.94556
"43","Vacular",0.97,0.03,1271.4642,420.44412
"46","NonVascular",0.16,0.84,700.92694,468
"48","Vacular",0.98,0.02,304.47577,469.41516
"49","Vacular",0.99,0.01,1098.3035,478.84695
"50","NonVascular",0.19,0.81,634.4921,504.95892
"52","Vacular",0.88,0.12,520.73425,511.24802
"54","NonVascular",0.12,0.88,607.9524,508.59525
"55","NonVascular",0.05,0.95,1105.4849,519.67535
"58","NonVascular",0.16,0.84,597.05945,525.9126
"59","NonVascular",0.17,0.83,40.333332,534.3161
"60","NonVascular",0,1,1313.0652,553.7303
"61","Vacular",0.86,0.14,1694.9656,547.11035
"62","NonVascular",0.08,0.92,1363.1595,560.9342
"63","Vacular",1,0,48.537605,561.79663
"64","Vacular",1,0,1392.5215,592.7468
"65","NonVascular",0.03,0.97,101.98966,596.92505
"66","NonVascular",0.15,0.85,1418.2538,603.8756
"67","NonVascular",0.19,0.81,749.0597,612.38806
"68","NonVascular",0.16,0.84,1386.5333,613.05554
"70","Vacular",0.81,0.19,1151.174,624.3116
"71","NonVascular",0.18,0.82,497.05493,621.12085
"72","Vacular",0.81,0.19,1194.2467,634.5947
"73","Vacular",0.93,0.07,1225.7543,641.4846
"74","Vacular",0.99,0.01,1066.6718,643.3028
"75","Vacular",0.88,0.12,581.2542,642.4271
"76","Vacular",0.83,0.17,1265.4796,642.33673
"77","Vacular",1,0,858.7375,649.08
"78","Vacular",0.97,0.03,1301.3197,660.98413
"80","Vacular",0.99,0.01,220.82558,663.1453
"81","Vacular",0.93,0.07,1329.6515,675.6869
"82","Vacular",0.96,0.04,541.0821,687.02734
"83","NonVascular",0.17,0.83,1474.6322,696.5096
"86","Vacular",0.98,0.02,83.39119,714.81604
"87","Vacular",0.96,0.04,301.89362,717.5027
"88","NonVascular",0.03,0.97,1345.9569,723.7765
"89","Vacular",0.99,0.01,1652.794,727.7857
"90","Vacular",0.85,0.15,739.736,728.59625
"91","Vacular",0.92,0.08,532.75934,746.21576
"92","Vacular",0.91,0.09,569.16016,752.58203
"93","NonVascular",0.12,0.88,1491.337,749.3
"94","Vacular",1,0,18.110064,768.0032
"95","Vacular",0.95,0.05,598.9286,781.1403
"96","Vacular",0.94,0.06,529.8452,786.523
"97","Vacular",0.97,0.03,465.04727,792.68365
"99","Vacular",0.87,0.13,497.68497,814.23627
"100","NonVascular",0.04,0.96,1440.1166,805.344
"101","NonVascular",0.16,0.84,776.11237,811.5843
"102","Vacular",0.92,0.08,843.0749,819.2326
"103","Vacular",1,0,710.8892,823.75287
"105","Vacular",0.89,0.11,480.7541,842.4208
"108","Vacular",0.96,0.04,1133.3185,857.1433
"110","Vacular",0.81,0.19,433.55527,868.04474
"111","Vacular",0.93,0.07,301.27716,872.2255
"112","Vacular",0.96,0.04,398.17044,877.125
"113","Vacular",0.95,0.05,78.99424,881.97406
"114","Vacular",0.93,0.07,754.1053,894.0362
"115","NonVascular",0.14,0.86,364.67383,893.6309
"116","Vacular",1,0,501.96912,903.7163
"117","NonVascular",0.06,0.94,1146.6868,907.6351
"118","NonVascular",0.02,0.98,803.9671,917.0722
"119","Vacular",0.82,0.18,1264.5829,918.5769
"120","NonVascular",0.09,0.91,522.12646,929.7241
"122","Vacular",0.97,0.03,746.5496,1000.3298
"124","Vacular",0.96,0.04,967.58,1010.73
"125","Vacular",0.86,0.14,1850.1271,1017.4088
"126","NonVascular",0.12,0.88,1500.5193,1025.5549
"128","Vacular",0.88,0.12,1385.1677,1032.2347
"129","Vacular",1,0,1524.6962,1060.1534
"131","Vacular",1,0,600.4525,1105.1234
"132","NonVascular",0.02,0.98,1148.2324,1105.6127
"133","Vacular",0.94,0.06,1662.164,1106.992
"134","Vacular",1,0,1162.3881,1131.2096
"136","Vacular",0.92,0.08,1499.4521,1143.9312
"139","NonVascular",0.04,0.96,967.6715,1174.8405
"141","Vacular",0.89,0.11,1642.7386,1180.3009
"142","NonVascular",0.17,0.83,1161.6,1180.091
"143","Vacular",0.93,0.07,250.95479,1190.7234
"145","Vacular",0.99,0.01,57.008335,1195.8138
"146","NonVascular",0.19,0.81,832.5844,1190.8052
"147","NonVascular",0.19,0.81,42.25926,1214.358
"148","NonVascular",0.03,0.97,69.252014,1230.242
"149","NonVascular",0.15,0.85,807.9231,1230.7788
"150","Vacular",0.94,0.06,112.75375,1274.8468
"151","Vacular",0.95,0.05,1572.8829,1280.8027
"152","Vacular",0.85,0.15,1128.3772,1296.1543
"153","NonVascular",0.19,0.81,1149.5714,1296.7755
"154","Vacular",0.92,0.08,863.07806,1305.2156
"155","Vacular",0.88,0.12,1815.3242,1321.8424
"156","Vacular",0.94,0.06,579.6808,1323.6045
"158","Vacular",0.88,0.12,1009.42145,1361.1714
"159","Vacular",0.9,0.1,1660.452,1387.8864
"160","Vacular",0.91,0.09,1290.4951,1404.9755
