"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"3","NonVascular",0,1,194.45912,16.851826
"4","Vacular",0.95,0.05,1126.2067,5.4008265
"5","NonVascular",0.13,0.87,1148.276,9.063349
"6","NonVascular",0.01,0.99,1317.8085,14.390854
"7","NonVascular",0.07,0.93,1673.6448,15.513514
"8","NonVascular",0,1,1433.7769,55.660954
"12","NonVascular",0.02,0.98,1338.3208,73.80497
"13","Vacular",0.92,0.08,104.377594,64.323654
"14","NonVascular",0.03,0.97,207.2363,69.19007
"16","NonVascular",0.1,0.9,1530.1708,93.96864
"17","Vacular",0.99,0.01,321.20673,97.50481
"18","Vacular",1,0,485.2546,98.23622
"21","Vacular",0.88,0.12,106.60811,97.83784
"22","NonVascular",0.01,0.99,14.759036,116.19965
"23","Vacular",0.92,0.08,139.09634,119.271675
"25","Vacular",0.92,0.08,933.1758,121.00606
"27","NonVascular",0.04,0.96,1429.9945,130.28908
"30","NonVascular",0.01,0.99,98.75464,176.92273
"31","Vacular",0.94,0.06,1300.1095,164.68343
"32","NonVascular",0.19,0.81,144.38333,163.05
"34","NonVascular",0.17,0.83,3.4298246,179.3158
"35","Vacular",0.96,0.04,1202.8293,189.28143
"36","NonVascular",0.03,0.97,1297.949,191.58495
"37","NonVascular",0,1,818.6679,213.82375
"38","NonVascular",0.19,0.81,1676.9559,205.61765
"39","NonVascular",0.04,0.96,1323.1564,221.14888
"40","Vacular",0.96,0.04,911.3352,223.88547
"41","NonVascular",0.18,0.82,245.86755,218.53642
"42","Vacular",0.97,0.03,1096.9852,231.07669
"43","NonVascular",0.16,0.84,41.413265,230.46939
"45","NonVascular",0.01,0.99,1666.6967,253.62552
"48","NonVascular",0.01,0.99,1084.8896,296.36105
"49","NonVascular",0.15,0.85,465.12195,293.60672
"52","Vacular",0.97,0.03,1231.9719,306.23596
"53","Vacular",0.99,0.01,1414.1025,310.8892
"54","Vacular",0.96,0.04,1623.394,317.41193
"55","NonVascular",0,1,1135.457,324.30664
"56","NonVascular",0.02,0.98,270.3194,349.6863
"57","Vacular",0.99,0.01,462.07816,350.8841
"58","NonVascular",0.05,0.95,1728.1505,350.70233
"59","NonVascular",0.01,0.99,1690.577,356.4885
"62","NonVascular",0.01,0.99,1302.4673,387.89548
"65","NonVascular",0.08,0.92,394.72342,408.13297
"68","Vacular",1,0,1055.7844,411.33154
"70","NonVascular",0.04,0.96,654.3734,487.82098
"71","NonVascular",0.17,0.83,600.02496,504.5305
"72","Vacular",1,0,713.9013,504.87274
"74","Vacular",0.97,0.03,1482.2333,512.40485
"75","NonVascular",0.17,0.83,1542.9491,514.96814
"76","NonVascular",0,1,362.60254,536.4147
"77","Vacular",0.96,0.04,235.4812,523.3208
"78","NonVascular",0.19,0.81,1504.4143,518.65717
"79","NonVascular",0.18,0.82,1747.0072,524.81885
"80","NonVascular",0,1,1725.0591,555.29236
"81","NonVascular",0.05,0.95,220.71674,558.56793
"82","Vacular",0.9,0.1,719.3512,560.1973
"84","NonVascular",0.16,0.84,1488.9839,598.25726
"85","Vacular",0.96,0.04,1037.2909,600.1481
"86","Vacular",0.98,0.02,449.8717,637.6513
"88","Vacular",0.84,0.16,776.8389,660.63257
"89","Vacular",0.88,0.12,1154.0818,654.223
"91","Vacular",0.88,0.12,612.6347,777.98157
"92","Vacular",0.97,0.03,1433.898,786.01166
"94","Vacular",0.9,0.1,173.04121,801.59064
"95","Vacular",0.85,0.15,903.081,804.4268
"96","Vacular",0.99,0.01,1058.9976,824.8544
"97","Vacular",1,0,1202.0818,841.17676
"100","NonVascular",0.01,0.99,1486.5769,883.5472
"101","Vacular",0.98,0.02,30.06751,872.8608
"102","Vacular",0.99,0.01,1415.0359,873.2353
"103","NonVascular",0.01,0.99,873.3568,876.88965
"104","Vacular",0.98,0.02,793.6951,883.67236
"106","NonVascular",0.17,0.83,1539.9822,900
"107","Vacular",0.82,0.18,504.97864,915.76514
"108","NonVascular",0.03,0.97,172.26866,916.3781
"109","Vacular",0.98,0.02,222.26877,918.9322
"110","Vacular",0.86,0.14,1115.6707,917.08435
"112","Vacular",0.82,0.18,988.0609,931.0128
"115","Vacular",0.97,0.03,1433.3903,951.4872
"116","NonVascular",0.15,0.85,469.86035,974.67566
"117","NonVascular",0.18,0.82,1721.8265,972.242
"118","Vacular",0.99,0.01,751.4634,978.7068
"120","NonVascular",0.17,0.83,443.01672,1003.1423
"121","NonVascular",0.04,0.96,1310.9624,1007.0099
"124","Vacular",0.97,0.03,24.674242,1012.4394
"125","NonVascular",0.14,0.86,1289.951,1025.3102
"126","NonVascular",0.05,0.95,1048.5977,1072.2245
"128","Vacular",1,0,355.56924,1074.8257
"129","NonVascular",0.07,0.93,1007.339,1082.1414
"130","NonVascular",0.02,0.98,869.5549,1106.5875
"133","NonVascular",0.19,0.81,993.01886,1108.0377
"134","Vacular",0.94,0.06,255.82979,1115.9545
"135","Vacular",0.99,0.01,697.13544,1119.5052
"136","NonVascular",0.03,0.97,1278.689,1162.1598
"137","NonVascular",0.02,0.98,814.6701,1149.9529
"138","Vacular",0.99,0.01,726.165,1163.1779
