"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","NonVascular",0.11,0.89,74.498184,5.8727274
"2","Vacular",1,0,372.71976,8.33121
"3","Vacular",0.94,0.06,1204.7062,13.393365
"4","Vacular",1,0,540.39044,23.772472
"6","Vacular",0.94,0.06,237.35175,43.279068
"8","Vacular",0.99,0.01,1334.1351,62.387386
"9","Vacular",0.99,0.01,1766.3575,74.40156
"10","Vacular",0.95,0.05,857.65247,92.85061
"11","NonVascular",0.07,0.93,1723.9349,93.41057
"13","Vacular",1,0,1694.1774,104.614395
"14","Vacular",0.95,0.05,1198.6942,110.89568
"15","Vacular",0.84,0.16,318.54135,166.18045
"16","NonVascular",0.16,0.84,1722.5807,174.95032
"18","Vacular",0.99,0.01,97.695404,186.02873
"19","Vacular",0.88,0.12,803.966,187.82993
"22","Vacular",0.89,0.11,1127.4534,225.07074
"23","Vacular",0.99,0.01,723.6339,240.69533
"25","Vacular",0.91,0.09,1603.4133,248.61333
"31","Vacular",0.86,0.14,826.9504,351.30496
"33","NonVascular",0.06,0.94,1002.75,372.55713
"34","Vacular",0.98,0.02,1341.8088,384.40167
"35","Vacular",0.99,0.01,54.17919,386.6474
"36","Vacular",0.91,0.09,379.8724,396.58456
"37","Vacular",0.96,0.04,578.7352,401.31876
"38","Vacular",0.88,0.12,1578.3735,411.58994
"41","Vacular",0.98,0.02,1103.1094,435.768
"42","NonVascular",0.12,0.88,1058.5675,457.87872
"43","Vacular",0.9,0.1,1471.8502,457.93777
"44","Vacular",1,0,1631.0758,467.91162
"45","Vacular",0.89,0.11,1497.3795,467.8978
"48","Vacular",0.96,0.04,573.92175,496.5739
"49","NonVascular",0.12,0.88,742.49286,507.2
"50","Vacular",0.94,0.06,173.67711,523.5361
"51","Vacular",0.97,0.03,976.6262,535.22363
"54","Vacular",0.96,0.04,1396.776,561.3306
"55","NonVascular",0.04,0.96,93.00227,568.65
"56","Vacular",0.91,0.09,311.04068,565.0305
"57","Vacular",0.98,0.02,789.65375,565.77563
"58","Vacular",0.84,0.16,1438.8286,577.04285
"60","Vacular",0.95,0.05,1414.8613,584.2133
"61","NonVascular",0.05,0.95,726.77057,588.8294
"62","NonVascular",0,1,1195.5298,602.55554
"63","Vacular",0.91,0.09,335.80087,594.54865
"64","Vacular",0.87,0.13,1451.7224,606.5194
"66","NonVascular",0.17,0.83,441.07812,605.96875
"67","Vacular",0.93,0.07,801.2742,618.4226
"68","Vacular",1,0,657.2605,625.5842
"69","NonVascular",0.01,0.99,68.48925,643.4923
"71","Vacular",0.85,0.15,1851.6971,659.30286
"73","Vacular",0.97,0.03,1521.8896,665.8521
"74","Vacular",1,0,485.9561,682.7106
"75","Vacular",1,0,1587.9342,682.76984
"76","Vacular",1,0,1257.435,697.69775
"77","Vacular",0.95,0.05,869.2453,714.8679
"78","Vacular",0.82,0.18,907.9415,714.52045
"81","Vacular",0.98,0.02,339.26086,731.83966
"84","Vacular",0.87,0.13,232.48105,757.3907
"88","NonVascular",0.07,0.93,1930.1086,781.7246
"89","Vacular",0.94,0.06,604.3929,794.4835
"90","Vacular",0.87,0.13,581.38947,808.99475
"91","Vacular",0.99,0.01,304.88983,837.4124
"92","Vacular",0.91,0.09,571.8233,837.4612
"94","Vacular",0.87,0.13,1618.6443,897.4711
"96","Vacular",0.94,0.06,109.39094,931.9405
"97","NonVascular",0.18,0.82,1153.2181,931.9091
"98","Vacular",0.91,0.09,746.9829,941.901
"100","Vacular",0.83,0.17,511.95343,953.90063
"101","NonVascular",0.08,0.92,933.7191,954.7079
"102","NonVascular",0.13,0.87,1781.2406,984.5263
"103","Vacular",0.92,0.08,1066.8623,988.1212
"104","NonVascular",0.16,0.84,1910.283,985.9245
"105","Vacular",0.85,0.15,1199.6581,997.86395
"106","Vacular",1,0,901.0862,1002.03394
"107","Vacular",0.91,0.09,1534.2926,1008.72345
"109","Vacular",1,0,551.57825,1018.35016
"110","NonVascular",0.03,0.97,1831.2543,1024.9395
"112","Vacular",0.85,0.15,296.92517,1046.3368
"113","NonVascular",0.02,0.98,1768.0076,1076.0377
"114","Vacular",1,0,1342.7592,1051.0255
"115","Vacular",0.88,0.12,1396.1992,1056.4066
