"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"2","Vacular",0.87,0.13,104.44827,7.4425287
"3","NonVascular",0.11,0.89,1706.3315,8.553425
"4","Vacular",0.92,0.08,1845.6991,11.984326
"6","NonVascular",0,1,439.00165,110.36948
"7","Vacular",1,0,931.95465,35.289673
"8","Vacular",0.89,0.11,85.164474,43.035088
"9","NonVascular",0,1,46.30994,81.272514
"10","NonVascular",0.04,0.96,1387.3171,77.33428
"11","Vacular",0.97,0.03,597.604,80.73826
"12","Vacular",0.82,0.18,1225.1273,73.29091
"13","Vacular",0.97,0.03,1241.3574,83.62128
"14","NonVascular",0.01,0.99,1421.3195,88.210526
"16","Vacular",0.92,0.08,400.65714,89.61039
"17","Vacular",0.99,0.01,1137.027,91.25405
"18","Vacular",0.97,0.03,1486.1909,96.61253
"19","NonVascular",0,1,1735.5648,184.12163
"20","Vacular",0.99,0.01,700.2018,144.15361
"21","NonVascular",0.02,0.98,522.2681,186.14471
"22","NonVascular",0,1,153.3511,215.70491
"23","Vacular",0.99,0.01,1554.0288,204.95796
"24","Vacular",1,0,1268.0466,216.61917
"25","Vacular",0.91,0.09,34.374317,220.26503
"26","Vacular",0.99,0.01,320.15607,221.36705
"28","NonVascular",0,1,355.47116,252.71164
"29","Vacular",1,0,1603.0594,269.5162
"31","NonVascular",0.15,0.85,1851.25,274.40475
"32","Vacular",1,0,1672.755,289.25937
"33","Vacular",0.86,0.14,820.99664,287.42334
"34","Vacular",1,0,366.31094,294.6567
"35","Vacular",0.88,0.12,1837.6293,311.77023
"36","NonVascular",0.16,0.84,1815.6746,326.79364
"37","Vacular",0.98,0.02,7.6718345,374.96384
"38","Vacular",0.97,0.03,932.7676,379.42255
"39","Vacular",0.86,0.14,55.79182,386.46283
"40","Vacular",0.87,0.13,59.23242,424.76562
"42","Vacular",0.99,0.01,1371.7162,414.4189
"43","Vacular",0.99,0.01,1595.8961,436.87534
"44","Vacular",1,0,462.36078,440.25424
"45","Vacular",0.88,0.12,897.4761,439.88324
"47","NonVascular",0.06,0.94,933.7442,474.96124
"48","Vacular",0.87,0.13,1027.0674,495.17252
"50","Vacular",0.81,0.19,1870.8531,520.97217
"51","Vacular",1,0,615.042,523.084
"52","Vacular",0.84,0.16,68.652596,532.87665
"53","Vacular",0.97,0.03,1129.087,531.9
"54","NonVascular",0.1,0.9,1916.55,563.9705
"55","Vacular",0.92,0.08,833.1532,564.9104
"56","Vacular",1,0,1470.9103,573.5435
"57","Vacular",0.97,0.03,1693.4878,581.23846
"58","Vacular",0.97,0.03,981.83514,581.8946
"60","NonVascular",0.03,0.97,1880.0131,631.2905
"62","Vacular",1,0,1450.3568,617.76135
"63","Vacular",1,0,1644.5852,618.4784
"64","NonVascular",0.14,0.86,1088.7019,617.79504
"65","Vacular",0.97,0.03,1037.4073,620.5899
"66","NonVascular",0.01,0.99,1103.3099,680.24066
"67","Vacular",0.99,0.01,1335.8981,634.1846
"68","Vacular",0.97,0.03,1513.5634,675.7628
"72","Vacular",1,0,251.539,692.88416
"74","NonVascular",0.17,0.83,989.913,704.8261
"75","Vacular",0.85,0.15,1591.3226,702.35486
"76","NonVascular",0,1,230.94093,740.9775
"78","Vacular",0.91,0.09,625.09686,723.24084
"80","NonVascular",0.03,0.97,1480.3629,730.8692
"82","Vacular",0.84,0.16,1045.4315,750.646
"83","NonVascular",0.01,0.99,1028.3158,782.4716
"84","NonVascular",0.15,0.85,1467.0046,755.42523
"85","NonVascular",0,1,837.76196,797.5306
"86","Vacular",0.84,0.16,3.7808988,797.19104
"87","NonVascular",0.07,0.93,875.4424,844.7506
"88","Vacular",1,0,1129.6364,846.08844
"89","Vacular",0.97,0.03,613.8705,851.4197
"90","Vacular",1,0,270.24454,874.8668
"91","NonVascular",0,1,1401.9198,922.57587
"92","Vacular",0.89,0.11,220.87671,887.3082
"93","Vacular",1,0,1510.0326,891.48914
"94","Vacular",1,0,1270.5778,901.23315
"95","Vacular",0.98,0.02,1812.7667,900.8898
"97","NonVascular",0.17,0.83,791.1989,931.03766
"98","Vacular",0.99,0.01,1144.3088,937.5751
"99","Vacular",1,0,1661.3944,942.9493
"100","Vacular",0.99,0.01,746.17224,950.5
"103","Vacular",0.98,0.02,558.61774,968.38226
"105","Vacular",0.99,0.01,1267.7222,1014.625
"106","Vacular",0.99,0.01,208.90614,1069.9935
"107","NonVascular",0.02,0.98,1220.3754,1138.8759
"108","Vacular",0.96,0.04,17.56883,1084.374
"109","Vacular",0.99,0.01,1322.201,1085.8273
"111","Vacular",1,0,650.11084,1119.4243
"112","NonVascular",0.01,0.99,894.72363,1159.8655
"113","Vacular",0.98,0.02,401.77426,1142.1489
"114","Vacular",0.92,0.08,1095.4546,1143.4188
"115","Vacular",0.95,0.05,446.9355,1148.6646
"117","NonVascular",0.02,0.98,155.58246,1200.9136
"118","Vacular",0.92,0.08,834.20435,1171.1696
"120","NonVascular",0.01,0.99,613.58466,1205.8717
"126","Vacular",0.83,0.17,1268.7847,1239.5591
"128","Vacular",0.99,0.01,750.2175,1242.0575
"129","Vacular",0.98,0.02,1046.3572,1245.8429
"130","Vacular",0.86,0.14,796.0526,1241.9474
"132","NonVascular",0.06,0.94,1017.4879,1248.4492
"133","Vacular",1,0,1365.5309,1252.8124
"137","Vacular",0.95,0.05,119.901344,1261.4641
"138","Vacular",1,0,991.5129,1263.9742
"139","Vacular",0.99,0.01,466.95264,1269.2236
"140","NonVascular",0.17,0.83,749.02026,1324.6918
"143","Vacular",1,0,219.11621,1318.2567
"144","Vacular",1,0,647.73175,1330.4753
"147","Vacular",0.94,0.06,1055.5322,1385.1559
"148","Vacular",0.97,0.03,1653.2725,1388.1117
"149","Vacular",1,0,1432.0951,1396.4939
"151","Vacular",0.98,0.02,1355.3715,1451.2509
"152","Vacular",0.99,0.01,934.0268,1452.5518
"153","Vacular",0.94,0.06,1699.171,1452.6622
