"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","Vacular",0.9,0.1,1161.1293,16.207317
"2","Vacular",1,0,1587.4247,12.565068
"3","NonVascular",0.03,0.97,844.65155,29.807503
"4","NonVascular",0.19,0.81,170.49004,20.606838
"5","NonVascular",0.19,0.81,133.17683,41.840786
"6","NonVascular",0.02,0.98,1224.7222,48.67471
"7","NonVascular",0.01,0.99,1269.0203,40.094593
"8","NonVascular",0.17,0.83,584.5733,39.24
"10","Vacular",0.97,0.03,360.71893,49.754436
"12","NonVascular",0.02,0.98,1353.6837,65.87143
"13","Vacular",0.99,0.01,345.97403,66.50649
"14","Vacular",0.99,0.01,927.9024,66.81794
"16","NonVascular",0.09,0.91,1054.4966,91.92414
"20","NonVascular",0.01,0.99,1156.5522,109.89091
"21","NonVascular",0.18,0.82,4.7466664,100.04667
"22","NonVascular",0.02,0.98,455.9595,126.82042
"24","NonVascular",0.18,0.82,794.0959,113.76712
"25","NonVascular",0.19,0.81,934.59406,110.871284
"28","Vacular",0.95,0.05,381.1443,125.89933
"29","NonVascular",0.03,0.97,1637.1044,135.79979
"30","NonVascular",0,1,1106.8876,136.54619
"32","NonVascular",0.16,0.84,601.0037,152.67615
"34","NonVascular",0.02,0.98,728.7861,147.81702
"37","NonVascular",0.06,0.94,654.50146,175.8997
"38","Vacular",0.99,0.01,1098.5239,165.9734
"39","Vacular",0.9,0.1,774.1632,170.17769
"40","NonVascular",0,1,312.17682,188.29114
"45","Vacular",0.91,0.09,379.85355,198.0404
"49","Vacular",0.93,0.07,993.9308,211.98438
"50","Vacular",0.98,0.02,627.7692,217.07484
"53","NonVascular",0.01,0.99,1493.913,238.28362
"54","Vacular",0.94,0.06,693.3972,234.59723
"55","Vacular",0.94,0.06,1206.3851,234.35811
"56","Vacular",0.97,0.03,1231.9323,239.35857
"58","Vacular",1,0,857.0175,254.2725
"59","Vacular",0.91,0.09,680.98914,262.79132
"61","NonVascular",0.03,0.97,1869.6892,276.74667
"62","NonVascular",0.15,0.85,1012.88184,273.34546
"63","Vacular",0.99,0.01,1111.3008,292.6968
"68","Vacular",1,0,620.97644,338.07352
"69","Vacular",0.97,0.03,1276.9474,340.8655
"70","NonVascular",0.08,0.92,1832.6057,360.73032
"71","NonVascular",0,1,596.2433,374.0911
"72","NonVascular",0,1,912.756,365.24402
"74","Vacular",0.91,0.09,939.03973,367.3364
"77","Vacular",0.96,0.04,81.57377,377.65573
"79","Vacular",1,0,734.875,396.5168
"80","Vacular",0.94,0.06,674.80414,409.5017
"81","Vacular",1,0,566.5646,413.66583
"82","Vacular",0.89,0.11,1491.9083,413.09467
"83","Vacular",0.81,0.19,211.18161,427.8349
"84","NonVascular",0.02,0.98,521.0634,442.08035
"86","NonVascular",0.14,0.86,184.70125,444.22406
"87","Vacular",0.87,0.13,317.66257,467.67484
"92","NonVascular",0.1,0.9,1570.6188,494.5274
"93","Vacular",0.99,0.01,1494.181,502.98813
"95","Vacular",0.99,0.01,668.47217,512.7268
"97","Vacular",0.89,0.11,1023.78894,520.2768
"98","NonVascular",0.16,0.84,1730.2185,522.8034
"99","Vacular",0.99,0.01,1172.156,524.39124
"100","NonVascular",0.17,0.83,1697.6522,522.63477
"101","NonVascular",0.19,0.81,1683.3018,528.2328
"102","NonVascular",0.03,0.97,1324.5142,544.2384
"104","Vacular",0.85,0.15,899.3051,556.6617
"105","Vacular",0.87,0.13,1276.525,556.3264
"108","Vacular",0.94,0.06,452.01968,561.1004
"111","Vacular",0.97,0.03,1759.7539,585.2026
"113","NonVascular",0,1,1260.6501,609.92944
"114","NonVascular",0,1,1151.7306,598.7957
"115","Vacular",1,0,791.48975,601.9769
"118","NonVascular",0.01,0.99,1917.9869,636.18896
"119","NonVascular",0.01,0.99,1425.9901,645.5716
"122","Vacular",0.91,0.09,1072.762,647.8534
"123","Vacular",0.85,0.15,882.8197,646.77594
"124","NonVascular",0.02,0.98,1172.8708,648.7028
"125","NonVascular",0.03,0.97,960.25977,659.2903
"127","NonVascular",0.02,0.98,837.4145,667.3273
"128","Vacular",0.88,0.12,910.76227,679.87854
"129","Vacular",1,0,1119.7593,677.5484
"132","Vacular",0.98,0.02,1744.404,680.86536
"133","NonVascular",0.01,0.99,1301.0148,687.6716
"134","Vacular",0.91,0.09,765.03094,685.2165
"135","NonVascular",0.02,0.98,1698.6637,698.3275
"136","NonVascular",0.17,0.83,1565.2874,688.83905
"137","NonVascular",0.03,0.97,1540.5078,699.9922
"138","Vacular",0.96,0.04,702.7749,698.9117
"141","Vacular",0.99,0.01,1339.2,724.7855
"142","NonVascular",0.18,0.82,1308.8206,729.5954
"143","Vacular",0.94,0.06,1784.9749,731.6781
"144","Vacular",0.95,0.05,498.27817,736.05994
"145","Vacular",0.84,0.16,1084.5795,735.71857
"146","Vacular",0.94,0.06,692.8179,737.5591
"147","Vacular",0.96,0.04,667.4345,752.37933
"148","Vacular",0.99,0.01,1285.0477,751.76416
"150","NonVascular",0.02,0.98,30.961857,813.50916
"151","Vacular",0.96,0.04,1746.8076,762.28705
"153","Vacular",0.93,0.07,1272.1848,774.7689
"154","Vacular",0.99,0.01,1701.9203,784.8818
"157","Vacular",0.84,0.16,1073.332,802.1589
"158","Vacular",1,0,1399.6152,797.30084
"159","Vacular",0.93,0.07,481.10876,806.9668
"160","Vacular",0.95,0.05,587.2045,813.075
"161","NonVascular",0,1,1191.4249,837.8358
"162","NonVascular",0.05,0.95,1313.61,863.7474
"163","NonVascular",0.05,0.95,179.57933,824.4303
"167","Vacular",0.83,0.17,218.92665,835.1369
"169","Vacular",0.98,0.02,1514.3475,836.1196
"171","Vacular",0.96,0.04,1041.5043,844.95966
"172","NonVascular",0.15,0.85,1711.181,851.107
"175","Vacular",0.94,0.06,1020.59564,865.4153
"177","Vacular",0.88,0.12,651.70654,868.8417
"178","Vacular",0.88,0.12,189.02061,875.534
"179","Vacular",0.82,0.18,700.8876,874.655
"180","NonVascular",0.03,0.97,969.5595,883.0836
"181","Vacular",0.97,0.03,795.1586,892.09375
"182","NonVascular",0.01,0.99,1221.78,897.85046
"183","NonVascular",0.02,0.98,227.01021,894.7041
"184","Vacular",0.95,0.05,1714.4205,902.30585
"185","Vacular",0.99,0.01,693.92957,907.1111
"187","NonVascular",0.11,0.89,41.527607,907.68713
"188","NonVascular",0.09,0.91,1853.3401,912.38464
"189","Vacular",1,0,1119.2913,917.17365
"190","NonVascular",0.09,0.91,562.1069,933.0818
"192","NonVascular",0.02,0.98,956.3685,938.05927
"193","Vacular",0.81,0.19,847.6048,941.47424
"194","NonVascular",0.12,0.88,1324.1707,990.81165
"196","NonVascular",0.15,0.85,40.21154,959.9039
"199","Vacular",0.98,0.02,318.75342,970.7781
"200","NonVascular",0.11,0.89,542.45844,1001.5874
"202","Vacular",0.96,0.04,460.90457,980.90076
"203","Vacular",1,0,382.593,983.90295
"205","Vacular",1,0,1120.116,986.63257
"206","NonVascular",0.15,0.85,1249.7957,991.5566
"207","Vacular",0.99,0.01,663.6022,1004.785
"209","Vacular",0.93,0.07,133.33333,1013.0897
"210","Vacular",0.97,0.03,586.8295,1014.8041
"212","Vacular",0.95,0.05,1713.6343,1015.84045
"213","NonVascular",0.04,0.96,1138.1431,1026.4346
"215","NonVascular",0.16,0.84,1408.639,1025.1342
"217","Vacular",1,0,1063.7178,1076.2025
"220","NonVascular",0,1,1587.2688,1130.7772
"221","NonVascular",0.17,0.83,1616.4534,1113.4
"222","NonVascular",0.03,0.97,1119.0198,1126.6726
"223","NonVascular",0.19,0.81,77.89449,1159.5156
"224","Vacular",0.87,0.13,693.9201,1139.7163
"226","Vacular",0.94,0.06,534.2857,1150.8031
"228","Vacular",0.85,0.15,567.2549,1154.7694
"229","Vacular",0.98,0.02,960.6264,1157.2803
"230","NonVascular",0.02,0.98,1068.4478,1182.7458
"232","Vacular",0.86,0.14,1363.5955,1181.4844
"233","NonVascular",0.04,0.96,1112.1123,1189.8416
"234","Vacular",0.88,0.12,1614.0413,1186.0825
"235","NonVascular",0.13,0.87,1928.491,1203.7413
"236","NonVascular",0.03,0.97,33.177067,1205.1517
"237","Vacular",0.91,0.09,557.56226,1194.4592
"239","Vacular",0.98,0.02,5.303125,1216.1656
"240","NonVascular",0.08,0.92,396.20334,1224.5128
"243","Vacular",0.99,0.01,877.6751,1223.7234
"244","Vacular",0.86,0.14,526.36224,1242.9321
"245","NonVascular",0.16,0.84,1536.3595,1238.2659
"247","Vacular",0.99,0.01,440.2131,1251.4153
"250","Vacular",0.92,0.08,1577.9669,1262.9504
"251","Vacular",1,0,921.55066,1266.2739
