"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","NonVascular",0.06,0.94,296.574,18.713005
"3","Vacular",0.95,0.05,1167.9352,34.00895
"4","Vacular",0.89,0.11,1846.3994,55.333332
"5","NonVascular",0.01,0.99,1525.6205,64.06812
"9","NonVascular",0.14,0.86,938.183,78.267975
"10","NonVascular",0.01,0.99,1639.5483,93.676575
"11","Vacular",0.94,0.06,1422.1257,88.27049
"14","NonVascular",0.11,0.89,1450.5565,128.3431
"15","NonVascular",0,1,1803.6395,148.45085
"17","Vacular",0.96,0.04,91.36473,167.68115
"18","Vacular",0.86,0.14,583.8351,188.21921
"19","Vacular",0.96,0.04,1116.473,187.04628
"21","NonVascular",0,1,1922.9012,202.49388
"22","Vacular",0.95,0.05,79.92308,192.83946
"23","NonVascular",0.05,0.95,1813.6146,199.04587
"26","NonVascular",0.14,0.86,1530.1724,229.94711
"27","NonVascular",0.17,0.83,1550.4906,224.30818
"28","Vacular",0.98,0.02,228.10057,230.86494
"29","NonVascular",0.01,0.99,1541.0579,299.19754
"30","Vacular",0.88,0.12,216.4945,264.23444
"34","NonVascular",0,1,958.5561,318.31503
"35","NonVascular",0.04,0.96,1470.6371,324.8145
"36","Vacular",1,0,890.03064,343.83566
"42","NonVascular",0,1,1615.7264,385.12744
"43","NonVascular",0.07,0.93,646.4286,379.02924
"46","NonVascular",0.19,0.81,839.2133,383.32
"47","Vacular",0.98,0.02,853.97974,399.08557
"48","Vacular",0.93,0.07,690.5242,393.08066
"49","NonVascular",0.16,0.84,1648.7428,397.95715
"50","Vacular",0.95,0.05,375.7883,403.68695
"52","NonVascular",0.17,0.83,893.41724,408.56955
"53","Vacular",0.84,0.16,402.12772,417.63373
"54","NonVascular",0.02,0.98,1647.3298,442.05835
"56","NonVascular",0.04,0.96,1216.2423,435.39886
"57","Vacular",0.86,0.14,1680.9187,441.25
"58","Vacular",1,0,651.026,440.63116
"60","NonVascular",0.02,0.98,832.2189,454.9957
"65","NonVascular",0.13,0.87,359.30234,494.47092
"69","Vacular",0.97,0.03,1419.4208,536.23254
"70","Vacular",0.81,0.19,1066.9404,537.0157
"71","Vacular",0.82,0.18,820.2293,552.9431
"72","Vacular",0.99,0.01,251.3031,559.6802
"73","NonVascular",0.06,0.94,1737.1211,565.0031
"74","Vacular",0.96,0.04,136.03131,574.5988
"75","NonVascular",0.02,0.98,1853.4878,585.6757
"76","NonVascular",0.19,0.81,446.2,582.32
"77","NonVascular",0.15,0.85,238.35075,583.6791
"78","Vacular",0.9,0.1,120.30108,591.957
"80","NonVascular",0,1,1896.5896,607.48804
"81","NonVascular",0.01,0.99,1621.617,648.77734
"83","NonVascular",0,1,1732.24,633.10846
"84","Vacular",0.96,0.04,1151.2953,613.1991
"85","NonVascular",0.02,0.98,1238.8813,615.707
"87","NonVascular",0.02,0.98,176.1497,622.509
"88","NonVascular",0.13,0.87,813.5185,626.12964
"90","Vacular",1,0,748.8015,652.799
"91","NonVascular",0.18,0.82,1240.0178,646.3132
"94","Vacular",0.91,0.09,368.4225,661.45166
"95","Vacular",0.87,0.13,823.5643,659.225
"97","NonVascular",0.02,0.98,1757.1678,670.11273
"99","NonVascular",0.18,0.82,992.2,664.56
"100","NonVascular",0.14,0.86,61.816,668.56
"101","Vacular",0.83,0.17,1410.9293,679.7332
"102","NonVascular",0.15,0.85,1283.567,670.04126
"104","Vacular",0.92,0.08,242.36967,690.5984
"106","Vacular",0.86,0.14,362.30844,725.4795
"109","NonVascular",0.1,0.9,285.31146,740.35834
"111","NonVascular",0.06,0.94,535,741.7033
"112","Vacular",0.97,0.03,1564.3689,742.657
"113","Vacular",0.81,0.19,360.29926,760.6113
"114","Vacular",0.87,0.13,334.37097,739.129
"115","Vacular",0.98,0.02,658.1675,749.2463
"118","Vacular",0.83,0.17,52.74056,760.7783
"119","Vacular",0.92,0.08,1381.4185,772.54346
"121","NonVascular",0.07,0.93,1826.2487,822.6828
"122","NonVascular",0.01,0.99,1902.5342,792.9115
"123","Vacular",0.96,0.04,851.5841,785.6322
"124","Vacular",0.97,0.03,735.17236,793.9064
