"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"2","NonVascular",0.12,0.88,1143.055,4.0458717
"4","Vacular",0.9,0.1,1308.8119,17.529617
"5","Vacular",1,0,13.268011,20.682997
"6","Vacular",0.9,0.1,721.21313,23.363934
"7","Vacular",0.83,0.17,939.95074,47.651516
"8","Vacular",0.93,0.07,567.67914,53.508335
"9","NonVascular",0.01,0.99,601.08997,106.414375
"10","NonVascular",0.05,0.95,665.3226,94.50538
"12","Vacular",0.9,0.1,357.8985,113.71045
"14","NonVascular",0.12,0.88,1548.1232,129.7029
"15","Vacular",0.91,0.09,647.6071,146.76587
"17","Vacular",0.91,0.09,1177.4502,193.64049
"18","Vacular",0.99,0.01,97.90959,200.89589
"19","NonVascular",0.04,0.96,1929.9181,209.56584
"21","Vacular",0.95,0.05,1045.386,254.96657
"23","Vacular",0.96,0.04,518.3555,277.8127
"24","Vacular",0.98,0.02,371.23227,290.60324
"25","Vacular",0.81,0.19,565.89575,300.32898
"28","Vacular",1,0,239.94531,341.76822
"29","NonVascular",0.03,0.97,538.9174,392.53516
"30","Vacular",0.93,0.07,717.74695,384.09387
"33","Vacular",0.93,0.07,1119.1812,421.9933
"34","Vacular",0.94,0.06,1253.1128,433.4116
"35","Vacular",1,0,92.235794,441.6733
"36","Vacular",0.89,0.11,859.31744,446.85715
"37","NonVascular",0,1,301.3224,479.3358
"38","NonVascular",0.02,0.98,1488.9896,486.8605
"39","Vacular",0.94,0.06,170.27574,483.19852
"40","Vacular",0.88,0.12,1226.1063,476.0551
"41","Vacular",0.91,0.09,1396.8901,483.6185
"42","Vacular",0.98,0.02,135.57297,487.56485
"43","NonVascular",0.05,0.95,1715.3885,493.68243
"44","Vacular",0.87,0.13,603.7126,512.7425
"45","Vacular",0.9,0.1,125.083336,526.7727
"46","NonVascular",0.02,0.98,1456.2699,524.61206
"48","Vacular",0.96,0.04,1796.1458,538.2538
"49","Vacular",0.95,0.05,795.77673,548.21405
"50","NonVascular",0.07,0.93,855.6483,589.71765
"53","Vacular",0.86,0.14,1105.649,583.18866
"54","Vacular",0.87,0.13,1204.589,585
"55","Vacular",0.92,0.08,279.52588,588.8965
"56","Vacular",0.99,0.01,463.5496,611.3217
"59","Vacular",0.96,0.04,246.11147,631.1242
"60","NonVascular",0.09,0.91,362.07748,667.6007
"61","Vacular",1,0,1516.7025,644.1955
"62","NonVascular",0.16,0.84,222.7742,672.29034
"63","NonVascular",0.13,0.87,180.59175,710.1207
"64","NonVascular",0,1,57.399345,707.30194
"65","NonVascular",0.18,0.82,1198.4014,703.669
"67","NonVascular",0.02,0.98,123.08306,785.4531
"69","Vacular",0.91,0.09,27.735136,747.8162
"71","Vacular",0.9,0.1,958.5536,759.9911
"73","NonVascular",0.18,0.82,1695.6143,776.2
"75","Vacular",0.95,0.05,564.6085,808.28827
"76","Vacular",0.88,0.12,791,812.39935
"78","Vacular",0.86,0.14,132.72464,837.1087
"79","Vacular",0.9,0.1,415.77274,841.8347
"80","Vacular",0.99,0.01,889.1816,849.37897
"81","Vacular",0.91,0.09,155.49573,852.6496
"82","NonVascular",0.01,0.99,189.4115,864.1239
"87","Vacular",0.87,0.13,1019.9429,871.2898
"88","Vacular",0.86,0.14,268.80136,879.38696
"89","Vacular",0.97,0.03,1647.5145,885.4157
"90","Vacular",0.88,0.12,176.21739,905.48987
"91","NonVascular",0.18,0.82,1725.2222,912.2469
"93","Vacular",0.89,0.11,608.7994,933.01215
"96","Vacular",0.95,0.05,1700.5983,942.4956
"97","NonVascular",0.1,0.9,191.37306,947.34454
"99","Vacular",0.95,0.05,564.18585,1003.5782
"101","Vacular",0.91,0.09,1186.5387,1049.8624
"102","Vacular",0.96,0.04,250.55821,1051.5762
"103","NonVascular",0.01,0.99,157.8745,1076.6395
"104","Vacular",0.97,0.03,445.33,1053.75
"105","Vacular",0.96,0.04,1560.2283,1069.1711
"106","Vacular",0.97,0.03,74.88182,1069.1212
"107","Vacular",0.89,0.11,801.2862,1068.8396
"108","Vacular",0.9,0.1,1215.7076,1089.0758
"109","Vacular",0.91,0.09,1002.7956,1117.8757
"110","Vacular",0.96,0.04,1771.7704,1122.5255
"111","NonVascular",0.03,0.97,1042.5228,1173.7634
"112","Vacular",0.84,0.16,886.7604,1173.4674
"113","Vacular",0.97,0.03,730.4793,1177.4763
"116","NonVascular",0.1,0.9,574.493,1205.5962
"117","Vacular",0.96,0.04,51.270096,1207.0707
"118","Vacular",0.86,0.14,397.96497,1214.642
"119","NonVascular",0.09,0.91,81.809395,1232.6354
"120","Vacular",0.99,0.01,139.01445,1242.9943
"121","Vacular",0.84,0.16,314.04138,1248.369
"123","NonVascular",0.06,0.94,864.25146,1261.9298
"124","NonVascular",0.14,0.86,649.89764,1271.4465
"125","Vacular",0.99,0.01,205.2623,1279.6913
"127","Vacular",0.86,0.14,265.11053,1297.6237
"128","Vacular",0.88,0.12,1244.5464,1300.1438
"130","Vacular",0.98,0.02,1301.1528,1331.3694
"132","NonVascular",0.19,0.81,170.88,1371.54
"134","Vacular",0.92,0.08,97.81699,1393.8203
"135","Vacular",0.93,0.07,122.80112,1404.112
"137","NonVascular",0.04,0.96,91.55173,1455.4482
