"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"2","Vacular",1,0,428.81104,71.81396
"3","NonVascular",0.11,0.89,184.42188,90.23125
"4","Vacular",0.87,0.13,1799.3844,91.33815
"5","Vacular",0.9,0.1,536.63495,91.20635
"6","Vacular",0.9,0.1,39.305264,110.9921
"7","Vacular",0.89,0.11,1417.6768,154.3308
"9","Vacular",0.9,0.1,1650.2831,158.13855
"10","Vacular",0.83,0.17,608.06946,169.2743
"11","Vacular",0.97,0.03,781.3451,172.33098
"12","Vacular",1,0,444.95978,186.9253
"13","NonVascular",0.18,0.82,1756.458,185.30534
"16","NonVascular",0.01,0.99,281.49506,292.64114
"17","Vacular",0.89,0.11,1263.997,279.36224
"18","Vacular",1,0,337.56763,284.32095
"19","Vacular",1,0,468.36475,307.4468
"20","Vacular",0.84,0.16,1757.4186,311.1721
"22","Vacular",0.98,0.02,983.2476,314.48254
"23","NonVascular",0.18,0.82,253.66667,334.14285
"24","Vacular",0.96,0.04,825.56177,341.89044
"25","Vacular",0.97,0.03,618.10706,364.4159
"26","Vacular",0.92,0.08,720.25146,371.19653
"27","Vacular",0.92,0.08,851.6058,372.22116
"29","Vacular",0.95,0.05,1769.7646,401.74332
"31","Vacular",1,0,626.43176,462.53482
"32","Vacular",0.84,0.16,1490.8055,473.92014
"33","NonVascular",0.19,0.81,1836.7803,477.94507
"34","Vacular",0.87,0.13,1053.8035,487.13275
"35","Vacular",0.97,0.03,747.93353,490.81213
"36","Vacular",0.93,0.07,406.8931,505.67294
"37","Vacular",0.9,0.1,110.78707,528.93536
"38","Vacular",0.85,0.15,150.13889,538.06665
"39","Vacular",0.95,0.05,127.45788,552.13556
"40","Vacular",0.85,0.15,1672.9678,560.08246
"41","Vacular",0.97,0.03,506.65164,571.4985
"42","Vacular",0.9,0.1,1091.5688,589.4167
"43","Vacular",0.98,0.02,732.347,596.1451
"45","Vacular",0.9,0.1,233.3629,626.9194
"47","Vacular",1,0,947.9406,672.46564
"48","Vacular",0.82,0.18,1443.5104,679.5339
"50","Vacular",0.92,0.08,846.4006,681.3305
"51","Vacular",0.99,0.01,1769.2401,704.8127
"53","Vacular",0.96,0.04,1236.9033,709.74927
"54","Vacular",0.98,0.02,475.37878,722.2904
"57","Vacular",0.95,0.05,1487.2858,752.4902
"58","Vacular",0.98,0.02,1592.4772,789.77716
"59","Vacular",0.98,0.02,937.84515,793.2487
"60","Vacular",0.95,0.05,1081.2933,808.1816
"61","Vacular",0.82,0.18,1852.6246,810.2149
"64","Vacular",0.95,0.05,1735.1637,822.39545
"66","Vacular",0.94,0.06,1765.9462,831.99744
"67","Vacular",0.98,0.02,1395.9729,841.5937
"68","Vacular",0.97,0.03,9.298343,847.53314
"70","NonVascular",0.16,0.84,1277.5787,858.96063
"72","Vacular",1,0,1149.322,889.88544
"73","Vacular",0.85,0.15,280.61942,904.98505
"74","Vacular",0.86,0.14,294.28854,943.61694
"75","Vacular",0.89,0.11,257.26416,944.72955
"76","Vacular",0.9,0.1,332.97958,950.5
"78","Vacular",0.86,0.14,311.525,979.5333
"79","Vacular",1,0,77.539566,989.07434
"81","Vacular",0.99,0.01,723.40247,1008.1901
"82","Vacular",0.94,0.06,1310.006,1043.244
"83","NonVascular",0.19,0.81,478.57425,1047.1188
"84","Vacular",1,0,301.85147,1061.8356
"87","Vacular",0.95,0.05,1453.8428,1088.2683
"91","Vacular",0.99,0.01,103.363434,1152.87
"92","Vacular",0.83,0.17,697.2526,1153.8395
"94","Vacular",0.91,0.09,1021.92535,1168.221
"95","Vacular",1,0,329.6652,1178.1564
"96","Vacular",0.93,0.07,1359.8187,1188.965
"97","Vacular",1,0,478.4415,1196.7234
"100","Vacular",0.96,0.04,594.5606,1282.745
"101","Vacular",0.84,0.16,282.74484,1287.2621
"102","Vacular",0.96,0.04,1447.8088,1290.9751
"105","Vacular",1,0,111.73292,1356.028
"106","NonVascular",0.11,0.89,165.53378,1365.7793
"107","Vacular",0.97,0.03,995.6194,1372.7365
"108","Vacular",0.95,0.05,370.6563,1375.091
"109","Vacular",0.97,0.03,144.42587,1390.9407
"110","Vacular",0.97,0.03,115.21262,1403.8904
"111","Vacular",0.92,0.08,1759.6056,1402.8851
"112","Vacular",0.88,0.12,106.97473,1429.4982
"113","Vacular",1,0,341.56232,1452.8948
