"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","NonVascular",0.02,0.98,332.4296,56.09834
"2","Vacular",0.96,0.04,527.6589,4.738318
"3","NonVascular",0.19,0.81,916.4986,16.31339
"4","NonVascular",0.16,0.84,1434.1428,3.5
"5","NonVascular",0.18,0.82,1728.6544,29.268154
"7","NonVascular",0.07,0.93,1626.9467,14.898058
"8","NonVascular",0.12,0.88,657.1064,20.281797
"9","NonVascular",0.17,0.83,1308.7966,13.79661
"10","NonVascular",0,1,549.6303,35.225117
"11","NonVascular",0.15,0.85,1523.7429,40.66129
"12","Vacular",0.99,0.01,1590.0819,26.93989
"13","NonVascular",0,1,1305.9835,48.71853
"14","NonVascular",0.1,0.9,1020.84283,26.071428
"15","NonVascular",0.12,0.88,987.7083,34.988094
"17","NonVascular",0.02,0.98,691.72314,44.032402
"18","Vacular",0.97,0.03,1011.9345,49.785892
"19","Vacular",1,0,1074.8518,49.98744
"20","Vacular",1,0,623.7748,50.316833
"21","NonVascular",0,1,1407.5109,88.12329
"22","Vacular",1,0,508.40375,56.144386
"23","Vacular",1,0,114.94226,63.71391
"24","NonVascular",0.02,0.98,575.1255,105.14278
"26","NonVascular",0,1,1831.6267,89.552925
"27","NonVascular",0.01,0.99,701.03314,90.663864
"28","NonVascular",0.02,0.98,1282.5962,107.53536
"29","Vacular",0.93,0.07,47.30893,88.86607
"30","NonVascular",0.15,0.85,1070.7279,75.72059
"32","NonVascular",0.04,0.96,1608.0468,121.12241
"33","NonVascular",0.15,0.85,766.3791,83.52287
"35","NonVascular",0.16,0.84,274.4074,86.19753
"37","NonVascular",0.15,0.85,261.38272,94.34568
"38","NonVascular",0.06,0.94,468.6488,107.51763
"39","NonVascular",0.13,0.87,843.5294,127.028145
"40","Vacular",0.91,0.09,297.38788,107.941414
"41","Vacular",0.95,0.05,25.790503,108.27095
"42","NonVascular",0.14,0.86,82.488014,124.3268
"44","Vacular",0.88,0.12,515.9384,117.180466
"45","NonVascular",0.04,0.96,1895.5764,119.57642
"46","NonVascular",0.03,0.97,1809.6802,151.92786
"48","NonVascular",0.03,0.97,1143.5637,154.9119
"49","NonVascular",0.02,0.98,766.51843,131.65263
"50","NonVascular",0.12,0.88,1930.8823,146.42017
"51","NonVascular",0,1,1903.7048,161.86282
"52","NonVascular",0.01,0.99,168.04626,158.53877
"53","Vacular",0.85,0.15,511.85043,158.59152
"54","Vacular",0.97,0.03,645.248,155.76
"56","NonVascular",0.13,0.87,314.4709,164.29854
"58","Vacular",0.91,0.09,477.28815,167.40678
"59","NonVascular",0.14,0.86,1610.627,177.64963
"60","NonVascular",0.11,0.89,794.2662,166.98561
"61","NonVascular",0,1,1369.5419,182.66595
"62","NonVascular",0.04,0.96,1490.991,175.82578
"63","Vacular",0.94,0.06,539.05,176.14783
"64","NonVascular",0.01,0.99,1558.16,177.77667
"66","NonVascular",0.01,0.99,1258.6364,191.29488
"67","NonVascular",0,1,1705.0054,215.60167
"68","Vacular",0.96,0.04,889.3341,193.52164
"69","NonVascular",0.07,0.93,571.16205,193.26552
"70","NonVascular",0,1,1859.4799,207.22198
"72","NonVascular",0.14,0.86,228.01666,192.45
"73","Vacular",0.97,0.03,166.58351,205.46722
"74","NonVascular",0.01,0.99,41.7006,211.89621
"75","NonVascular",0.04,0.96,83.42268,220.27217
"76","NonVascular",0.03,0.97,467.92285,211.96419
"77","NonVascular",0.07,0.93,117.56115,207.89928
"78","NonVascular",0.01,0.99,396.8733,218.6908
"79","NonVascular",0.11,0.89,188.21053,222.60703
"80","NonVascular",0.03,0.97,627.6118,270.2779
"81","NonVascular",0.02,0.98,1530.3796,231.59802
"82","NonVascular",0.03,0.97,1126.6179,229.43414
"83","NonVascular",0.01,0.99,1782.7993,317.0614
"84","Vacular",1,0,834.97437,234.97693
"85","NonVascular",0.13,0.87,1605.9496,237.57555
"86","NonVascular",0.16,0.84,1906.2427,238.1165
"87","Vacular",0.87,0.13,1355.3826,246.89436
"88","NonVascular",0.17,0.83,201.97368,245.69737
"89","NonVascular",0.03,0.97,1546.5312,271.09988
"90","NonVascular",0.03,0.97,805.63446,248.56439
"91","NonVascular",0.11,0.89,435.98462,251.13539
"92","NonVascular",0,1,44.29356,259.18655
"93","NonVascular",0,1,1639.5822,269.81223
"95","NonVascular",0.08,0.92,928.00275,272.9712
"96","Vacular",0.96,0.04,1384.5536,273.93878
"97","NonVascular",0.03,0.97,1061.6925,296.9786
