"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"3","Vacular",0.97,0.03,261.23242,50.916218
"4","Vacular",0.97,0.03,903.7459,52.912567
"6","Vacular",0.9,0.1,1591.7047,142.81874
"7","Vacular",0.99,0.01,458.74353,140.17357
"10","Vacular",0.82,0.18,1613.7142,148.46428
"11","NonVascular",0.04,0.96,1516.6187,203.625
"13","NonVascular",0.1,0.9,468.98917,175.66377
"14","Vacular",0.93,0.07,622.46234,193.5275
"15","Vacular",0.96,0.04,891.4362,191.41837
"16","Vacular",1,0,1067.3136,191.56497
"17","Vacular",0.93,0.07,1592.4221,201.43793
"18","Vacular",0.97,0.03,385.67422,216.34433
"19","Vacular",0.96,0.04,5.267157,237.90932
"20","Vacular",0.92,0.08,1846.9948,225.88452
"21","NonVascular",0.03,0.97,1201.068,226.95146
"22","Vacular",0.97,0.03,1596.0854,246.24712
"25","Vacular",0.94,0.06,457.56116,306.79138
"26","Vacular",1,0,1410.992,315.99734
"28","NonVascular",0.01,0.99,1052.6417,337.07474
"29","NonVascular",0.12,0.88,1704.1818,332.4034
"30","Vacular",0.98,0.02,975.01447,339.74155
"31","NonVascular",0.16,0.84,1671.7247,345.9908
"32","NonVascular",0.14,0.86,493.2521,352.30252
"39","Vacular",0.88,0.12,429.46,433.76
"40","NonVascular",0.02,0.98,1266.4321,445.02634
"41","NonVascular",0.18,0.82,1121.9565,442.32608
"42","Vacular",0.96,0.04,824.6868,466.08243
"43","Vacular",0.96,0.04,1045.1172,463.9101
"44","Vacular",0.97,0.03,1393.1093,484.9465
"45","Vacular",0.98,0.02,34.35484,485.9447
"49","Vacular",0.98,0.02,1247.8038,506.35635
"50","NonVascular",0.01,0.99,1513.8867,551.3447
"51","Vacular",0.95,0.05,108.34582,560.40967
"54","Vacular",1,0,971.1775,616.2316
"57","Vacular",1,0,1164.7325,656.4558
"58","NonVascular",0.19,0.81,579.6404,652.9035
"59","Vacular",0.98,0.02,564.7645,676.0503
"60","Vacular",0.96,0.04,1357.0347,684.1792
"61","Vacular",1,0,1001.0573,694.6667
"62","Vacular",0.81,0.19,1892.4645,712.69666
"63","Vacular",0.97,0.03,487.4592,718.014
"64","NonVascular",0.08,0.92,1172.4385,725.9803
"65","Vacular",1,0,859.84344,732.17755
"66","Vacular",0.99,0.01,1595.2494,733.85315
"67","Vacular",0.96,0.04,1126.6558,773.09015
"68","Vacular",0.88,0.12,100.32157,774.1961
"69","Vacular",0.89,0.11,1659.2672,783.84485
"71","Vacular",1,0,778.426,823.6964
"72","Vacular",0.97,0.03,1405.7808,822.6182
"73","Vacular",0.94,0.06,961.479,830.65826
"74","NonVascular",0.06,0.94,1810.159,847.6307
"76","NonVascular",0.02,0.98,1123.166,870.08716
"77","Vacular",0.99,0.01,92.49874,882.5264
"78","NonVascular",0.03,0.97,1785.9021,893.3263
"79","NonVascular",0.16,0.84,1416.2101,893.2521
"80","Vacular",1,0,1569.5317,901.25397
"81","Vacular",1,0,591.2651,916.5856
"82","Vacular",0.9,0.1,720.1988,927.3765
"83","Vacular",1,0,1294.0327,955.00507
"84","NonVascular",0.02,0.98,1919.0126,957.907
"86","NonVascular",0.03,0.97,1909.3931,1008.9749
"87","NonVascular",0.17,0.83,1795.4572,995.17145
"88","Vacular",0.99,0.01,646.19354,1011.28534
"89","Vacular",0.88,0.12,1815.3748,1024.1018
"90","Vacular",0.98,0.02,778.30554,1033.5695
"93","Vacular",1,0,28.474861,1056.4302
"94","NonVascular",0.09,0.91,64.793335,1077.3267
"95","Vacular",1,0,1122.963,1092.2197
"96","Vacular",0.93,0.07,1567.122,1115.3557
"97","Vacular",1,0,454.312,1131.0187
"100","Vacular",0.99,0.01,1403.2332,1155.8857
"101","Vacular",0.98,0.02,1609.9585,1166.4847
"102","Vacular",0.98,0.02,687.8558,1180.9338
"103","Vacular",0.82,0.18,1911.5735,1186.6384
"104","Vacular",0.86,0.14,779.552,1198.9714
"108","NonVascular",0.18,0.82,24.270142,1205.1896
"109","NonVascular",0.06,0.94,1415.6602,1205.0339
"110","Vacular",0.98,0.02,213.2447,1212.5835
"111","NonVascular",0.17,0.83,4.133333,1222.2067
"112","NonVascular",0.18,0.82,35.08871,1230.7339
"114","NonVascular",0.16,0.84,29.344595,1273.5946
"116","Vacular",0.96,0.04,7.210084,1285.3488
"117","Vacular",0.98,0.02,140.48558,1299.3503
"119","Vacular",0.96,0.04,1306.4,1335.8817
"121","NonVascular",0.03,0.97,118.81204,1366.1483
"122","Vacular",0.98,0.02,149.56085,1363.6799
"123","Vacular",1,0,278.49713,1383.4741
"124","Vacular",1,0,1090.7991,1385.194
"125","NonVascular",0.05,0.95,1004.086,1389.9435
"126","NonVascular",0.07,0.93,1459.811,1391.0201
"127","NonVascular",0.18,0.82,254.43617,1394.9788
"128","Vacular",0.97,0.03,1552.6934,1408.1495
"129","Vacular",1,0,1204.43,1439.4559
"130","Vacular",0.99,0.01,815.23395,1448.8073
