"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"2","NonVascular",0.08,0.92,744.4013,4.368421
"3","NonVascular",0.01,0.99,925.207,18.155914
"4","Vacular",0.96,0.04,1182.6958,5.866667
"5","NonVascular",0.07,0.93,1287.774,7.59205
"6","NonVascular",0,1,1869.9489,24.57185
"8","NonVascular",0.02,0.98,1667.9673,26.888283
"10","NonVascular",0.02,0.98,756.2624,80.20198
"12","Vacular",0.92,0.08,1653.7694,66.308334
"13","NonVascular",0.17,0.83,1631.1456,71.06796
"14","NonVascular",0.01,0.99,1886.9298,79.070175
"15","NonVascular",0.02,0.98,640.65765,135.90442
"17","NonVascular",0.02,0.98,899.67426,115.94852
"18","NonVascular",0.17,0.83,978.96906,99.13402
"19","NonVascular",0.01,0.99,1557.6797,116.5419
"20","Vacular",0.91,0.09,35.65116,113.76744
"21","NonVascular",0.18,0.82,1027.6721,136.28247
"22","NonVascular",0.09,0.91,767.48566,165.64331
"23","NonVascular",0.15,0.85,446.3669,152.56834
"24","NonVascular",0.11,0.89,839.66064,172.92987
"27","NonVascular",0,1,914.6934,208.17963
"29","Vacular",0.96,0.04,1475.3446,209.75076
"30","Vacular",0.88,0.12,809.1987,214.61522
"32","NonVascular",0.02,0.98,726.3188,232.08728
"33","NonVascular",0.12,0.88,950.073,235.67993
"34","NonVascular",0.03,0.97,1428.5049,264.27255
"38","Vacular",0.91,0.09,782.54126,259.29968
"39","NonVascular",0.04,0.96,1082.0128,266.75146
"40","NonVascular",0.03,0.97,594.0469,290.55817
"42","NonVascular",0.1,0.9,925.2225,292.28305
"43","Vacular",1,0,1055.8385,280.3711
"44","NonVascular",0.03,0.97,1706.5146,304.09756
"45","NonVascular",0.14,0.86,988.59296,302.40704
"46","NonVascular",0.04,0.96,1861.1477,321.71475
"47","NonVascular",0.03,0.97,79.358925,331.1607
"48","NonVascular",0.03,0.97,955.8787,337.06183
"50","NonVascular",0.19,0.81,1823.942,330.10144
"51","Vacular",0.9,0.1,590.69775,345.1111
"52","NonVascular",0,1,1010.57306,348.73737
"53","NonVascular",0.12,0.88,439.86542,349.48892
"54","NonVascular",0.01,0.99,791.7541,362.82806
"56","Vacular",0.96,0.04,578.55145,380.52942
"57","NonVascular",0.17,0.83,709.23126,373.70624
"58","NonVascular",0.06,0.94,7.811388,379.4733
"59","Vacular",0.99,0.01,798.6861,404.50278
"60","NonVascular",0,1,1312.1531,415.52936
"61","Vacular",1,0,1014.40283,418.61407
"62","Vacular",0.98,0.02,348.8625,424.9375
