"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","Vacular",0.92,0.08,433.45575,6.615044
"2","NonVascular",0,1,784.99554,18.594584
"3","NonVascular",0.01,0.99,954.0937,16.83649
"5","Vacular",0.85,0.15,1447.0149,3.686567
"7","Vacular",1,0,265.06006,10.195195
"9","Vacular",0.96,0.04,1755.1404,37.736843
"11","NonVascular",0.01,0.99,652.1678,112.60186
"12","Vacular",0.88,0.12,175.82259,99.493546
"13","Vacular",0.96,0.04,1339.4548,107.643616
"15","NonVascular",0.18,0.82,2.6804123,124.75258
"16","NonVascular",0.14,0.86,1816.517,144.36554
"19","Vacular",0.99,0.01,1423.1758,139.71428
"22","Vacular",0.87,0.13,778.8054,150.32684
"25","Vacular",0.98,0.02,415.69537,170.73538
"26","Vacular",0.98,0.02,1416.3118,184.05295
"28","Vacular",0.97,0.03,1219.4343,193.79356
"29","NonVascular",0.05,0.95,1590.7805,191.45854
"31","NonVascular",0.01,0.99,766.72186,289.15518
"32","Vacular",0.96,0.04,157.78354,253.04573
"33","NonVascular",0.14,0.86,1294.4827,259.93912
"34","Vacular",0.97,0.03,1688.5826,263.35855
"38","Vacular",1,0,466.19473,309.7158
"39","Vacular",0.91,0.09,1106.4205,311.40396
"40","Vacular",0.96,0.04,388.59293,320.54572
"41","Vacular",1,0,1311.8771,322.36893
"42","Vacular",0.94,0.06,1597.8724,322.1454
"43","Vacular",0.84,0.16,779.55347,327.88678
"44","NonVascular",0.18,0.82,630.22784,334.98734
"45","Vacular",0.99,0.01,373.5878,345.74808
"46","Vacular",0.94,0.06,1471.6328,346.88956
"47","NonVascular",0.03,0.97,159.22101,364.2741
"48","Vacular",0.95,0.05,1310.6875,351.7825
"49","NonVascular",0.04,0.96,612.58295,375.49164
"53","Vacular",0.94,0.06,802.30414,391.09314
"57","Vacular",0.99,0.01,653.84235,400.52463
"58","Vacular",0.93,0.07,334.23798,403.86365
"59","Vacular",0.97,0.03,641.6827,421.6154
"60","NonVascular",0.04,0.96,690.1579,427.35477
"61","NonVascular",0.01,0.99,1856.0966,440.64075
"62","Vacular",0.99,0.01,91.180595,445.7655
"63","NonVascular",0.03,0.97,681.78925,471.73453
"64","Vacular",0.94,0.06,210.49211,467.6
"65","Vacular",0.93,0.07,899.64014,488.73746
"67","Vacular",1,0,394.25497,500.18848
"68","NonVascular",0.06,0.94,361.94836,506.3125
"69","NonVascular",0.19,0.81,615.6177,498.14706
"70","NonVascular",0.18,0.82,1627.3284,512.32837
"71","NonVascular",0.18,0.82,3.3636363,519.014
"72","Vacular",0.96,0.04,1298.8352,533.8681
"73","Vacular",0.87,0.13,840.3612,546.5821
"74","NonVascular",0.01,0.99,93.95688,590.0697
"75","NonVascular",0.02,0.98,671.67346,570.93976
"76","Vacular",0.98,0.02,1394.0222,555.41907
"77","Vacular",0.93,0.07,1081.669,572.7124
"78","Vacular",0.93,0.07,1701.0396,575.70056
"79","Vacular",0.93,0.07,1419.3768,597.2232
"80","NonVascular",0.16,0.84,38.108696,599.81885
"81","Vacular",0.97,0.03,589.0355,603.3142
"82","Vacular",0.97,0.03,1174.3884,610.2204
"83","Vacular",0.96,0.04,403.43253,623.873
"84","Vacular",1,0,825.4974,634.9895
"85","NonVascular",0.18,0.82,1072.2445,642.34784
"87","Vacular",0.88,0.12,407.6107,647.2825
"89","Vacular",0.9,0.1,378.74332,667.03937
"94","Vacular",0.9,0.1,1708.9728,690.43976
"95","NonVascular",0,1,583.07477,719.8378
"96","NonVascular",0.03,0.97,411.70963,700.3168
"98","Vacular",0.9,0.1,1612.2112,708.0909
"99","Vacular",0.81,0.19,1926.2756,713.65356
"100","NonVascular",0.01,0.99,812.20404,726.3822
"101","Vacular",0.81,0.19,990.26965,722.55896
"103","Vacular",0.81,0.19,1197.0892,750.79004
"105","Vacular",0.94,0.06,28.259888,752.96326
"106","Vacular",0.96,0.04,303.69324,772.8528
"107","NonVascular",0.02,0.98,845.5294,785.70276
"109","Vacular",0.99,0.01,806.9524,801.7644
"110","Vacular",0.93,0.07,77,800.0489
"111","Vacular",0.99,0.01,1230.6039,818.89343
"112","Vacular",0.98,0.02,1356.58,819.33545
"113","Vacular",0.91,0.09,961.6469,831.02826
"114","Vacular",0.96,0.04,1774.1902,830.92664
"115","Vacular",0.85,0.15,375.58252,851
"117","NonVascular",0.01,0.99,211.59428,939.0682
"118","Vacular",1,0,19.22256,919.16156
"121","Vacular",0.85,0.15,1254.9193,936.3354
"122","Vacular",0.87,0.13,163.86313,952.1391
"123","Vacular",0.95,0.05,830.0537,959.9463
"124","Vacular",0.88,0.12,668.73193,962.2763
"125","NonVascular",0.09,0.91,401.87405,983.56433
"126","NonVascular",0,1,1709.7158,976.23444
"129","Vacular",0.99,0.01,182.6094,990.8541
"131","NonVascular",0.01,0.99,832.8863,1037.9146
"132","NonVascular",0.19,0.81,254.95238,1031.2142
"135","Vacular",0.92,0.08,145.1641,1042.8629
"136","Vacular",1,0,7.591045,1058.791
"139","Vacular",0.85,0.15,113.242584,1088.876
"140","Vacular",0.83,0.17,294.4153,1078.4637
"141","NonVascular",0.02,0.98,386.64993,1121.5723
"142","Vacular",0.9,0.1,1152.4296,1088.6605
"143","Vacular",1,0,1192.463,1090.627
