"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","Vacular",0.97,0.03,243.60338,5.185654
"2","Vacular",0.91,0.09,553.27405,7.5373664
"4","NonVascular",0.01,0.99,834.9859,13.525516
"5","NonVascular",0.02,0.98,883.877,11.747152
"6","Vacular",1,0,1144.37,9.341041
"7","Vacular",0.95,0.05,1475.7838,7.1903224
"8","Vacular",0.99,0.01,674.5294,20.877005
"9","Vacular",0.82,0.18,1506.4271,22.653267
"10","Vacular",0.96,0.04,1359.0388,25.874626
"11","Vacular",0.96,0.04,1830.6562,39.136364
"12","NonVascular",0,1,76.847374,52.316933
"13","Vacular",0.9,0.1,214.99707,90.55848
"14","Vacular",0.96,0.04,975.50854,96.139206
"15","Vacular",0.89,0.11,1295.3639,95.58861
"16","Vacular",0.99,0.01,545.60706,108.234604
"18","Vacular",0.94,0.06,241.41777,151.73027
"20","Vacular",1,0,1305.7563,173.9888
"23","Vacular",0.92,0.08,1836.2152,215.33444
"25","Vacular",0.94,0.06,1349.2509,220.5356
"26","Vacular",0.97,0.03,1546.2902,232.84859
"28","Vacular",1,0,736.3971,236.51015
"29","Vacular",0.94,0.06,1006.2375,239.55853
"32","Vacular",0.95,0.05,780.2825,275.6975
"33","Vacular",1,0,646.5674,290.90933
"34","Vacular",0.84,0.16,6.040179,308.33258
"35","Vacular",0.91,0.09,499.90524,300.32678
"36","Vacular",0.99,0.01,869.5316,304.1753
"37","Vacular",0.88,0.12,62.773006,308.21472
"38","Vacular",0.99,0.01,1686.8802,321.0752
"39","Vacular",0.95,0.05,1220.9224,325.92963
"42","NonVascular",0.1,0.9,121.68861,339.79492
"44","Vacular",0.97,0.03,1051.0555,352.39474
"45","NonVascular",0.04,0.96,259.57202,368.46854
"46","NonVascular",0.08,0.92,316.16278,352.08527
"47","NonVascular",0.18,0.82,719.1177,351.13235
"48","NonVascular",0.07,0.93,210.40439,358.34286
"49","Vacular",0.98,0.02,1587.7542,366.5541
"50","Vacular",0.98,0.02,1687.0358,369.9015
"51","NonVascular",0.01,0.99,353.43497,384.14236
"52","NonVascular",0.1,0.9,439.26437,398.58868
"53","Vacular",1,0,669.9136,380.51297
"54","NonVascular",0.09,0.91,313.6616,386.40305
"57","NonVascular",0.17,0.83,511.75232,415.4257
"59","Vacular",0.97,0.03,1276.6957,414.80164
"60","Vacular",0.84,0.16,832.46875,434.84375
"61","Vacular",0.85,0.15,1283.8793,434.63794
"62","Vacular",0.9,0.1,1295.3439,450.31235
"63","Vacular",0.94,0.06,1492.3425,448.57086
"67","NonVascular",0.03,0.97,350.8084,493.97235
"68","Vacular",0.86,0.14,791.78217,482.0198
"69","Vacular",0.87,0.13,813.5403,506.037
"70","NonVascular",0.02,0.98,632.4571,527.4226
"71","Vacular",0.96,0.04,1064.0247,506.80823
"73","Vacular",0.98,0.02,152.37871,535.1287
"74","Vacular",0.92,0.08,266.2039,540.2597
"75","Vacular",1,0,1648.8875,550.195
"76","Vacular",0.87,0.13,305.64212,562.6579
"77","Vacular",1,0,683.445,556.09686
"78","Vacular",0.92,0.08,371.1183,575.25446
"80","Vacular",0.96,0.04,348.74,594.14
