"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"3","NonVascular",0.08,0.92,993.58276,4.71223
"4","Vacular",0.81,0.19,1310.1531,8.161426
"6","Vacular",1,0,1459.5544,12
"7","NonVascular",0.15,0.85,1290.7334,61.864216
"8","Vacular",0.95,0.05,1570.6261,31.483282
"9","NonVascular",0.02,0.98,1453.5079,65.678825
"12","Vacular",1,0,596.64325,65.239586
"13","Vacular",0.93,0.07,111.50532,87.90426
"14","Vacular",0.93,0.07,1816.0079,89.1579
"16","NonVascular",0.16,0.84,1772.8387,85.76344
"17","NonVascular",0.07,0.93,7.1346154,149.2452
"18","Vacular",0.85,0.15,1638.8787,158.46153
"20","Vacular",0.99,0.01,1736.5068,176.28185
"21","Vacular",0.86,0.14,1370.4438,200.2046
"22","Vacular",0.82,0.18,168.99358,226.31781
"24","Vacular",0.92,0.08,1207.876,217.96661
"25","NonVascular",0.18,0.82,700.5816,235.45976
"27","Vacular",0.88,0.12,1233.4844,232.8125
"28","Vacular",0.97,0.03,988.329,241.49869
"30","Vacular",1,0,520.49866,267.92453
"31","Vacular",0.87,0.13,167.86607,271.5655
"32","Vacular",0.97,0.03,1016.0955,291.0398
"34","Vacular",0.93,0.07,933.8499,310.71744
"37","Vacular",0.92,0.08,1292.4108,332.0018
"39","Vacular",1,0,738.5264,355.7857
"40","Vacular",1,0,1652.3368,373.6842
"42","Vacular",0.96,0.04,1401.0684,375.45602
"44","Vacular",1,0,387.07074,409.38208
"45","Vacular",0.96,0.04,625.3541,417.0963
"46","NonVascular",0.06,0.94,810.2025,430.36075
"50","Vacular",0.95,0.05,1148.3618,450.07825
"52","Vacular",0.98,0.02,1793.9452,462.74796
"53","NonVascular",0.13,0.87,769.35236,463.32382
"55","Vacular",0.99,0.01,604.64795,506.12714
"56","NonVascular",0,1,529.0237,559.96405
"57","Vacular",0.99,0.01,1263.664,522.4215
"58","Vacular",0.99,0.01,1672.2068,537.7067
"59","NonVascular",0,1,876.2121,597.27325
"60","Vacular",0.97,0.03,790.0028,543.9611
"61","Vacular",0.99,0.01,1766.2333,572.98
"62","Vacular",1,0,693.1916,575.042
"63","Vacular",0.93,0.07,1189.7655,586.10803
"64","Vacular",0.94,0.06,1133.0352,597.9393
"65","Vacular",0.98,0.02,314.7825,618.9708
"68","Vacular",1,0,1094.223,655.91315
"69","Vacular",0.97,0.03,693.78516,669.563
"70","NonVascular",0.15,0.85,373.67255,679.6232
"73","Vacular",0.97,0.03,863.8561,693.0783
"74","NonVascular",0.14,0.86,648.13446,702.3039
"76","Vacular",0.88,0.12,1609.5067,707.49
"77","NonVascular",0.01,0.99,1260.6266,719.5021
"78","Vacular",1,0,938.2027,722.1054
"79","NonVascular",0.15,0.85,1361.4988,747.8415
"82","Vacular",0.86,0.14,419.41156,762.1769
"83","Vacular",0.98,0.02,158.74936,767.6925
"85","Vacular",0.9,0.1,586.3762,779.3861
"87","Vacular",1,0,1120.3594,818.83075
"88","Vacular",0.98,0.02,919.53107,822.1949
"89","NonVascular",0.04,0.96,1324.8517,829.87915
"90","NonVascular",0.01,0.99,239.49841,833.7991
"91","Vacular",0.97,0.03,639.8634,846.85565
"93","Vacular",0.98,0.02,1795.5203,877.55585
"94","Vacular",0.81,0.19,1735.1233,897.3379
"96","Vacular",0.92,0.08,820.46735,913.44
"98","NonVascular",0,1,1890.9928,938.2156
"101","Vacular",0.95,0.05,1141.0273,969.6093
"104","NonVascular",0.03,0.97,1801.8125,983.5426
"106","Vacular",0.99,0.01,977.18463,989.9319
"107","NonVascular",0,1,1882.1726,1011.5863
"108","Vacular",0.96,0.04,1831.3885,998.52716
"110","NonVascular",0.15,0.85,492.79208,1009.7228
"114","Vacular",0.91,0.09,926.0212,1125.7246
"116","Vacular",0.91,0.09,900.4667,1130.5083
"117","Vacular",0.91,0.09,941.23706,1159.5037
"118","Vacular",0.97,0.03,1809.8889,1169.0759
"119","NonVascular",0.03,0.97,1331.4113,1176.0376
"120","NonVascular",0.06,0.94,1413.0305,1183.0254
"121","Vacular",1,0,90.50363,1186.6755
"122","Vacular",1,0,808.7481,1193.1208
"123","Vacular",0.99,0.01,376.95776,1203.82
"124","Vacular",0.94,0.06,622.0906,1220.0552
"125","Vacular",0.94,0.06,1553.5739,1220.4406
"127","Vacular",0.84,0.16,1083.1223,1229.8085
"128","Vacular",0.96,0.04,1223.6545,1246.7688
"129","Vacular",0.84,0.16,638.6652,1258.9934
"130","Vacular",1,0,460.17175,1268.5906
"133","Vacular",1,0,1119.9667,1294.8949
"134","Vacular",0.99,0.01,1647.9209,1297.7322
"136","Vacular",0.94,0.06,620.1954,1303.3535
"137","Vacular",1,0,1332.38,1306.6628
"140","Vacular",0.96,0.04,838.1438,1361.6943
"141","NonVascular",0.01,0.99,1315.5863,1410.4858
"143","Vacular",0.98,0.02,31.740984,1430.4
"144","Vacular",1,0,1429.7205,1431.8495
"145","Vacular",1,0,1076.5714,1444.478
